timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2023-09-21T22:00:00,1001A,116.3621,39.8784,北京市,万寿西宫,颗粒物(PM10),64,78,54,22,19,140,64,127,114,45,35,3,2,0.6,0.5
2023-09-21T22:00:00,1002A,116.2202,40.2915,北京市,定陵,,38,38,24,18,10,153,68,100,99,3,5,3,3,0.4,0.3
2023-09-21T22:00:00,1003A,116.4174,39.9289,北京市,东四,颗粒物(PM10),57,64,51,19,19,145,78,136,123,35,33,2,2,0.6,0.5
2023-09-21T22:00:00,1004A,116.4072,39.8863,北京市,天坛,颗粒物(PM10),52,54,44,22,20,140,50,125,105,39,32,3,2,0.7,0.5
2023-09-21T22:00:00,1005A,116.462,39.9365,北京市,农展馆,颗粒物(PM10),56,61,53,18,19,136,82,122,114,35,37,2,2,0.6,0.5
2023-09-21T22:00:00,1006A,116.3392,39.9295,北京市,官园,颗粒物(PM10),61,71,49,23,18,156,98,145,136,25,28,3,2,0.5,0.4
2023-09-21T22:00:00,1007A,116.2878,39.9611,北京市,海淀万柳,颗粒物(PM10),63,75,45,27,16,145,71,131,118,51,40,2,2,0.8,0.5
2023-09-21T22:00:00,1008A,116.6636,40.135,北京市,顺义新城,颗粒物(PM10),66,82,51,33,20,152,46,126,106,47,33,3,3,0.6,0.4
2023-09-21T22:00:00,1009A,116.6275,40.3275,北京市,怀柔镇,,40,40,28,20,14,136,83,122,111,15,14,3,2,0.4,0.3
2023-09-21T22:00:00,1010A,116.2296,40.217,北京市,昌平镇,,45,45,35,23,12,159,95,120,119,20,21,3,3,0.4,0.3
2023-09-21T22:00:00,1011A,116.3966,39.9821,北京市,奥体中心,颗粒物(PM10),55,59,41,20,16,120,74,112,106,34,34,3,2,0.6,0.4
2023-09-21T22:00:00,1012A,116.184,39.9136,北京市,古城,颗粒物(PM10),67,83,44,29,16,143,67,123,115,43,33,1,2,0.9,0.7
