timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2023-08-14T00:00:00,1001A,116.3621,39.8784,北京市,万寿西宫,,37,37,23,22,13,161,101,144,132,16,14,3,3,0.6,0.6
2023-08-14T00:00:00,1002A,116.2202,40.2915,北京市,定陵,,30,30,20,13,10,135,47,112,84,7,6,3,3,0.4,0.5
2023-08-14T00:00:00,1003A,116.4174,39.9289,北京市,东四,,36,35,19,17,10,159,114,150,138,14,15,3,3,0.6,0.5
2023-08-14T00:00:00,1004A,116.4072,39.8863,北京市,天坛,,32,32,18,20,12,149,87,140,119,19,15,3,3,0.5,0.5
2023-08-14T00:00:00,1005A,116.462,39.9365,北京市,农展馆,,39,39,21,19,11,152,113,142,134,15,18,3,3,0.5,0.5
2023-08-14T00:00:00,1006A,116.3392,39.9295,北京市,官园,,38,33,20,21,11,187,121,158,150,13,15,1,1,0.5,0.4
2023-08-14T00:00:00,1007A,116.2878,39.9611,北京市,海淀万柳,,40,40,21,19,11,159,85,134,122,21,17,3,2,0.5,0.4
2023-08-14T00:00:00,1008A,116.6636,40.135,北京市,顺义新城,,44,44,21,22,14,122,61,111,99,28,17,3,3,0.5,0.4
2023-08-14T00:00:00,1009A,116.6275,40.3275,北京市,怀柔镇,,23,21,18,12,11,112,72,105,84,7,10,3,3,0.3,0.4
2023-08-14T00:00:00,1010A,116.2296,40.217,北京市,昌平镇,,28,28,20,16,11,141,70,121,106,6,10,3,3,0.4,0.4
2023-08-14T00:00:00,1011A,116.3966,39.9821,北京市,奥体中心,,31,28,22,19,11,138,98,115,115,15,22,1,1,0.5,0.4
2023-08-14T00:00:00,1012A,116.184,39.9136,北京市,古城,,44,44,27,19,14,170,77,139,117,17,16,3,3,0.4,0.4
2023-08-14T00:00:00,1015A,117.1444,39.1661,天津市,勤俭道,细颗粒物(PM2.5),64,76,31,46,20,158,90,141,129,31,17,6,6,0.8,0.7
2023-08-14T00:00:00,1017A,117.237,39.1082,天津市,大直沽八号路,细颗粒物(PM2.5),68,83,33,49,22,153,114,129,128,25,18,3,3,0.9,0.8
2023-08-14T00:00:00,1018A,117.202,39.0927,天津市,前进道,细颗粒物(PM2.5),65,73,30,47,21,167,116,138,135,24,19,7,6,0.9,0.7
2023-08-14T00:00:00,1019A,117.1837,39.2133,天津市,淮河道,颗粒物(PM10),56,62,31,37,21,145,92,133,116,39,22,6,4,1.0,0.8
2023-08-14T00:00:00,1021A,117.307,39.0877,天津市,跃进路,颗粒物(PM10),66,81,33,43,21,166,126,148,146,19,17,10,6,0.9,0.9
2023-08-14T00:00:00,1023A,117.707,39.0343,天津市,第四大街,,45,45,29,25,20,155,97,138,118,21,22,7,6,0.7,0.7
2023-08-14T00:00:00,1024A,117.457,38.8394,天津市,永明路,,37,37,32,24,22,214,83,180,150,31,16,7,5,0.9,0.9
2023-08-14T00:00:00,1026A,117.764,39.1587,天津市,汉北路,,32,32,28,18,19,164,91,154,126,24,17,5,6,0.7,0.7
2023-08-14T00:00:00,1027A,117.157,38.9194,天津市,团泊洼,细颗粒物(PM2.5),60,64,33,43,23,166,111,164,142,27,18,3,3,0.9,0.8
2023-08-14T00:00:00,1029A,114.4422,38.0444,石家庄市,职工医院,,32,29,42,19,26,207,100,177,130,12,18,2,3,0.3,0.5
2023-08-14T00:00:00,1030A,114.6063,38.0266,石家庄市,高新区,,41,41,48,28,30,198,68,172,114,37,19,1,3,0.4,0.6
2023-08-14T00:00:00,1031A,114.4898,38.1328,石家庄市,西北水源,颗粒物(PM10),56,61,56,25,28,209,64,180,124,30,17,3,3,0.6,0.7
2023-08-14T00:00:00,1032A,114.4586,38.0058,石家庄市,西南高教,,35,35,40,22,21,199,91,174,131,14,16,3,3,0.6,0.7
2023-08-14T00:00:00,1033A,114.5331,38.0178,石家庄市,世纪公园,,42,34,40,29,20,204,94,166,117,18,17,4,5,0.4,0.5
2023-08-14T00:00:00,1034A,114.509,38.0457,石家庄市,人民会堂,,37,28,44,14,21,220,116,184,136,11,14,2,2,0.4,0.5
2023-08-14T00:00:00,1035A,114.3524,37.8911,石家庄市,封龙山,,39,35,37,12,19,155,123,144,139,8,9,5,6,0.7,0.8
2023-08-14T00:00:00,1037A,118.131,39.6363,唐山市,雷达站,颗粒物(PM10),58,66,39,18,18,137,40,128,91,53,26,1,3,0.6,0.6
