area,positionname,longitude,latitude,timepoint,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant
阿坝藏族羌族自治州,马师校,102.2503,31.8896,2026-01-17T2100,35,53,0.6,27,4,32,57,52,颗粒物(PM10)
阿坝藏族羌族自治州,马尔康中学西区,102.2174,31.9016,2026-01-17T2100,29,57,0.6,31,5,32,62,54,颗粒物(PM10)
阿克苏地区,电视台,80.2899,41.1684,2026-01-17T2100,42,211,1.0,24,7,58,69,131,颗粒物(PM10)
阿克苏地区,艺术中心,80.2592,41.1541,2026-01-17T2100,49,185,0.7,18,5,71,77,118,颗粒物(PM10)
阿拉善盟,蒙二幼,105.699,38.8409,2026-01-17T2100,33,86,0.7,15,12,58,77,68,颗粒物(PM10)
阿拉善盟,环保局新楼,105.7198,38.8508,2026-01-17T2100,36,97,0.7,14,11,55,79,74,颗粒物(PM10)
阿勒泰地区,市站,88.1266,47.8515,2026-01-17T2100,22,30,0.7,49,7,22,59,32,
阿勒泰地区,阿勒泰路33号,88.1198,47.7931,2026-01-17T2100,13,24,0.4,12,5,60,60,24,
阿里地区,阿里监测站,80.1171,32.4999,2026-01-17T2100,3,6,0.5,2,6,67,59,21,
阿里地区,阿里藏医院,80.0906,32.5029,2026-01-17T2100,3,8,0.4,2,10,95,93,30,
安康市,汉滨区检察院,109.0088,32.6974,2026-01-17T2100,88,148,1.0,59,5,23,63,117,细颗粒物(PM2.5)
安康市,市邮政管理局,109.0324,32.6913,2026-01-17T2100,102,174,1.6,73,7,10,55,134,细颗粒物(PM2.5)
安庆市,环科院,117.0806,30.5181,2026-01-17T2100,151,182,1.1,20,6,73,78,201,细颗粒物(PM2.5)
安庆市,马山宾馆,117.0331,30.5118,2026-01-17T2100,146,175,1.2,23,4,74,86,195,细颗粒物(PM2.5)
安庆市,安庆大学,116.9897,30.6146,2026-01-17T2100,142,180,1.0,18,4,83,91,189,细颗粒物(PM2.5)
安庆市,市人大,117.0598,30.5351,2026-01-17T2100,149,194,1.0,27,5,72,82,199,细颗粒物(PM2.5)
安顺市,凤凰山,105.9408,26.2431,2026-01-17T2100,69,82,0.8,31,46,76,100,93,细颗粒物(PM2.5)
安顺市,金钟山,105.9443,26.2567,2026-01-17T2100,63,72,0.7,20,42,76,94,85,细颗粒物(PM2.5)
安顺市,娄家坡,105.8983,26.248,2026-01-17T2100,61,70,0.7,12,13,89,99,83,细颗粒物(PM2.5)
安阳市,红庙街,114.3552,36.1017,2026-01-17T2100,54,91,0.6,24,3,30,46,74,细颗粒物(PM2.5)
安阳市,银杏小区,114.361,36.0681,2026-01-17T2100,64,87,0.5,24,2,30,43,87,细颗粒物(PM2.5)
安阳市,信访局,114.3921,36.0879,2026-01-17T2100,58,87,0.7,24,2,33,48,79,细颗粒物(PM2.5)
安阳市,左辅环卫站,114.4706,36.0634,2026-01-17T2100,63,99,0.5,17,2,38,48,85,细颗粒物(PM2.5)
安阳市,钢三路198号,114.2918,36.0769,2026-01-17T2100,62,99,0.6,24,1,35,48,84,细颗粒物(PM2.5)
鞍山市,深沟寺,123.0441,41.1201,2026-01-17T2100,37,47,1.1,33,7,34,58,53,细颗粒物(PM2.5)
鞍山市,太阳城,123.011,41.0931,2026-01-17T2100,34,37,1.0,34,12,,68,,
鞍山市,太平,123.0483,41.1445,2026-01-17T2100,65,88,1.2,45,11,27,52,88,细颗粒物(PM2.5)
鞍山市,铁西三道街,122.964,41.0968,2026-01-17T2100,25,44,0.7,30,17,46,57,44,
鞍山市,明达新区,123.0219,41.0822,2026-01-17T2100,32,47,0.8,27,14,38,60,47,
鞍山市,兴盛南路290号,122.944647,41.082639,2026-01-17T2100,24,50,0.7,31,19,44,53,50,
巴彦淖尔市,附二中,107.4206,40.7609,2026-01-17T2100,42,469,0.4,8,3,47,51,362,颗粒物(PM10)
巴彦淖尔市,市环保大楼,107.37,40.7372,2026-01-17T2100,30,455,0.4,10,4,50,56,344,颗粒物(PM10)
巴音郭楞蒙古自治州,孔雀公园,86.1476,41.7529,2026-01-17T2100,30,64,0.4,17,9,61,77,57,颗粒物(PM10)
巴音郭楞蒙古自治州,棉纺厂,86.1971,41.7166,2026-01-17T2100,28,69,/,10,/,67,69,60,颗粒物(PM10)
巴音郭楞蒙古自治州,经济开发区,86.236,41.7172,2026-01-17T2100,24,52,0.5,9,6,70,69,51,颗粒物(PM10)
巴中市,市五中,106.776805,31.852614,2026-01-17T2100,149,195,1.2,31,6,25,56,199,细颗粒物(PM2.5)
巴中市,圣泉水务公司,106.7419,31.8654,2026-01-17T2100,134,159,1.2,64,6,2,51,178,细颗粒物(PM2.5)
巴中市,市中心医院,106.7617,31.8343,2026-01-17T2100,132,164,1.4,60,7,3,53,175,细颗粒物(PM2.5)
白城市,洮北区环保局,122.7909,45.608,2026-01-17T2100,24,35,0.4,17,7,52,62,35,
白城市,市环保局,122.8741,45.5725,2026-01-17T2100,14,29,0.4,14,7,52,65,29,
白山市,喜丰,126.4219,41.9172,2026-01-17T2100,33,55,0.9,56,20,17,50,53,颗粒物(PM10)
白山市,环保局,126.4082,41.9416,2026-01-17T2100,36,41,0.5,24,13,45,43,52,细颗粒物(PM2.5)
白银市,第三小学,104.1727,36.5448,2026-01-17T2100,38,348,0.3,19,4,70,72,199,颗粒物(PM10)
白银市,动力公司,104.1467,36.5482,2026-01-17T2100,42,322,0.5,13,3,72,80,186,颗粒物(PM10)
百色市,市监测站,106.6102,23.901,2026-01-17T2100,51,67,0.8,28,8,42,76,70,细颗粒物(PM2.5)
百色市,市中心血站,106.6524,23.8842,2026-01-17T2100,79,,1.2,61,9,,78,105,细颗粒物(PM2.5)
百色市,龙景西路,106.6273,23.8798,2026-01-17T2100,85,,1.2,57,8,6,84,113,细颗粒物(PM2.5)
蚌埠市,工人疗养院,117.396,32.9389,2026-01-17T2100,33,98,0.3,18,4,42,55,74,颗粒物(PM10)
蚌埠市,百货大楼,117.3606,32.9428,2026-01-17T2100,32,97,0.4,15,4,45,54,74,颗粒物(PM10)
蚌埠市,蚌埠学院,117.4183,32.8909,2026-01-17T2100,37,88,0.4,21,4,44,51,69,颗粒物(PM10)
蚌埠市,淮上区政府,117.3534,32.9672,2026-01-17T2100,37,102,0.4,16,1,48,52,76,颗粒物(PM10)
蚌埠市,高新区,117.3143,32.8977,2026-01-17T2100,33,92,0.2,22,6,39,54,71,颗粒物(PM10)
蚌埠市,蚌埠田家炳中学,117.3091,32.9314,2026-01-17T2100,35,102,0.5,22,4,40,54,76,颗粒物(PM10)
包头市,市环境监测站,109.8761,40.6533,2026-01-17T2100,16,88,0.3,14,4,50,48,69,颗粒物(PM10)
包头市,包头八中,109.9992,40.5843,2026-01-17T2100,17,109,0.5,16,8,44,47,80,颗粒物(PM10)
包头市,惠龙物流,109.8641,40.6288,2026-01-17T2100,14,84,0.4,12,8,52,52,67,颗粒物(PM10)
包头市,东河鸿龙湾,110.0376,40.5546,2026-01-17T2100,16,107,0.7,25,10,36,52,79,颗粒物(PM10)
包头市,滨河大厦,109.9154,40.5684,2026-01-17T2100,21,73,0.6,14,7,41,52,62,颗粒物(PM10)
包头市,包头市委党校,109.9449,40.6259,2026-01-17T2100,19,80,0.5,18,8,41,45,65,颗粒物(PM10)
包头市,昆区政府,109.8332,40.6577,2026-01-17T2100,13,103,0.5,13,6,50,46,77,颗粒物(PM10)
宝鸡市,竹园沟,107.0802,34.3129,2026-01-17T2100,85,129,0.7,34,6,38,72,113,细颗粒物(PM2.5)
宝鸡市,监测站,107.1429,34.3549,2026-01-17T2100,118,166,1.1,69,9,15,69,155,细颗粒物(PM2.5)
宝鸡市,技工学校,107.1172,34.3759,2026-01-17T2100,,,,,,,66,,
宝鸡市,文理学院,107.2025,34.3518,2026-01-17T2100,111,159,0.9,63,6,26,77,145,细颗粒物(PM2.5)
宝鸡市,三迪小学,107.2396,34.3626,2026-01-17T2100,115,151,1.1,51,6,44,74,150,细颗粒物(PM2.5)
