area,positionname,longitude,latitude,timepoint,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant
阿坝藏族羌族自治州,马尔康中学西区,102.2174,31.9016,2026-06-29T2000,6,10,0.2,6,2,102,104,32,
阿拉善盟,蒙二幼,105.699,38.8409,2026-06-29T2000,22,34,0.3,4,10,126,129,40,
阿拉善盟,环保局新楼,105.7198,38.8508,2026-06-29T2000,12,32,0.4,5,8,117,119,37,
阿勒泰地区,市站,88.1266,47.8515,2026-06-29T2000,3,22,0.3,11,7,114,118,36,
阿里地区,阿里藏医院,80.0906,32.5029,2026-06-29T2000,3,9,0.5,2,7,150,153,47,
安康市,汉滨区检察院,109.0088,32.6974,2026-06-29T2000,16,27,0.4,7,2,76,103,27,
安康市,市邮政管理局,109.0324,32.6913,2026-06-29T2000,24,NA,0.5,8,3,76,110,35,
安庆市,环科院,117.0806,30.5181,2026-06-29T2000,6,26,0.5,12,8,37,124,26,
安庆市,马山宾馆,117.0331,30.5118,2026-06-29T2000,3,13,0.5,7,2,43,131,14,
安庆市,安庆大学,116.9897,30.6146,2026-06-29T2000,8,30,0.4,16,3,39,153,30,
安庆市,市人大,117.0598,30.5351,2026-06-29T2000,3,21,0.5,1,5,53,142,21,
安顺市,凤凰山,105.9408,26.2431,2026-06-29T2000,10,NA,0.5,7,5,62,63,20,
安顺市,金钟山,105.9443,26.2567,2026-06-29T2000,7,NA,0.4,5,6,62,58,20,
安顺市,娄家坡,105.8983,26.248,2026-06-29T2000,9,NA,0.7,8,14,56,60,18,
安阳市,红庙街,114.3552,36.1017,2026-06-29T2000,29,43,1.0,12,6,127,167,43,
安阳市,银杏小区,114.361,36.0681,2026-06-29T2000,39,51,0.8,11,3,136,170,58,细颗粒物(PM2.5)
安阳市,信访局,114.3921,36.0879,2026-06-29T2000,31,52,0.9,16,4,139,179,52,颗粒物(PM10)
安阳市,左辅环卫站,114.4706,36.0634,2026-06-29T2000,29,57,1.2,20,3,115,152,55,颗粒物(PM10)
鞍山市,深沟寺,123.0441,41.1201,2026-06-29T2000,13,23,0.7,13,7,84,103,27,
鞍山市,太阳城,123.011,41.0931,2026-06-29T2000,16,29,0.9,13,8,83,109,29,
鞍山市,太平,123.0483,41.1445,2026-06-29T2000,14,33,0.8,18,8,88,99,33,
鞍山市,铁西三道街,122.964,41.0968,2026-06-29T2000,22,39,0.9,20,6,90,118,39,
鞍山市,明达新区,123.0219,41.0822,2026-06-29T2000,13,24,0.8,14,5,91,109,29,
鞍山市,兴盛南路290号,122.944647,41.082639,2026-06-29T2000,22,56,0.7,20,6,85,112,55,颗粒物(PM10)
巴彦淖尔市,附二中,107.4206,40.7609,2026-06-29T2000,16,61,0.5,12,11,144,157,58,颗粒物(PM10)
巴彦淖尔市,市环保大楼,107.37,40.7372,2026-06-29T2000,16,34,0.5,13,9,131,150,41,
巴音郭楞蒙古自治州,孔雀公园,86.1476,41.7529,2026-06-29T2000,15,51,0.2,6,4,114,112,51,颗粒物(PM10)
巴音郭楞蒙古自治州,经济开发区,86.236,41.7172,2026-06-29T2000,10,41,0.1,7,2,125,118,41,
巴中市,市五中,106.776805,31.852614,2026-06-29T2000,10,19,0.7,6,8,88,91,28,
巴中市,圣泉水务公司,106.7419,31.8654,2026-06-29T2000,12,24,0.5,5,9,91,95,29,
巴中市,市中心医院,106.7617,31.8343,2026-06-29T2000,12,20,0.7,11,7,84,99,27,
