area,positionname,longitude,latitude,timepoint,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant
阿坝藏族羌族自治州,州农科所,102.1879,31.914,2025-05-12T1100,12,104,0.6,10,10,67,62,77,颗粒物(PM10)
阿坝藏族羌族自治州,马师校,102.2502,31.8896,2025-05-12T1100,8,20,0.4,9,4,75,52,24,
阿坝藏族羌族自治州,马尔康中学西区,102.2165,31.9024,2025-05-12T1100,11,22,0.4,10,4,79,62,25,
阿克苏地区,电视台,80.292,41.1694,2025-05-12T1100,30,65,0.4,25,10,92,98,58,颗粒物(PM10)
阿克苏地区,艺术中心,80.2613,41.1551,2025-05-12T1100,27,74,0.2,10,4,90,88,62,颗粒物(PM10)
阿拉善盟,西城区西花园,105.6467,38.8363,2025-05-12T1100,68,176,0.6,14,6,111,107,113,颗粒物(PM10)
阿拉善盟,蒙二幼,105.6985,38.8411,2025-05-12T1100,47,222,0.4,8,8,105,92,136,颗粒物(PM10)
阿拉善盟,环保局新楼,105.724,38.8516,2025-05-12T1100,45,120,0.3,5,8,115,118,85,颗粒物(PM10)
阿勒泰地区,市站,88.1264,47.8517,2025-05-12T1100,3,19,0.6,6,2,70,36,22,
阿里地区,阿里监测站,80.1161,32.5,2025-05-12T1100,3,8,0.4,4,6,122,112,39,
阿里地区,阿里藏医院,80.0903,32.5028,2025-05-12T1100,6,26,0.4,3,5,134,122,42,
安康市,香溪洞,109.0318,32.6537,2025-05-12T1100,36,52,0.5,7,12,126,104,52,细颗粒物(PM2.5)
安康市,汉滨区检察院,109.0072,32.6975,2025-05-12T1100,34,68,0.5,12,28,116,69,59,颗粒物(PM10)
安康市,市邮政管理局,109.0325,32.6913,2025-05-12T1100,31,63,0.4,9,16,125,66,57,颗粒物(PM10)
安庆市,环科院,117.0809,30.5177,2025-05-12T1100,30,47,0.4,7,6,150,107,47,
安庆市,安庆大学,116.9896,30.6145,2025-05-12T1100,34,44,0.2,13,8,144,112,49,
安庆市,市人大,117.0598,30.5351,2025-05-12T1100,27,48,0.4,12,10,154,110,49,
