area,positionname,longitude,latitude,timepoint,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant
阿坝藏族羌族自治州,州农科所,102.1879,31.914,2024-11-11T1200,14,37,0.0,6,8,51,32,37,
阿坝藏族羌族自治州,马师校,102.2502,31.8896,2024-11-11T1200,9,10,0.4,8,4,43,20,14,
阿坝藏族羌族自治州,马尔康中学西区,102.2165,31.9024,2024-11-11T1200,8,11,,10,5,43,22,,
阿克苏地区,电视台,80.292,41.1694,2024-11-11T1200,28,93,0.7,38,5,40,49,72,颗粒物(PM10)
阿克苏地区,艺术中心,80.2613,41.1551,2024-11-11T1200,28,79,0.5,27,4,49,53,65,颗粒物(PM10)
阿拉善盟,西城区西花园,105.6467,38.8363,2024-11-11T1200,10,25,0.7,11,8,91,84,29,
阿拉善盟,蒙二幼,105.6985,38.8411,2024-11-11T1200,3,6,0.4,11,7,89,91,28,
阿拉善盟,环保局新楼,105.724,38.8516,2024-11-11T1200,3,6,0.6,8,8,93,97,30,
阿勒泰地区,市站,88.1264,47.8517,2024-11-11T1200,3,6,0.3,50,7,22,41,25,
阿里地区,阿里监测站,80.1161,32.5,2024-11-11T1200,16,31,0.5,18,9,74,73,31,
阿里地区,阿里藏医院,80.0903,32.5028,2024-11-11T1200,21,25,0.7,19,12,75,92,30,
安康市,香溪洞,109.0318,32.6537,2024-11-11T1200,33,56,0.4,15,8,62,68,53,颗粒物(PM10)
安康市,汉滨区检察院,109.0072,32.6975,2024-11-11T1200,29,41,0.4,23,7,19,22,42,
安康市,市邮政管理局,109.0325,32.6913,2024-11-11T1200,26,57,0.9,30,8,16,14,54,颗粒物(PM10)
安庆市,环科院,117.0809,30.5177,2024-11-11T1200,42,57,0.9,22,12,114,71,59,细颗粒物(PM2.5)
安庆市,马山宾馆,117.0331,30.5119,2024-11-11T1200,39,51,0.8,23,9,120,83,55,细颗粒物(PM2.5)
安庆市,安庆大学,116.9896,30.6145,2024-11-11T1200,29,49,,16,10,110,53,,
安庆市,市人大,117.0598,30.5351,2024-11-11T1200,47,54,0.6,26,14,116,70,65,细颗粒物(PM2.5)
安顺市,伍家关,105.9606,26.2611,2024-11-11T1200,18,20,0.6,6,6,81,80,26,
安顺市,凤凰山,105.9408,26.2431,2024-11-11T1200,16,25,0.4,8,10,92,85,29,
安顺市,金钟山,105.9439,26.2564,2024-11-11T1200,20,26,0.5,7,10,94,90,30,
安顺市,娄家坡,105.8983,26.2481,2024-11-11T1200,17,23,0.4,7,10,97,85,31,
安阳市,棉研所,114.4839,36.0621,2024-11-11T1200,,,,34,11,75,35,,
安阳市,红庙街,114.3551,36.1017,2024-11-11T1200,161,198,3.2,40,21,60,14,211,细颗粒物(PM2.5)
安阳市,银杏小区,114.361,36.0681,2024-11-11T1200,146,166,1.9,22,8,72,18,195,细颗粒物(PM2.5)
安阳市,信访局,114.3922,36.0878,2024-11-11T1200,148,192,1.6,27,9,71,20,198,细颗粒物(PM2.5)
安阳市,左辅环卫站,114.4705,36.0637,2024-11-11T1200,134,172,1.3,24,7,65,29,178,细颗粒物(PM2.5)
安阳市,安钢职工学校,114.2917,36.0949,2024-11-11T1200,169,181,1.7,41,7,65,13,219,细颗粒物(PM2.5)
鞍山市,深沟寺,123.044,41.1196,2024-11-11T1200,13,36,1.7,32,12,46,25,36,
鞍山市,太阳城,123.011,41.0931,2024-11-11T1200,15,36,1.4,29,12,47,25,36,
鞍山市,太平,123.0485,41.1442,2024-11-11T1200,21,46,2.1,46,24,34,16,46,
鞍山市,铁西三道街,122.9642,41.0971,2024-11-11T1200,17,47,0.8,30,8,44,17,47,
鞍山市,铁西工业园区,122.9341,41.0833,2024-11-11T1200,15,43,0.8,24,10,50,18,43,
鞍山市,明达新区,123.022,41.0821,2024-11-11T1200,15,36,1.4,26,12,44,24,36,
鞍山市,千山,123.1289,41.0228,2024-11-11T1200,,,,,,,,,
巴彦淖尔市,附二中,107.4212,40.761,2024-11-11T1200,20,108,0.4,9,3,79,66,79,颗粒物(PM10)
巴彦淖尔市,市环保大楼,107.37,40.7372,2024-11-11T1200,12,67,0.3,7,2,82,67,59,颗粒物(PM10)
巴音郭楞蒙古自治州,孔雀公园,86.1472,41.7538,2024-11-11T1200,29,62,0.4,32,7,47,26,56,颗粒物(PM10)
巴音郭楞蒙古自治州,棉纺厂,86.1972,41.7166,2024-11-11T1200,26,102,0.4,26,5,54,39,76,颗粒物(PM10)
巴音郭楞蒙古自治州,经济开发区,86.2357,41.7173,2024-11-11T1200,24,59,0.4,12,3,69,55,55,颗粒物(PM10)
巴中市,苏山坪,106.7677,31.8794,2024-11-11T1200,11,16,0.4,13,3,40,49,16,
巴中市,丽阳花园,106.7656,31.8545,2024-11-11T1200,17,22,0.6,23,4,27,10,25,
巴中市,圣泉水务公司,106.7418,31.8654,2024-11-11T1200,13,16,0.5,16,4,34,27,19,
巴中市,市中心医院,106.7616,31.8344,2024-11-11T1200,28,42,0.7,36,4,7,5,42,
白城市,洮北区环保局,122.7911,45.6077,2024-11-11T1200,10,27,0.1,14,4,58,32,27,
白城市,市环保局,122.8738,45.5725,2024-11-11T1200,14,36,0.4,10,4,60,30,36,
白山市,喜丰,126.4219,41.9171,2024-11-11T1200,36,67,0.6,19,13,,12,,
白山市,环保局,126.4077,41.9419,2024-11-11T1200,40,56,0.9,22,7,53,20,57,细颗粒物(PM2.5)
白银市,第三小学,104.1724,36.5446,2024-11-11T1200,9,39,1.0,15,10,85,89,39,
白银市,动力公司,104.1465,36.5482,2024-11-11T1200,7,32,0.5,9,2,85,88,32,
百色市,市监测站,106.6103,23.9011,2024-11-11T1200,26,44,0.6,9,6,77,27,44,
百色市,市中心血站,106.6538,23.8859,2024-11-11T1200,40,52,0.7,15,7,76,29,57,细颗粒物(PM2.5)
百色市,祈福高中,106.6085,23.8798,2024-11-11T1200,32,,0.8,10,5,81,31,46,
蚌埠市,工人疗养院,117.396,32.939,2024-11-11T1200,37,53,0.4,16,6,96,30,53,细颗粒物(PM2.5)
蚌埠市,百货大楼,117.3605,32.9427,2024-11-11T1200,26,48,0.4,15,8,91,28,48,
蚌埠市,蚌埠学院,117.4185,32.8911,2024-11-11T1200,26,39,0.4,35,14,76,31,39,
蚌埠市,淮上区政府,117.3533,32.9673,2024-11-11T1200,37,46,0.5,17,9,92,35,53,细颗粒物(PM2.5)
蚌埠市,高新区,117.3145,32.8977,2024-11-11T1200,33,41,0.5,40,12,68,30,48,
蚌埠市,蚌埠田家炳中学,117.3092,32.9314,2024-11-11T1200,23,48,0.4,13,7,94,25,48,
包头市,市环境监测站,109.8756,40.6532,2024-11-11T1200,31,103,1.9,,46,45,15,,
包头市,包头八中,109.9991,40.5842,2024-11-11T1200,36,111,1.4,39,55,44,15,81,颗粒物(PM10)
包头市,青山宾馆,109.8538,40.6821,2024-11-11T1200,49,85,1.8,60,47,35,13,68,"颗粒物(PM10),细颗粒物(PM2.5)"
包头市,惠龙物流,109.8642,40.6288,2024-11-11T1200,45,102,2.1,57,53,50,16,76,颗粒物(PM10)
包头市,东河鸿龙湾,110.0377,40.5546,2024-11-11T1200,22,66,1.0,27,36,50,18,58,颗粒物(PM10)
包头市,滨河大厦,109.9154,40.5685,2024-11-11T1200,18,106,1.0,30,39,57,24,78,颗粒物(PM10)
包头市,包头市委党校,109.9447,40.6261,2024-11-11T1200,41,88,1.6,44,46,50,18,69,颗粒物(PM10)
包头市,昆区政府,109.8331,40.6576,2024-11-11T1200,58,111,2.8,66,79,39,14,81,颗粒物(PM10)
宝鸡市,庙沟村,107.185,34.3063,2024-11-11T1200,41,90,0.4,13,9,67,39,70,颗粒物(PM10)
宝鸡市,竹园沟,107.0708,34.3017,2024-11-11T1200,78,,0.6,19,7,56,24,104,细颗粒物(PM2.5)
宝鸡市,三陆医院,107.1906,34.3672,2024-11-11T1200,69,77,0.9,37,8,11,10,93,细颗粒物(PM2.5)
宝鸡市,监测站,107.1431,34.3547,2024-11-11T1200,66,105,,31,10,13,8,,
宝鸡市,技工学校,107.1186,34.3739,2024-11-11T1200,67,82,1.0,,8,14,16,,
宝鸡市,陈仓区环保局家属楼,107.3906,34.3528,2024-11-11T1200,92,105,0.9,35,8,13,4,122,细颗粒物(PM2.5)
