area,positionname,longitude,latitude,timepoint,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant
阿坝藏族羌族自治州,马师校,102.2503,31.8896,2026-01-28T1400,8,,0.5,4,,74,48,,
阿坝藏族羌族自治州,马尔康中学西区,102.2174,31.9016,2026-01-28T1400,3,6,0.7,5,6,48,36,15,
阿克苏地区,电视台,80.2899,41.1684,2026-01-28T1400,63,322,0.9,23,12,45,28,186,颗粒物(PM10)
阿克苏地区,艺术中心,80.2592,41.1541,2026-01-28T1400,86,271,0.8,27,9,55,22,161,颗粒物(PM10)
阿拉善盟,蒙二幼,105.699,38.8409,2026-01-28T1400,10,27,0.5,6,11,89,79,28,
阿拉善盟,环保局新楼,105.7198,38.8508,2026-01-28T1400,3,30,0.3,7,8,78,79,30,
阿勒泰地区,市站,88.1266,47.8515,2026-01-28T1400,7,29,0.5,26,6,66,62,29,
阿勒泰地区,阿勒泰路33号,88.1198,47.7931,2026-01-28T1400,18,37,0.5,33,8,62,57,37,
阿里地区,阿里监测站,80.1171,32.4999,2026-01-28T1400,3,6,0.5,1,7,99,90,31,
阿里地区,阿里藏医院,80.0906,32.5029,2026-01-28T1400,3,7,0.6,1,10,97,90,31,
安康市,汉滨区检察院,109.0088,32.6974,2026-01-28T1400,45,83,1.0,7,7,64,27,67,颗粒物(PM10)
安康市,市邮政管理局,109.0324,32.6913,2026-01-28T1400,45,115,0.8,10,4,62,24,83,颗粒物(PM10)
安庆市,环科院,117.0806,30.5181,2026-01-28T1400,80,116,,10,6,75,46,107,细颗粒物(PM2.5)
安庆市,马山宾馆,117.0331,30.5118,2026-01-28T1400,83,114,0.8,17,6,,44,110,细颗粒物(PM2.5)
安庆市,安庆大学,116.9897,30.6146,2026-01-28T1400,56,95,0.7,21,4,85,52,77,细颗粒物(PM2.5)
安庆市,市人大,117.0598,30.5351,2026-01-28T1400,80,117,0.7,13,6,76,47,107,细颗粒物(PM2.5)
安顺市,凤凰山,105.9408,26.2431,2026-01-28T1400,20,28,0.6,9,,42,54,,
安顺市,金钟山,105.9443,26.2567,2026-01-28T1400,22,28,0.8,10,15,41,52,32,
安顺市,娄家坡,105.8983,26.248,2026-01-28T1400,22,27,0.6,11,10,40,54,32,
安阳市,红庙街,114.3552,36.1017,2026-01-28T1400,213,260,1.5,58,10,54,26,263,细颗粒物(PM2.5)
安阳市,银杏小区,114.361,36.0681,2026-01-28T1400,239,283,1.5,55,11,61,26,289,细颗粒物(PM2.5)
安阳市,信访局,114.3921,36.0879,2026-01-28T1400,228,288,1.4,51,11,56,25,278,细颗粒物(PM2.5)
安阳市,左辅环卫站,114.4706,36.0634,2026-01-28T1400,228,288,1.4,33,4,54,34,278,细颗粒物(PM2.5)
安阳市,钢三路198号,114.2918,36.0769,2026-01-28T1400,219,328,1.5,53,11,59,23,269,细颗粒物(PM2.5)
鞍山市,深沟寺,123.0441,41.1201,2026-01-28T1400,14,31,0.5,11,12,71,56,31,
鞍山市,太阳城,123.011,41.0931,2026-01-28T1400,22,34,0.7,16,17,65,58,34,
鞍山市,太平,123.0483,41.1445,2026-01-28T1400,10,25,0.5,10,15,68,42,25,
鞍山市,铁西三道街,122.964,41.0968,2026-01-28T1400,24,42,1.3,22,24,58,55,42,
鞍山市,明达新区,123.0219,41.0822,2026-01-28T1400,17,31,0.7,17,16,68,56,31,
鞍山市,兴盛南路290号,122.944647,41.082639,2026-01-28T1400,16,37,0.5,22,14,64,43,37,
巴彦淖尔市,附二中,107.4206,40.7609,2026-01-28T1400,44,118,0.3,10,18,61,21,84,颗粒物(PM10)
巴彦淖尔市,市环保大楼,107.37,40.7372,2026-01-28T1400,46,121,0.5,13,10,62,21,86,颗粒物(PM10)
巴音郭楞蒙古自治州,孔雀公园,86.1476,41.7529,2026-01-28T1400,58,227,1.0,38,14,39,52,139,颗粒物(PM10)
巴音郭楞蒙古自治州,棉纺厂,86.1971,41.7166,2026-01-28T1400,71,264,/,40,/,39,36,157,颗粒物(PM10)
巴音郭楞蒙古自治州,经济开发区,86.236,41.7172,2026-01-28T1400,,,1.1,52,9,,55,,
巴中市,市五中,106.776805,31.852614,2026-01-28T1400,29,49,0.9,18,6,65,21,49,
巴中市,圣泉水务公司,106.7419,31.8654,2026-01-28T1400,26,49,0.6,17,7,80,42,49,
巴中市,市中心医院,106.7617,31.8343,2026-01-28T1400,29,41,0.8,12,6,71,20,42,
白城市,洮北区环保局,122.7909,45.608,2026-01-28T1400,6,10,0.1,4,4,73,59,23,
白城市,市环保局,122.8741,45.5725,2026-01-28T1400,3,12,0.1,4,5,73,62,23,
白山市,喜丰,126.4219,41.9172,2026-01-28T1400,,,0.7,8,16,72,49,,
白山市,环保局,126.4082,41.9416,2026-01-28T1400,14,34,0.6,10,16,69,44,34,
白银市,第三小学,104.1727,36.5448,2026-01-28T1400,119,319,1.4,127,60,56,38,185,颗粒物(PM10)
白银市,动力公司,104.1467,36.5482,2026-01-28T1400,112,265,1.5,48,37,79,46,158,颗粒物(PM10)
百色市,市监测站,106.6102,23.901,2026-01-28T1400,23,32,0.8,14,15,46,25,33,
百色市,市中心血站,106.6524,23.8842,2026-01-28T1400,31,31,1.1,10,15,49,26,45,
百色市,龙景西路,106.6273,23.8798,2026-01-28T1400,29,39,0.8,12,16,41,17,42,
蚌埠市,工人疗养院,117.396,32.9389,2026-01-28T1400,58,104,0.6,20,4,88,59,79,细颗粒物(PM2.5)
蚌埠市,百货大楼,117.3606,32.9428,2026-01-28T1400,74,100,0.7,13,6,88,63,99,细颗粒物(PM2.5)
蚌埠市,蚌埠学院,117.4183,32.8909,2026-01-28T1400,,97,0.7,16,4,94,58,,
蚌埠市,淮上区政府,117.3534,32.9672,2026-01-28T1400,70,100,0.6,15,2,90,60,94,细颗粒物(PM2.5)
蚌埠市,高新区,117.3143,32.8977,2026-01-28T1400,100,105,0.6,11,6,83,60,132,细颗粒物(PM2.5)
蚌埠市,蚌埠田家炳中学,117.3091,32.9314,2026-01-28T1400,81,112,0.6,16,4,88,61,108,细颗粒物(PM2.5)
包头市,市环境监测站,109.8761,40.6533,2026-01-28T1400,57,122,2.5,32,30,84,41,86,颗粒物(PM10)
包头市,包头八中,109.9992,40.5843,2026-01-28T1400,52,124,0.9,20,12,80,30,87,颗粒物(PM10)
包头市,惠龙物流,109.8641,40.6288,2026-01-28T1400,58,125,2.8,32,50,81,39,88,颗粒物(PM10)
包头市,东河鸿龙湾,110.0376,40.5546,2026-01-28T1400,39,117,1.4,31,25,78,30,84,颗粒物(PM10)
包头市,滨河大厦,109.9154,40.5684,2026-01-28T1400,50,132,1.9,29,21,75,33,91,颗粒物(PM10)
包头市,包头市委党校,109.9449,40.6259,2026-01-28T1400,49,122,1.0,21,16,82,35,86,颗粒物(PM10)
包头市,昆区政府,109.8332,40.6577,2026-01-28T1400,82,120,5.3,55,63,86,51,109,细颗粒物(PM2.5)
宝鸡市,竹园沟,107.0802,34.3129,2026-01-28T1400,86,258,0.7,21,9,80,50,154,颗粒物(PM10)
宝鸡市,监测站,107.1429,34.3549,2026-01-28T1400,114,283,0.7,31,8,79,34,167,颗粒物(PM10)
宝鸡市,技工学校,107.1172,34.3759,2026-01-28T1400,99,296,0.7,24,7,92,36,173,颗粒物(PM10)
宝鸡市,文理学院,107.2025,34.3518,2026-01-28T1400,111,280,0.8,27,9,86,38,165,颗粒物(PM10)
宝鸡市,三迪小学,107.2396,34.3626,2026-01-28T1400,120,302,0.9,33,15,86,36,176,颗粒物(PM10)
宝鸡市,滨河北路,107.1721,34.3558,2026-01-28T1400,102,253,0.9,24,8,80,38,152,颗粒物(PM10)
宝鸡市,陈仓区北开路21号,107.3898,34.3601,2026-01-28T1400,102,300,0.6,33,14,89,54,175,颗粒物(PM10)
保定市,游泳馆,115.4803,38.8568,2026-01-28T1400,70,97,0.9,42,14,44,21,94,细颗粒物(PM2.5)
保定市,华电二区,115.509,38.8895,2026-01-28T1400,71,86,0.9,38,11,38,14,95,细颗粒物(PM2.5)
保定市,接待中心,115.4588,38.9037,2026-01-28T1400,64,89,0.8,39,11,39,17,87,细颗粒物(PM2.5)
保定市,地表水厂,115.4484,38.8344,2026-01-28T1400,63,108,0.8,42,13,41,20,85,细颗粒物(PM2.5)
保定市,满城区生态环境分局,115.3136,38.9511,2026-01-28T1400,44,105,0.7,29,15,50,29,78,颗粒物(PM10)
保定市,清苑区第二中学,115.4709,38.7628,2026-01-28T1400,68,133,0.9,42,15,41,20,92,"颗粒物(PM10),细颗粒物(PM2.5)"
保定市,徐水物探局,115.6231,39.0223,2026-01-28T1400,72,131,1.0,33,14,60,30,97,细颗粒物(PM2.5)
保定市,双鹰农机,115.4199,38.8665,2026-01-28T1400,64,117,0.8,37,14,49,27,87,细颗粒物(PM2.5)
保定市,植保所站,115.515,38.8589,2026-01-28T1400,71,107,0.9,48,10,38,15,95,细颗粒物(PM2.5)
保山市,市环境监测站,99.1589,25.1137,2026-01-28T1400,19,32,0.3,10,6,105,63,33,
