area,positionname,longitude,latitude,timepoint,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant
阿坝藏族羌族自治州,马师校,102.2503,31.8896,2026-01-31T1400,7,8,0.5,5,4,84,56,27,
阿坝藏族羌族自治州,马尔康中学西区,102.2174,31.9016,2026-01-31T1400,7,13,0.7,5,7,81,59,26,
阿克苏地区,电视台,80.2899,41.1684,2026-01-31T1400,70,169,1.0,15,12,68,54,110,颗粒物(PM10)
阿克苏地区,艺术中心,80.2592,41.1541,2026-01-31T1400,75,173,0.6,17,10,80,58,112,颗粒物(PM10)
阿拉善盟,蒙二幼,105.699,38.8409,2026-01-31T1400,31,144,0.5,5,9,80,62,97,颗粒物(PM10)
阿拉善盟,环保局新楼,105.7198,38.8508,2026-01-31T1400,48,134,0.3,6,7,72,66,92,颗粒物(PM10)
阿勒泰地区,市站,88.1266,47.8515,2026-01-31T1400,3,8,0.1,13,5,82,73,26,
阿勒泰地区,阿勒泰路33号,88.1198,47.7931,2026-01-31T1400,3,9,0.4,14,7,78,83,25,
阿里地区,阿里监测站,80.1171,32.4999,2026-01-31T1400,6,,0.2,2,6,76,66,24,
阿里地区,阿里藏医院,80.0906,32.5029,2026-01-31T1400,3,6,0.3,1,8,80,61,25,
安康市,汉滨区检察院,109.0088,32.6974,2026-01-31T1400,40,40,1.2,9,8,70,27,57,细颗粒物(PM2.5)
安康市,市邮政管理局,109.0324,32.6913,2026-01-31T1400,33,51,0.9,13,4,74,29,51,颗粒物(PM10)
安庆市,环科院,117.0806,30.5181,2026-01-31T1400,31,37,0.5,11,5,47,48,45,
安庆市,马山宾馆,117.0331,30.5118,2026-01-31T1400,31,,,10,,50,49,,
安庆市,安庆大学,116.9897,30.6146,2026-01-31T1400,25,32,0.5,12,3,55,54,36,
安庆市,市人大,117.0598,30.5351,2026-01-31T1400,29,42,0.4,11,4,48,49,42,
安顺市,凤凰山,105.9408,26.2431,2026-01-31T1400,20,23,0.8,10,15,41,34,29,
安顺市,金钟山,105.9443,26.2567,2026-01-31T1400,24,,0.8,10,15,41,32,35,
安顺市,娄家坡,105.8983,26.248,2026-01-31T1400,34,,0.9,11,15,36,33,49,
安阳市,红庙街,114.3552,36.1017,2026-01-31T1400,151,177,1.7,32,1,26,20,201,细颗粒物(PM2.5)
安阳市,银杏小区,114.361,36.0681,2026-01-31T1400,127,190,2.1,29,4,31,18,168,细颗粒物(PM2.5)
安阳市,信访局,114.3921,36.0879,2026-01-31T1400,139,,1.5,26,4,27,18,185,细颗粒物(PM2.5)
安阳市,左辅环卫站,114.4706,36.0634,2026-01-31T1400,158,160,1.3,27,4,32,25,208,细颗粒物(PM2.5)
安阳市,钢三路198号,114.2918,36.0769,2026-01-31T1400,274,293,3.2,36,7,20,13,324,细颗粒物(PM2.5)
鞍山市,深沟寺,123.0441,41.1201,2026-01-31T1400,33,54,1.0,21,9,72,51,52,颗粒物(PM10)
鞍山市,太阳城,123.011,41.0931,2026-01-31T1400,37,49,1.1,22,13,68,42,53,细颗粒物(PM2.5)
鞍山市,太平,123.0483,41.1445,2026-01-31T1400,34,58,0.7,22,12,67,39,54,颗粒物(PM10)
鞍山市,铁西三道街,122.964,41.0968,2026-01-31T1400,46,67,1.9,34,30,65,37,64,细颗粒物(PM2.5)
鞍山市,明达新区,123.0219,41.0822,2026-01-31T1400,38,54,1.3,23,14,70,47,54,细颗粒物(PM2.5)
鞍山市,兴盛南路290号,122.944647,41.082639,2026-01-31T1400,54,80,1.6,38,28,60,30,74,细颗粒物(PM2.5)
巴彦淖尔市,附二中,107.4206,40.7609,2026-01-31T1400,14,46,0.3,8,8,68,36,46,
巴彦淖尔市,市环保大楼,107.37,40.7372,2026-01-31T1400,6,36,0.4,7,5,71,41,36,
巴音郭楞蒙古自治州,孔雀公园,86.1476,41.7529,2026-01-31T1400,34,102,0.7,33,10,52,20,76,颗粒物(PM10)
巴音郭楞蒙古自治州,棉纺厂,86.1971,41.7166,2026-01-31T1400,26,112,/,8,/,72,28,81,颗粒物(PM10)
巴音郭楞蒙古自治州,经济开发区,86.236,41.7172,2026-01-31T1400,31,95,0.5,6,8,66,23,73,颗粒物(PM10)
巴中市,市五中,106.776805,31.852614,2026-01-31T1400,32,47,0.9,20,6,51,18,47,
巴中市,圣泉水务公司,106.7419,31.8654,2026-01-31T1400,36,38,,19,2,55,25,,
巴中市,市中心医院,106.7617,31.8343,2026-01-31T1400,28,37,0.9,15,5,59,16,40,
白城市,洮北区环保局,122.7909,45.608,2026-01-31T1400,8,22,0.2,6,7,77,64,25,
白城市,市环保局,122.8741,45.5725,2026-01-31T1400,3,14,0.2,4,5,78,58,25,
白山市,喜丰,126.4219,41.9172,2026-01-31T1400,11,43,0.8,10,20,78,44,43,
白山市,环保局,126.4082,41.9416,2026-01-31T1400,11,31,0.7,10,10,78,42,31,
白银市,第三小学,104.1727,36.5448,2026-01-31T1400,135,342,1.3,40,29,53,33,196,颗粒物(PM10)
白银市,动力公司,104.1467,36.5482,2026-01-31T1400,100,270,0.9,23,22,75,48,160,颗粒物(PM10)
百色市,市监测站,106.6102,23.901,2026-01-31T1400,3,10,0.8,11,8,74,54,24,
百色市,市中心血站,106.6524,23.8842,2026-01-31T1400,8,22,0.7,6,7,75,59,24,
