area,positionname,longitude,latitude,timepoint,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant
阿坝藏族羌族自治州,马师校,102.2503,31.8896,2026-04-30T1800,6,17,0.2,4,6,94,90,30,
阿坝藏族羌族自治州,马尔康中学西区,102.2174,31.9016,2026-04-30T1800,6,7,0.3,6,4,82,86,26,
阿克苏地区,电视台,80.2899,41.1684,2026-04-30T1800,87,215,0.2,4,3,120,111,137,颗粒物(PM10)
阿克苏地区,艺术中心,80.2592,41.1541,2026-04-30T1800,NA,NA,0.3,NA,4,NA,107,NA,NA
阿拉善盟,蒙二幼,105.699,38.8409,2026-04-30T1800,17,36,0.4,6,10,144,133,45,
阿拉善盟,环保局新楼,105.7198,38.8508,2026-04-30T1800,10,39,0.5,6,9,136,126,43,
阿勒泰地区,市站,88.1266,47.8515,2026-04-30T1800,NA,8,0.2,5,4,107,106,NA,NA
阿勒泰地区,阿勒泰路33号,88.1198,47.7931,2026-04-30T1800,3,12,0.1,3,4,107,107,34,
阿里地区,阿里监测站,80.1171,32.4999,2026-04-30T1800,3,9,0.3,1,6,122,NA,39,
阿里地区,阿里藏医院,80.0906,32.5029,2026-04-30T1800,3,9,0.3,1,9,137,127,43,
安康市,汉滨区检察院,109.0088,32.6974,2026-04-30T1800,20,38,0.3,6,7,111,110,38,
安康市,市邮政管理局,109.0324,32.6913,2026-04-30T1800,18,41,0.5,5,6,109,109,41,
安庆市,环科院,117.0806,30.5181,2026-04-30T1800,3,16,0.3,21,7,121,124,38,
安庆市,马山宾馆,117.0331,30.5118,2026-04-30T1800,7,20,0.1,40,5,100,114,32,
安庆市,安庆大学,116.9897,30.6146,2026-04-30T1800,12,30,0.4,19,11,139,131,44,
安庆市,市人大,117.0598,30.5351,2026-04-30T1800,6,23,0.3,13,4,125,124,40,
安顺市,凤凰山,105.9408,26.2431,2026-04-30T1800,31,42,0.5,10,8,96,95,45,
安顺市,金钟山,105.9443,26.2567,2026-04-30T1800,26,37,0.6,8,7,88,88,38,
安顺市,娄家坡,105.8983,26.248,2026-04-30T1800,28,34,0.5,7,6,91,88,40,
安阳市,红庙街,114.3552,36.1017,2026-04-30T1800,34,74,0.5,15,6,168,159,68,颗粒物(PM10)
安阳市,银杏小区,114.361,36.0681,2026-04-30T1800,26,69,0.2,14,7,172,161,65,臭氧1小时(O3_1h)
安阳市,信访局,114.3921,36.0879,2026-04-30T1800,41,68,0.5,7,6,172,161,65,臭氧1小时(O3_1h)
安阳市,左辅环卫站,114.4706,36.0634,2026-04-30T1800,41,69,0.6,11,4,164,155,64,颗粒物(PM10)
安阳市,钢三路198号,114.2918,36.0769,2026-04-30T1800,35,68,0.6,13,6,160,155,63,颗粒物(PM10)
鞍山市,深沟寺,123.0441,41.1201,2026-04-30T1800,21,46,0.6,14,9,144,133,46,
鞍山市,太阳城,123.011,41.0931,2026-04-30T1800,22,45,0.6,14,10,136,128,45,
