stationcode,timepoint,longitude,latitude,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant,positionname,area
3207A,2024-11-06T1300,118.3118,32.3038,20,29,0.3,14,6,98,50,31,—,市政府原办公楼,滁州市
3331A,2024-11-06T1300,118.3267,32.2634,15,36,0.3,11,5,98,54,36,—,图书馆,滁州市
2605A,2024-11-06T1300,101.5482,25.0441,37,49,0.7,8,6,71,25,53,细颗粒物(PM2.5),州环境监测站,楚雄彝族自治州
2606A,2024-11-06T1300,101.538,25.0492,39,48,0.8,10,6,68,24,55,细颗粒物(PM2.5),市经济开发区,楚雄彝族自治州
2548A,2024-11-06T1300,107.5277,31.2827,27,38,0.7,22,6,23,7,39,—,达州职业技术学院,达州市
2549A,2024-11-06T1300,107.5086,31.2186,19,49,0.5,33,7,20,7,49,—,市环境监测站,达州市
2550A,2024-11-06T1300,107.4988,31.2132,27,48,0.7,32,10,24,10,48,—,凤凰小区,达州市
2551A,2024-11-06T1300,107.5082,31.1986,32,39,0.6,27,6,38,16,46,—,达县机关宾馆,达州市
2552A,2024-11-06T1300,107.4644,31.2124,27,51,0.7,35,7,24,9,51,颗粒物(PM10),市政中心,达州市
2614A,2024-11-06T1300,100.1542,25.7054,35,—,0.6,11,6,62,28,50,—,大理市环境监测站,大理白族自治州
2615A,2024-11-06T1300,100.2171,25.5811,9,33,0.5,9,7,64,38,33,—,大理古城,大理白族自治州
1109A,2024-11-06T1300,121.612,38.9741,12,25,0.7,30,11,58,43,25,—,甘井子,大连市
1110A,2024-11-06T1300,121.565,38.9511,15,28,0.5,33,10,49,31,28,—,周水子,大连市
1111A,2024-11-06T1300,121.5637,38.8845,9,21,0.5,16,9,66,39,21,—,星海三站,大连市
1112A,2024-11-06T1300,121.6302,38.9117,12,27,0.1,32,12,50,42,27,—,青泥洼桥,大连市
1113A,2024-11-06T1300,121.6251,38.8638,8,16,0.3,17,12,70,54,22,—,傅家庄,大连市
1114A,2024-11-06T1300,121.5213,38.8661,6,21,0.6,14,9,66,41,21,—,七贤岭,大连市
1115A,2024-11-06T1300,121.2529,38.8061,6,19,0.5,18,10,69,51,22,—,旅顺,大连市
1116A,2024-11-06T1300,121.7485,39.1311,11,18,0.4,14,5,68,48,22,—,金州,大连市
1117A,2024-11-06T1300,121.7811,39.0496,11,21,0.2,16,6,57,55,21,—,开发区,大连市
1118A,2024-11-06T1300,121.9762,39.0631,6,13,0.4,10,7,76,65,24,—,双D港,大连市
1789A,2024-11-06T1300,124.81117,46.03138,19,30,0.3,3,3,58,32,30,—,大同区,大庆市
1790A,2024-11-06T1300,125.129,46.533,32,44,0.5,6,4,54,32,46,—,龙凤区,大庆市
1791A,2024-11-06T1300,124.902,46.408,27,41,0.3,11,8,58,34,41,—,红岗区,大庆市
1792A,2024-11-06T1300,125.153,46.586,35,—,—,9,6,57,35,—,—,萨尔图区,大庆市
1793A,2024-11-06T1300,124.9042,46.6215,51,52,0.3,7,6,53,36,70,细颗粒物(PM2.5),让胡路区,大庆市
3481A,2024-11-06T1300,125.141,46.634,24,48,0.3,7,5,52,32,48,—,萨区政府监测点,大庆市
1721A,2024-11-06T1300,113.3819,40.1097,20,35,0.4,27,14,61,21,35,—,果树场,大同市
1723A,2024-11-06T1300,113.2994,40.0758,36,82,0.9,40,21,56,26,66,颗粒物(PM10),云冈宾馆,大同市
1724A,2024-11-06T1300,113.3444,40.0917,22,52,0.7,35,18,56,24,51,颗粒物(PM10),大同大学,大同市
1725A,2024-11-06T1300,113.2661,40.1269,42,88,0.7,38,25,60,24,69,颗粒物(PM10),安家小村,大同市
1726A,2024-11-06T1300,113.2711,40.0844,28,78,0.7,37,19,59,24,64,颗粒物(PM10),教育学院,大同市
3282A,2024-11-06T1300,113.3397,40.0597,—,—,0.4,35,—,60,28,—,—,大同市卫生学校,大同市
3565A,2024-11-06T1300,113.1367,40.1122,39,85,0.6,35,22,65,26,68,颗粒物(PM10),云冈站,大同市
3566A,2024-11-06T1300,113.1186,40.2556,44,83,0.7,34,69,61,29,67,颗粒物(PM10),图书馆,大同市
3567A,2024-11-06T1300,113.5931,40.0461,12,62,0.6,31,23,54,31,56,颗粒物(PM10),区一中,大同市
3676A,2024-11-06T1300,113.2802,40.0995,34,89,0.7,35,21,61,26,70,颗粒物(PM10),第二人民医院,大同市
2269A,2024-11-06T1300,124.1069,50.4097,7,—,0.2,3,4,48,40,15,—,科技局,大兴安岭地区
3663A,2024-11-06T1300,124.1164,50.4278,3,6,0.3,5,3,45,36,15,—,红旗社区,大兴安岭地区
1600A,2024-11-06T1300,124.3303,40.0625,8,18,—,4,—,60,47,—,—,江湾东路,丹东市
1601A,2024-11-06T1300,124.4256,40.1503,10,11,0.3,4,5,64,51,20,—,临江后街,丹东市
1602A,2024-11-06T1300,124.3933,40.1461,3,13,0.4,3,4,63,53,20,—,元宝山,丹东市
1603A,2024-11-06T1300,124.3633,40.1092,6,19,0.3,4,5,63,48,20,—,民主桥,丹东市
3541A,2024-11-06T1300,109.5726,19.5167,26,41,0.7,8,7,95,86,41,—,第一中学子站,儋州市
3542A,2024-11-06T1300,109.5567,19.5187,20,41,0.7,10,7,106,90,41,—,东坡学校子站,儋州市
2616A,2024-11-06T1300,98.5842,24.428,8,22,0.6,15,5,54,23,22,—,德宏州监测站,德宏傣族景颇族自治州
3677A,2024-11-06T1300,98.5881,24.4368,10,24,0.8,16,5,45,20,24,—,芒市人民政府综合楼,德宏傣族景颇族自治州
1901A,2024-11-06T1300,104.4239,31.1208,20,45,0.6,10,1,63,37,45,—,东山公园,德阳市
1902A,2024-11-06T1300,104.3826,31.1317,32,61,0.7,24,2,37,40,56,颗粒物(PM10),西小区,德阳市
1904A,2024-11-06T1300,104.3553,31.1091,28,47,0.4,20,3,42,35,47,—,耐火材料厂,德阳市
3639A,2024-11-06T1300,104.4019,31.1244,21,47,0.7,23,2,39,35,47,—,市教育局,德阳市
1622A,2024-11-06T1300,116.3032,37.4674,34,68,0.6,33,23,85,39,59,颗粒物(PM10),儿童乐园,德州市
1624A,2024-11-06T1300,116.2991,37.4451,24,53,0.6,25,19,88,39,52,颗粒物(PM10),监理站,德州市
3066A,2024-11-06T1300,116.2721,37.4379,22,58,0.6,25,23,85,35,54,颗粒物(PM10),九衢泉纯净水厂,德州市
3371A,2024-11-06T1300,116.3728,37.4403,24,66,0.7,26,18,74,33,58,颗粒物(PM10),开发区人民医院,德州市
3372A,2024-11-06T1300,116.3572,37.4094,24,58,0.7,31,15,—,23,—,—,太阳城中学,德州市
3511A,2024-11-06T1300,116.5652,37.3319,24,41,0.6,24,15,72,35,41,—,陵城艺术中心,德州市
2621A,2024-11-06T1300,99.7056,27.8317,24,47,0.4,17,8,64,42,47,—,迪庆州站,迪庆藏族自治州
3180A,2024-11-06T1300,99.7136,27.8094,3,41,0.7,21,8,59,41,41,—,质量技术监督局,迪庆藏族自治州
2663A,2024-11-06T1300,104.6241,35.5734,27,66,0.3,8,3,69,61,58,颗粒物(PM10),东关小学,定西市
2664A,2024-11-06T1300,104.6194,35.5934,30,47,0.3,6,7,71,61,47,—,供电公司,定西市
1389A,2024-11-06T1300,113.7547,23.0494,35,52,0.8,14,9,149,119,51,颗粒物(PM10),莞城梨川,东莞市
1390A,2024-11-06T1300,113.7944,23.0128,36,52,0.8,13,11,152,118,52,细颗粒物(PM2.5),东城石井,东莞市
1391A,2024-11-06T1300,113.7383,22.9658,34,54,0.8,13,9,154,113,52,颗粒物(PM10),南城西平,东莞市
3319A,2024-11-06T1300,113.7338,23.0381,32,48,0.8,11,8,145,118,48,—,万江金泰,东莞市
3626A,2024-11-06T1300,113.7533,23.0202,36,55,0.8,10,9,148,115,53,颗粒物(PM10),南城元岭,东莞市
3627A,2024-11-06T1300,113.7875,23.0457,36,56,0.8,14,10,154,119,53,颗粒物(PM10),东城主山,东莞市
1666A,2024-11-06T1300,118.6614,37.4309,19,36,0.5,23,6,82,31,36,—,市环保局,东营市
3036A,2024-11-06T1300,118.6904,37.4338,22,44,0.5,22,9,78,31,44,—,开发区管委会,东营市
3365A,2024-11-06T1300,118.5719,37.565,24,48,0.4,25,11,89,32,48,—,垦利区民丰路,东营市
3498A,2024-11-06T1300,118.5055,37.8612,17,44,0.4,16,—,76,31,—,—,河口城区,东营市
3646A,2024-11-06T1300,118.4978,37.4623,12,56,0.4,28,7,80,36,53,颗粒物(PM10),胜利站,东营市
3734A,2024-11-06T1300,118.35,37.26,22,46,0.4,26,7,75,30,46,—,理想之城,东营市
1591A,2024-11-06T1300,110.0023,39.8129,29,73,0.7,32,15,71,43,62,颗粒物(PM10),综合楼,鄂尔多斯市
1592A,2024-11-06T1300,109.9486,39.8261,29,58,0.7,40,20,60,42,54,颗粒物(PM10),巴音孟克林场办事处,鄂尔多斯市
1593A,2024-11-06T1300,109.7736,39.5986,17,44,0.6,18,11,87,26,44,—,康泽苑,鄂尔多斯市
1594A,2024-11-06T1300,109.8119,39.5989,14,41,0.6,21,13,80,23,41,—,华泰汽车城,鄂尔多斯市
1595A,2024-11-06T1300,109.9734,39.7884,24,68,0.8,33,16,61,30,59,颗粒物(PM10),奥林花园,鄂尔多斯市
2436A,2024-11-06T1300,114.8938,30.3994,24,47,0.7,24,12,104,63,47,—,市政府,鄂州市
2437A,2024-11-06T1300,114.8989,30.3714,43,—,0.5,—,—,—,62,—,—,赵家坝,鄂州市
3654A,2024-11-06T1300,114.8094,30.4089,27,63,1.0,25,16,115,81,57,颗粒物(PM10),精准医疗中心,鄂州市
2454A,2024-11-06T1300,109.4978,30.2981,31,52,0.6,18,6,67,25,51,颗粒物(PM10),湖北民院,恩施土家族苗族自治州
2455A,2024-11-06T1300,109.4707,30.2798,31,50,0.6,19,8,69,24,50,—,州电力总公司,恩施土家族苗族自治州
3549A,2024-11-06T1300,109.5061,30.3772,28,43,0.7,14,5,70,26,43,—,龙凤新区,恩施土家族苗族自治州
2499A,2024-11-06T1300,108.3411,21.6158,52,58,0.7,13,6,125,108,72,细颗粒物(PM2.5),沙万,防城港市
2500A,2024-11-06T1300,108.3514,21.7731,—,—,0.9,—,7,118,94,—,—,防城档案局,防城港市
2501A,2024-11-06T1300,108.3506,21.6414,48,65,0.8,14,6,127,114,67,细颗粒物(PM2.5),大海花园,防城港市
1371A,2024-11-06T1300,113.1294,23.0067,35,63,0.8,26,8,162,126,57,颗粒物(PM10),湾梁,佛山市
1372A,2024-11-06T1300,113.1083,23.0478,38,66,0.7,24,9,169,122,62,臭氧1小时,华材职中,佛山市
1373A,2024-11-06T1300,113.144,23.0453,33,67,0.6,20,8,164,124,59,颗粒物(PM10),南海气象局,佛山市
1374A,2024-11-06T1300,113.2881,22.8094,31,59,0.9,18,8,154,112,55,颗粒物(PM10),顺德苏岗,佛山市
1376A,2024-11-06T1300,112.8383,22.8678,39,62,—,15,8,172,120,—,—,高明孔堂,佛山市
1377A,2024-11-06T1300,112.8836,23.1588,41,53,0.7,16,9,158,122,58,细颗粒物(PM2.5),三水监测站,佛山市
1378A,2024-11-06T1300,112.867,23.185,39,42,0.7,15,11,151,109,55,细颗粒物(PM2.5),三水云东海,佛山市
3625A,2024-11-06T1300,113.2544,22.7642,36,58,0.7,21,8,160,118,54,颗粒物(PM10),容桂街道办,佛山市
1280A,2024-11-06T1300,119.3903,26.0543,—,—,—,—,—,—,110,—,—,鼓山,福州市
1282A,2024-11-06T1300,119.2681,26.0504,7,31,0.3,7,3,121,104,38,—,师大,福州市
1283A,2024-11-06T1300,119.2984,26.1028,10,30,0.3,14,1,118,99,37,—,五四北路,福州市
1284A,2024-11-06T1300,119.2648,26.0768,9,25,0.3,5,1,122,103,39,—,杨桥西路,福州市
1285A,2024-11-06T1300,119.317,26.0746,8,35,0.4,8,3,109,90,35,—,紫阳,福州市
3048A,2024-11-06T1300,119.5799,26.0936,—,—,—,—,—,—,124,—,—,九龙,福州市
3526A,2024-11-06T1300,119.5189,25.9664,9,22,0.1,8,3,113,98,36,—,吴航,福州市
1755A,2024-11-06T1300,123.7977,41.8491,12,18,0.7,12,5,62,31,20,—,望花区,抚顺市
1756A,2024-11-06T1300,123.9161,41.8822,7,21,0.3,13,6,60,25,21,—,顺城区,抚顺市
1757A,2024-11-06T1300,124.0436,41.8611,3,—,0.3,5,7,59,34,19,—,东洲区,抚顺市
1758A,2024-11-06T1300,123.9247,41.8642,8,18,0.1,11,9,59,28,19,—,新抚区,抚顺市
1759A,2024-11-06T1300,124.0972,41.8961,6,—,0.3,2,7,64,40,20,—,大伙房水库,抚顺市
1760A,2024-11-06T1300,123.7086,41.8391,15,32,0.6,12,10,62,30,32,—,沈抚新城,抚顺市
2376A,2024-11-06T1300,116.2127,28.0814,25,54,0.4,5,6,111,67,52,颗粒物(PM10),桐源党溪,抚州市
2377A,2024-11-06T1300,116.3544,27.9831,17,48,—,14,—,106,69,—,—,市站,抚州市
2378A,2024-11-06T1300,116.3565,27.963,21,50,0.4,8,7,115,47,50,—,血防站,抚州市
2379A,2024-11-06T1300,116.3564,28.0007,20,43,0.8,5,8,117,71,43,—,采茶剧团,抚州市
2380A,2024-11-06T1300,116.385,27.9647,20,49,0.6,9,9,110,67,49,—,医学分院,抚州市
2207A,2024-11-06T1300,121.6094,41.998,11,31,0.3,12,15,75,28,31,—,工业园区,阜新市
2208A,2024-11-06T1300,121.6697,42.0279,15,25,0.5,22,16,62,25,25,—,长青街,阜新市
2209A,2024-11-06T1300,121.6673,42.0705,14,33,0.3,15,13,62,42,33,—,农业园区,阜新市
2210A,2024-11-06T1300,121.6717,42.0224,24,42,0.6,25,24,56,26,42,—,东苑,阜新市
2211A,2024-11-06T1300,121.6506,42.0498,18,45,—,12,14,66,29,—,—,玉龙新城,阜新市
2301A,2024-11-06T1300,115.8277,32.8929,48,69,0.5,22,11,99,50,67,细颗粒物(PM2.5),市监测站,阜阳市
2303A,2024-11-06T1300,115.8554,32.8605,50,89,0.6,24,10,100,45,70,颗粒物(PM10),开发区,阜阳市
2875A,2024-11-06T1300,115.784,32.8892,44,71,—,20,10,97,45,—,—,阜阳职业技术学院,阜阳市
3468A,2024-11-06T1300,115.7901,32.8613,48,71,0.4,19,10,103,52,67,细颗粒物(PM2.5),市规划展馆,阜阳市
3469A,2024-11-06T1300,115.836,32.9183,45,68,0.4,18,10,100,43,63,细颗粒物(PM2.5),枣园社区,阜阳市
2669A,2024-11-06T1300,102.9099,34.9841,8,15,0.3,5,4,70,23,22,—,州政府,甘南藏族自治州
3380A,2024-11-06T1300,102.8914,34.9617,12,—,0.8,17,12,68,21,22,—,甘肃民族师范学院,甘南藏族自治州
2570A,2024-11-06T1300,101.9603,30.0475,9,14,0.2,8,6,45,17,15,—,水桥子,甘孜藏族自治州
3065A,2024-11-06T1300,101.9533,29.9972,3,8,0.2,8,3,54,34,17,—,州环保局,甘孜藏族自治州
3414A,2024-11-06T1300,115.8347,28.932,23,46,0.7,14,11,111,71,46,—,桑海产业园,赣江新区
2362A,2024-11-06T1300,114.9017,25.9149,3,6,1.6,8,123,129,72,41,—,通天岩,赣州市
2363A,2024-11-06T1300,114.9367,25.8664,32,47,0.7,9,1,122,106,47,—,地委,赣州市
2364A,2024-11-06T1300,114.9461,25.8481,36,57,0.7,8,4,121,104,54,颗粒物(PM10),气象台,赣州市
2365A,2024-11-06T1300,114.9322,25.8333,27,44,0.6,10,6,127,112,44,—,市图书馆,赣州市
2366A,2024-11-06T1300,114.8905,25.8471,26,42,0.7,9,7,119,110,42,—,华坚鞋城,赣州市
3109A,2024-11-06T1300,115.0093,25.8613,19,45,0.7,6,5,102,88,45,—,赣县区卫计委,赣州市
2683A,2024-11-06T1300,106.2319,36.1417,3,13,0.4,5,6,80,36,25,—,马园,固原市
2684A,2024-11-06T1300,106.2792,36.0022,14,20,0.4,18,6,79,34,25,—,监测站,固原市
2685A,2024-11-06T1300,106.2375,36.0211,10,15,0.3,9,4,78,34,25,—,新区,固原市
3522A,2024-11-06T1300,106.2177,35.9959,8,18,0.3,6,5,92,78,29,—,原州区十五小,固原市
2543A,2024-11-06T1300,106.6308,30.5278,—,—,—,—,—,—,—,—,—,小平旧居,广安市
2544A,2024-11-06T1300,106.6303,30.4576,20,42,0.5,13,4,66,37,42,—,市委,广安市
2545A,2024-11-06T1300,106.6271,30.4663,25,32,0.5,14,3,64,29,36,—,友谊中学,广安市
2547A,2024-11-06T1300,106.6388,30.4551,17,34,0.3,15,5,63,37,34,—,广电花园,广安市
2902A,2024-11-06T1300,106.6351,30.4865,20,41,0.6,13,4,64,39,41,—,北辰小学,广安市
2523A,2024-11-06T1300,105.8945,32.4535,10,32,0.4,21,5,5,26,32,—,黑石坡,广元市
2524A,2024-11-06T1300,105.821,32.4444,24,33,1.1,29,11,21,14,35,—,老城,广元市
2526A,2024-11-06T1300,105.8628,32.4287,16,26,0.7,33,1,22,12,26,—,监测站,广元市
3617A,2024-11-06T1300,105.8047,32.4166,58,99,1.5,38,59,15,13,79,细颗粒物(PM2.5),经开区,广元市
1345A,2024-11-06T1300,113.2347,23.1423,37,66,1.1,20,8,152,118,58,颗粒物(PM10),广雅中学,广州市
1346A,2024-11-06T1300,113.2612,23.105,53,80,0.7,17,6,164,133,73,细颗粒物(PM2.5),市五中,广州市
1348A,2024-11-06T1300,113.3478,23.0916,34,47,0.6,14,8,152,125,49,—,广东商学院,广州市
1349A,2024-11-06T1300,113.4332,23.1047,33,51,0.7,13,5,137,111,51,颗粒物(PM10),市八十六中,广州市
1350A,2024-11-06T1300,113.3505,22.9483,8,36,0.6,19,7,159,122,50,—,番禺中学,广州市
1351A,2024-11-06T1300,113.2146,23.3916,33,49,1.1,12,7,143,126,49,—,花都师范,广州市
1352A,2024-11-06T1300,113.2597,23.1331,34,58,0.6,11,6,153,122,54,颗粒物(PM10),市监测站,广州市
1353A,2024-11-06T1300,113.5618,23.312,31,48,0.7,10,6,130,117,48,—,九龙镇镇龙,广州市
1354A,2024-11-06T1300,113.2765,23.1544,40,63,0.7,15,6,157,123,57,"颗粒物(PM10),细颗粒物(PM2.5)",麓湖,广州市
1355A,2024-11-06T1300,113.443,23.3035,28,41,0.7,11,7,146,124,46,—,帽峰山森林公园,广州市
2846A,2024-11-06T1300,113.3221,23.1322,38,53,0.9,10,7,151,119,54,细颗粒物(PM2.5),体育西,广州市
3298A,2024-11-06T1300,113.5717,23.5491,36,45,0.7,9,8,130,126,52,细颗粒物(PM2.5),从化街口,广州市
3299A,2024-11-06T1300,113.3472,23.3692,34,65,0.8,10,8,148,132,58,颗粒物(PM10),白云竹料,广州市
3300A,2024-11-06T1300,113.2981,23.237,36,57,0.9,18,8,150,126,54,颗粒物(PM10),白云嘉禾,广州市
3301A,2024-11-06T1300,113.4256,23.1716,32,47,0.7,11,7,143,122,47,—,黄埔科学城,广州市
3302A,2024-11-06T1300,113.3942,23.0483,29,86,0.6,15,7,149,114,68,颗粒物(PM10),番禺大学城,广州市
3303A,2024-11-06T1300,113.4922,22.8168,41,73,0.8,22,10,165,108,62,颗粒物(PM10),南沙黄阁,广州市
3304A,2024-11-06T1300,113.5342,22.7896,—,64,0.8,19,—,172,106,—,—,南沙街,广州市
3443A,2024-11-06T1300,113.2902,23.5544,33,48,0.7,9,9,138,124,48,—,花都梯面,广州市
3445A,2024-11-06T1300,113.7858,23.7478,33,44,0.8,8,—,130,126,—,—,从化良口,广州市
3446A,2024-11-06T1300,113.8051,23.2614,34,47,0.7,12,8,132,115,49,—,增城荔城,广州市
2505A,2024-11-06T1300,109.568,23.1478,—,—,—,—,—,—,—,—,—,德智高中,贵港市
2506A,2024-11-06T1300,109.6047,23.0666,50,78,—,—,9,159,109,—,—,江南子站,贵港市
2507A,2024-11-06T1300,109.6014,23.0948,48,74,0.9,11,9,152,106,67,细颗粒物(PM2.5),贵城子站,贵港市
2508A,2024-11-06T1300,109.5669,23.1065,46,61,0.7,12,11,141,106,64,细颗粒物(PM2.5),荷城子站,贵港市
3405A,2024-11-06T1300,109.5886,23.1172,41,63,0.8,10,9,145,106,58,细颗粒物(PM2.5),新世纪学校,贵港市
1439A,2024-11-06T1300,106.6899,26.5998,29,39,0.7,11,5,123,79,42,—,马鞍山,贵阳市
1440A,2024-11-06T1300,106.6971,26.5694,41,48,0.4,12,5,135,106,58,细颗粒物(PM2.5),市环保站,贵阳市
1441A,2024-11-06T1300,106.6243,26.6266,27,36,0.5,12,5,117,100,39,—,鉴湖路,贵阳市
1442A,2024-11-06T1300,106.7487,26.6343,36,39,0.5,9,6,126,95,52,细颗粒物(PM2.5),燕子冲,贵阳市
1443A,2024-11-06T1300,106.6555,26.4365,29,46,0.5,13,6,134,88,46,—,碧云窝,贵阳市
1444A,2024-11-06T1300,106.694,26.5161,34,61,0.7,16,5,123,100,56,颗粒物(PM10),中院村,贵阳市
1445A,2024-11-06T1300,106.7109,26.6027,41,48,0.7,13,5,129,95,58,细颗粒物(PM2.5),红边门,贵阳市
1446A,2024-11-06T1300,106.7164,26.5699,36,51,0.5,12,6,129,92,52,细颗粒物(PM2.5),新华路,贵阳市
1447A,2024-11-06T1300,106.674,26.5424,34,56,0.5,20,4,119,90,53,颗粒物(PM10),太慈桥,贵阳市
1552A,2024-11-06T1300,106.805,26.3003,36,58,0.6,5,—,51,90,—,—,桐木岭,贵阳市
1862A,2024-11-06T1300,110.4144,25.3167,38,80,0.6,11,5,148,138,65,颗粒物(PM10),电子科大尧山校区,桂林市
1863A,2024-11-06T1300,110.2819,25.2697,58,74,0.8,14,10,151,139,79,细颗粒物(PM2.5),监测站,桂林市
1864A,2024-11-06T1300,110.3089,25.2708,48,56,0.7,11,9,158,144,67,细颗粒物(PM2.5),龙隐路小学,桂林市
1865A,2024-11-06T1300,110.2869,25.2178,41,61,0.9,13,9,149,133,58,细颗粒物(PM2.5),八中,桂林市
3403A,2024-11-06T1300,110.1764,25.2381,39,61,0.6,15,9,153,144,56,颗粒物(PM10),创业大厦,桂林市
3531A,2024-11-06T1300,110.296,25.1253,46,66,—,14,11,156,136,—,—,旅游学院,桂林市
2674A,2024-11-06T1300,100.2561,34.4714,—,20,0.6,5,16,78,39,—,—,玛沁县大武镇,果洛藏族自治州
1129A,2024-11-06T1300,126.5422,45.755,52,68,0.3,10,9,74,59,72,细颗粒物(PM2.5),岭北,哈尔滨市
1130A,2024-11-06T1300,126.561,45.8167,50,—,—,16,8,48,26,—,—,松北商大,哈尔滨市
1131A,2024-11-06T1300,126.979,45.5419,20,32,0.6,7,9,43,17,32,—,阿城会宁,哈尔滨市
1132A,2024-11-06T1300,126.599,45.7222,38,64,0.5,13,6,52,28,57,颗粒物(PM10),南岗学府路,哈尔滨市
1133A,2024-11-06T1300,126.689,45.7733,44,54,0.5,12,7,51,29,62,细颗粒物(PM2.5),太平宏伟公园,哈尔滨市
1134A,2024-11-06T1300,126.635,45.7667,39,63,0.5,18,7,50,29,57,颗粒物(PM10),道外承德广场,哈尔滨市
1135A,2024-11-06T1300,126.685,45.7319,40,53,0.3,10,—,56,30,—,—,香坊红旗大街,哈尔滨市
1136A,2024-11-06T1300,126.6411,45.7258,38,46,0.5,13,8,51,25,54,细颗粒物(PM2.5),动力和平路,哈尔滨市
1137A,2024-11-06T1300,126.593,45.7478,43,53,0.2,12,11,48,25,60,细颗粒物(PM2.5),道里建国路,哈尔滨市
1138A,2024-11-06T1300,126.615,45.61,37,51,2.5,—,6,53,23,—,—,平房东轻厂,哈尔滨市
1139A,2024-11-06T1300,126.595,45.9855,47,60,0.5,17,5,54,28,65,细颗粒物(PM2.5),呼兰师专,哈尔滨市
1140A,2024-11-06T1300,126.6206,45.6842,38,48,0.4,16,6,46,23,54,细颗粒物(PM2.5),省农科院,哈尔滨市
2688A,2024-11-06T1300,93.5128,42.8172,48,135,0.4,34,9,59,52,93,颗粒物(PM10),地区监测站,哈密市
2689A,2024-11-06T1300,93.4961,42.8328,50,137,0.7,39,10,60,38,94,颗粒物(PM10),哈密师范学校,哈密市
2671A,2024-11-06T1300,100.9048,36.9639,19,19,0.5,7,14,90,57,29,—,海晏县西海镇,海北藏族自治州
3867A,2024-11-06T1300,102.0738,36.5056,39,72,1.0,35,26,76,34,61,颗粒物(PM10),平安区公安北苑,海东市
1409A,2024-11-06T1300,110.576,19.9507,—,—,—,—,—,—,—,—,—,东寨港,海口市
1410A,2024-11-06T1300,110.3232,20.0574,33,52,0.6,11,6,138,108,51,颗粒物(PM10),海南大学,海口市
1411A,2024-11-06T1300,110.283,20.0053,35,47,0.5,12,8,136,106,50,—,秀英海南医院,海口市
1412A,2024-11-06T1300,110.338,19.9969,36,52,0.6,12,9,139,106,52,细颗粒物(PM2.5),海南师范大学,海口市
1413A,2024-11-06T1300,110.33,20.0356,34,48,0.5,10,6,137,106,49,—,龙华路环保局宿舍,海口市
3539A,2024-11-06T1300,110.5111,19.9736,37,54,0.5,8,8,146,108,53,细颗粒物(PM2.5),桂林洋子站,海口市
2673A,2024-11-06T1300,100.6188,36.2866,16,—,0.4,7,13,72,35,23,—,共和县恰卜恰镇,海南藏族自治州
2676A,2024-11-06T1300,97.3731,37.3753,12,29,0.4,9,10,83,70,29,—,德令哈市,海西蒙古族藏族自治州
1048A,2024-11-06T1300,114.5302,36.6116,48,72,0.5,12,7,81,28,67,细颗粒物(PM2.5),东污水处理厂,邯郸市
1049A,2024-11-06T1300,114.4918,36.5713,48,76,0.4,19,4,78,26,67,细颗粒物(PM2.5),矿院,邯郸市
1050A,2024-11-06T1300,114.484,36.6133,48,76,0.4,22,7,76,28,67,细颗粒物(PM2.5),丛台公园,邯郸市
3458A,2024-11-06T1300,114.7895,36.5593,34,81,0.8,14,9,103,43,66,颗粒物(PM10),香泉濮院小区,邯郸市
3579A,2024-11-06T1300,114.50634,36.77178,45,82,0.3,19,8,86,24,66,颗粒物(PM10),永年区实验高中,邯郸市
3580A,2024-11-06T1300,114.20016,36.44293,43,69,1.1,28,15,60,33,60,"颗粒物(PM10),细颗粒物(PM2.5)",峰峰矿区临水派出所,邯郸市
2634A,2024-11-06T1300,106.9893,33.1842,28,33,0.5,9,6,63,33,40,—,汉川机床厂子校,汉中市
2635A,2024-11-06T1300,107.0154,33.0706,26,52,0.6,10,10,59,22,51,颗粒物(PM10),市监测站,汉中市
2636A,2024-11-06T1300,107.0089,33.1138,21,50,0.6,10,10,61,17,50,—,鑫源开发区,汉中市
2637A,2024-11-06T1300,107.007,33.0323,23,42,0.6,13,8,64,28,42,—,南郑大河坎水厂,汉中市
1223A,2024-11-06T1300,120.2072,30.2111,19,34,0.3,22,7,81,59,34,—,滨江,杭州市
1224A,2024-11-06T1300,120.0633,30.2747,17,31,0.5,22,7,90,37,31,—,西溪,杭州市
1226A,2024-11-06T1300,120.3461,30.3153,16,33,0.5,23,8,90,51,33,—,下沙,杭州市
1227A,2024-11-06T1300,120.1269,30.2456,16,31,0.4,18,8,98,51,31,—,卧龙桥,杭州市
1228A,2024-11-06T1300,120.1903,30.2692,19,32,0.4,18,6,87,53,32,—,浙江农大,杭州市
1230A,2024-11-06T1300,120.1197,30.3119,—,—,0.4,—,9,101,41,—,—,和睦小学,杭州市
1231A,2024-11-06T1300,120.3019,30.4183,12,29,0.3,18,6,98,66,31,—,临平镇,杭州市
1232A,2024-11-06T1300,120.2697,30.1819,16,30,0.5,16,7,99,67,31,—,城厢镇,杭州市
1233A,2024-11-06T1300,120.0883,30.1808,13,29,0.4,22,—,95,54,—,—,云栖,杭州市
3557A,2024-11-06T1300,119.9464,30.0494,10,20,0.5,17,7,95,43,30,—,镇二中,杭州市
3558A,2024-11-06T1300,119.7183,30.2367,22,30,0.5,23,—,103,36,—,—,市府大楼,杭州市
3656A,2024-11-06T1300,120.1556,30.2864,16,35,0.2,22,8,96,63,35,—,消防大队,杭州市
