area,positionname,longitude,latitude,timepoint,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant
阿坝藏族羌族自治州,州农科所,102.1879,31.914,2025-01-05T2200,17,50,1.0,24,5,48,74,50,
阿坝藏族羌族自治州,马师校,102.2502,31.8896,2025-01-05T2200,26,27,0.6,36,5,20,67,38,
阿坝藏族羌族自治州,马尔康中学西区,102.2165,31.9024,2025-01-05T2200,27,42,0.7,37,4,26,78,42,
阿克苏地区,电视台,80.292,41.1694,2025-01-05T2200,66,106,1.0,44,4,35,63,89,细颗粒物(PM2.5)
阿克苏地区,艺术中心,80.2613,41.1551,2025-01-05T2200,63,107,1.0,45,4,31,58,85,细颗粒物(PM2.5)
阿拉善盟,西城区西花园,105.6467,38.8363,2025-01-05T2200,26,39,1.1,25,10,52,88,39,
阿拉善盟,蒙二幼,105.6985,38.8411,2025-01-05T2200,14,37,0.5,19,5,57,83,37,
阿拉善盟,环保局新楼,105.724,38.8516,2025-01-05T2200,7,21,0.6,7,7,71,91,23,
阿勒泰地区,市站,88.1264,47.8517,2025-01-05T2200,23,25,0.5,70,8,3,34,35,
阿里地区,阿里监测站,80.1161,32.5,2025-01-05T2200,3,12,0.5,4,18,90,96,29,
阿里地区,阿里藏医院,80.0903,32.5028,2025-01-05T2200,3,9,0.4,1,6,91,95,29,
安康市,香溪洞,109.0318,32.6537,2025-01-05T2200,72,79,0.9,39,15,42,58,97,细颗粒物(PM2.5)
安康市,汉滨区检察院,109.0072,32.6975,2025-01-05T2200,87,116,1.2,51,5,8,40,115,细颗粒物(PM2.5)
安康市,市邮政管理局,109.0325,32.6913,2025-01-05T2200,109,143,1.8,54,6,4,34,143,细颗粒物(PM2.5)
安庆市,环科院,117.0809,30.5177,2025-01-05T2200,52,69,0.8,37,6,65,108,72,细颗粒物(PM2.5)
安庆市,马山宾馆,117.0331,30.5119,2025-01-05T2200,58,73,0.7,27,6,62,103,79,细颗粒物(PM2.5)
安庆市,安庆大学,116.9896,30.6145,2025-01-05T2200,68,84,0.8,40,10,56,105,92,细颗粒物(PM2.5)
安庆市,市人大,117.0598,30.5351,2025-01-05T2200,58,70,0.7,33,5,70,113,79,细颗粒物(PM2.5)
安顺市,伍家关,105.9606,26.2611,2025-01-05T2200,26,36,0.7,17,17,107,125,38,
安顺市,凤凰山,105.9408,26.2431,2025-01-05T2200,33,42,0.7,23,31,92,105,48,
安顺市,金钟山,105.9439,26.2564,2025-01-05T2200,28,,0.6,16,25,98,103,40,
安顺市,娄家坡,105.8983,26.2481,2025-01-05T2200,28,35,0.5,15,16,98,103,40,
安阳市,棉研所,114.4839,36.0621,2025-01-05T2200,46,142,0.7,45,11,29,76,96,颗粒物(PM10)
安阳市,红庙街,114.3551,36.1017,2025-01-05T2200,59,138,1.4,58,5,8,78,94,颗粒物(PM10)
安阳市,银杏小区,114.361,36.0681,2025-01-05T2200,66,161,1.1,64,5,8,77,106,颗粒物(PM10)
安阳市,信访局,114.3922,36.0878,2025-01-05T2200,53,146,0.9,73,4,10,77,98,颗粒物(PM10)
安阳市,左辅环卫站,114.4705,36.0637,2025-01-05T2200,47,146,0.8,57,9,28,83,98,颗粒物(PM10)
安阳市,安钢职工学校,114.2917,36.0949,2025-01-05T2200,69,174,1.5,73,13,7,74,112,颗粒物(PM10)
鞍山市,深沟寺,123.044,41.1196,2025-01-05T2200,67,85,0.8,23,8,39,38,90,细颗粒物(PM2.5)
鞍山市,太阳城,123.011,41.0931,2025-01-05T2200,52,82,0.8,27,10,41,43,72,细颗粒物(PM2.5)
鞍山市,太平,123.0485,41.1442,2025-01-05T2200,52,83,0.8,28,9,36,35,72,细颗粒物(PM2.5)
鞍山市,铁西三道街,122.9642,41.0971,2025-01-05T2200,58,92,2.0,38,22,25,30,79,细颗粒物(PM2.5)
鞍山市,铁西工业园区,122.9341,41.0833,2025-01-05T2200,51,82,0.9,36,16,37,39,70,细颗粒物(PM2.5)
鞍山市,明达新区,123.022,41.0821,2025-01-05T2200,55,83,0.7,18,10,40,46,75,细颗粒物(PM2.5)
鞍山市,千山,123.1289,41.0228,2025-01-05T2200,,,,,,,26,,
巴彦淖尔市,附二中,107.4212,40.761,2025-01-05T2200,24,55,0.6,42,20,24,65,53,颗粒物(PM10)
巴彦淖尔市,市环保大楼,107.37,40.7372,2025-01-05T2200,34,48,0.6,50,5,17,66,49,
巴音郭楞蒙古自治州,孔雀公园,86.1472,41.7538,2025-01-05T2200,85,104,0.9,31,6,69,72,113,细颗粒物(PM2.5)
巴音郭楞蒙古自治州,棉纺厂,86.1972,41.7166,2025-01-05T2200,62,129,0.8,30,6,82,61,90,颗粒物(PM10)
巴音郭楞蒙古自治州,经济开发区,86.2357,41.7173,2025-01-05T2200,47,81,0.8,26,7,92,80,66,颗粒物(PM10)
巴中市,苏山坪,106.7677,31.8794,2025-01-05T2200,28,35,0.5,8,2,79,83,40,
巴中市,丽阳花园,106.7656,31.8545,2025-01-05T2200,78,109,1.1,46,3,4,50,104,细颗粒物(PM2.5)
巴中市,圣泉水务公司,106.7418,31.8654,2025-01-05T2200,67,86,0.7,52,3,4,59,90,细颗粒物(PM2.5)
巴中市,市中心医院,106.7616,31.8344,2025-01-05T2200,56,91,1.0,49,4,3,53,77,细颗粒物(PM2.5)
白城市,洮北区环保局,122.7911,45.6077,2025-01-05T2200,135,160,1.4,62,9,18,56,179,细颗粒物(PM2.5)
白城市,市环保局,122.8738,45.5725,2025-01-05T2200,105,129,1.0,64,13,8,51,138,细颗粒物(PM2.5)
白山市,喜丰,126.4219,41.9171,2025-01-05T2200,60,90,1.4,44,29,29,40,82,细颗粒物(PM2.5)
白山市,环保局,126.4077,41.9419,2025-01-05T2200,105,146,2.2,47,10,8,27,138,细颗粒物(PM2.5)
白银市,第三小学,104.1724,36.5446,2025-01-05T2200,36,75,1.3,46,21,41,68,63,颗粒物(PM10)
