area,positionname,longitude,latitude,timepoint,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant
阿坝藏族羌族自治州,马师校,102.2503,31.8896,2026-01-14T1500,6,36,0.4,6,3,76,46,36,
阿坝藏族羌族自治州,马尔康中学西区,102.2174,31.9016,2026-01-14T1500,3,33,0.4,4,5,75,46,33,
阿克苏地区,电视台,80.2899,41.1684,2026-01-14T1500,38,113,1.0,29,5,72,38,82,颗粒物(PM10)
阿克苏地区,艺术中心,80.2592,41.1541,2026-01-14T1500,63,95,0.9,27,7,76,40,85,细颗粒物(PM2.5)
阿拉善盟,蒙二幼,105.699,38.8409,2026-01-14T1500,89,258,0.5,4,9,84,81,154,颗粒物(PM10)
阿拉善盟,环保局新楼,105.7198,38.8508,2026-01-14T1500,67,277,0.4,4,5,76,75,164,颗粒物(PM10)
阿勒泰地区,市站,88.1266,47.8515,2026-01-14T1500,34,50,0.8,26,8,60,31,50,
阿勒泰地区,阿勒泰路33号,88.1198,47.7931,2026-01-14T1500,57,70,0.9,26,6,64,42,78,细颗粒物(PM2.5)
阿里地区,阿里监测站,80.1171,32.4999,2026-01-14T1500,3,6,0.4,2,7,72,56,23,
阿里地区,阿里藏医院,80.0906,32.5029,2026-01-14T1500,7,,0.5,2,11,84,61,27,
安康市,汉滨区检察院,109.0088,32.6974,2026-01-14T1500,49,68,0.7,11,6,64,28,68,细颗粒物(PM2.5)
安康市,市邮政管理局,109.0324,32.6913,2026-01-14T1500,51,77,0.7,17,6,50,22,70,细颗粒物(PM2.5)
安庆市,环科院,117.0806,30.5181,2026-01-14T1500,37,51,0.4,14,8,113,60,53,细颗粒物(PM2.5)
安庆市,马山宾馆,117.0331,30.5118,2026-01-14T1500,34,50,0.5,16,7,118,62,50,
安庆市,安庆大学,116.9897,30.6146,2026-01-14T1500,32,40,0.4,12,8,125,60,46,
安庆市,市人大,117.0598,30.5351,2026-01-14T1500,33,46,0.4,14,9,122,63,48,
安顺市,凤凰山,105.9408,26.2431,2026-01-14T1500,,,0.7,19,18,61,92,,
安顺市,金钟山,105.9443,26.2567,2026-01-14T1500,64,65,0.8,15,21,59,90,87,细颗粒物(PM2.5)
安顺市,娄家坡,105.8983,26.248,2026-01-14T1500,61,67,1.0,17,11,63,92,83,细颗粒物(PM2.5)
安阳市,红庙街,114.3552,36.1017,2026-01-14T1500,82,138,1.3,51,13,29,28,109,细颗粒物(PM2.5)
安阳市,银杏小区,114.361,36.0681,2026-01-14T1500,91,119,1.3,52,13,25,24,120,细颗粒物(PM2.5)
安阳市,信访局,114.3921,36.0879,2026-01-14T1500,84,122,1.3,54,12,25,28,112,细颗粒物(PM2.5)
安阳市,左辅环卫站,114.4706,36.0634,2026-01-14T1500,116,154,1.3,45,14,32,25,152,细颗粒物(PM2.5)
安阳市,钢三路198号,114.2918,36.0769,2026-01-14T1500,86,156,1.3,47,13,27,23,114,细颗粒物(PM2.5)
鞍山市,深沟寺,123.0441,41.1201,2026-01-14T1500,17,31,0.7,12,7,60,60,31,
鞍山市,太阳城,123.011,41.0931,2026-01-14T1500,17,106,0.8,13,11,69,69,78,颗粒物(PM10)
鞍山市,太平,123.0483,41.1445,2026-01-14T1500,17,37,0.6,15,8,57,54,37,
鞍山市,铁西三道街,122.964,41.0968,2026-01-14T1500,28,52,0.7,36,26,47,49,51,颗粒物(PM10)
鞍山市,明达新区,123.0219,41.0822,2026-01-14T1500,25,34,0.4,15,15,63,65,36,
鞍山市,兴盛南路290号,122.944647,41.082639,2026-01-14T1500,22,55,0.5,18,13,60,56,53,颗粒物(PM10)
巴彦淖尔市,附二中,107.4206,40.7609,2026-01-14T1500,32,149,0.4,4,3,75,70,100,颗粒物(PM10)
巴彦淖尔市,市环保大楼,107.37,40.7372,2026-01-14T1500,31,121,0.3,3,4,86,79,86,颗粒物(PM10)
巴音郭楞蒙古自治州,孔雀公园,86.1476,41.7529,2026-01-14T1500,33,80,0.6,17,11,78,20,65,颗粒物(PM10)
巴音郭楞蒙古自治州,棉纺厂,86.1971,41.7166,2026-01-14T1500,24,124,/,14,/,78,29,87,颗粒物(PM10)
巴音郭楞蒙古自治州,经济开发区,86.236,41.7172,2026-01-14T1500,16,84,0.4,,9,62,23,,
巴中市,市五中,106.776805,31.852614,2026-01-14T1500,60,82,0.8,25,6,57,19,82,细颗粒物(PM2.5)
巴中市,圣泉水务公司,106.7419,31.8654,2026-01-14T1500,52,63,0.7,17,5,67,26,72,细颗粒物(PM2.5)
巴中市,市中心医院,106.7617,31.8343,2026-01-14T1500,45,57,0.6,17,7,68,21,63,细颗粒物(PM2.5)
白城市,洮北区环保局,122.7909,45.608,2026-01-14T1500,16,26,0.2,9,6,59,48,26,
白城市,市环保局,122.8741,45.5725,2026-01-14T1500,12,34,0.4,8,7,55,40,34,
白山市,喜丰,126.4219,41.9172,2026-01-14T1500,18,190,1.1,47,95,26,28,120,颗粒物(PM10)
白山市,环保局,126.4082,41.9416,2026-01-14T1500,33,,1.0,30,12,36,30,48,
白银市,第三小学,104.1727,36.5448,2026-01-14T1500,45,197,0.5,18,8,74,75,124,颗粒物(PM10)
白银市,动力公司,104.1467,36.5482,2026-01-14T1500,50,203,0.5,13,9,77,76,127,颗粒物(PM10)
百色市,市监测站,106.6102,23.901,2026-01-14T1500,93,126,0.9,32,,112,46,123,细颗粒物(PM2.5)
百色市,市中心血站,106.6524,23.8842,2026-01-14T1500,109,132,1.2,32,26,129,48,143,细颗粒物(PM2.5)
百色市,龙景西路,106.6273,23.8798,2026-01-14T1500,97,155,1.0,32,30,133,42,128,细颗粒物(PM2.5)
蚌埠市,工人疗养院,117.396,32.9389,2026-01-14T1500,51,89,0.8,28,9,113,68,70,"颗粒物(PM10),细颗粒物(PM2.5)"
蚌埠市,百货大楼,117.3606,32.9428,2026-01-14T1500,60,92,0.5,22,10,122,72,82,细颗粒物(PM2.5)
蚌埠市,蚌埠学院,117.4183,32.8909,2026-01-14T1500,50,61,0.6,19,10,126,77,69,细颗粒物(PM2.5)
蚌埠市,淮上区政府,117.3534,32.9672,2026-01-14T1500,67,90,0.8,22,7,127,79,90,细颗粒物(PM2.5)
蚌埠市,高新区,117.3143,32.8977,2026-01-14T1500,67,85,0.5,21,12,111,73,90,细颗粒物(PM2.5)
蚌埠市,蚌埠田家炳中学,117.3091,32.9314,2026-01-14T1500,63,92,0.6,30,8,109,68,85,细颗粒物(PM2.5)
包头市,市环境监测站,109.8761,40.6533,2026-01-14T1500,75,645,0.2,10,3,82,54,500,颗粒物(PM10)
包头市,包头八中,109.9992,40.5843,2026-01-14T1500,49,536,0.4,11,3,77,62,436,颗粒物(PM10)
包头市,惠龙物流,109.8641,40.6288,2026-01-14T1500,69,558,0.6,10,9,81,69,458,颗粒物(PM10)
包头市,东河鸿龙湾,110.0376,40.5546,2026-01-14T1500,36,647,0.8,5,9,80,68,500,颗粒物(PM10)
包头市,滨河大厦,109.9154,40.5684,2026-01-14T1500,70,689,0.6,5,8,79,71,500,颗粒物(PM10)
包头市,包头市委党校,109.9449,40.6259,2026-01-14T1500,47,482,0.5,10,6,75,64,378,颗粒物(PM10)
包头市,昆区政府,109.8332,40.6577,2026-01-14T1500,36,454,0.6,15,7,73,53,343,颗粒物(PM10)
宝鸡市,竹园沟,107.0802,34.3129,2026-01-14T1500,26,100,0.2,14,6,88,44,75,颗粒物(PM10)
宝鸡市,监测站,107.1429,34.3549,2026-01-14T1500,31,150,0.5,20,5,78,39,100,颗粒物(PM10)
宝鸡市,技工学校,107.1172,34.3759,2026-01-14T1500,37,130,0.5,11,4,88,50,90,颗粒物(PM10)
宝鸡市,文理学院,107.2025,34.3518,2026-01-14T1500,31,126,0.3,17,4,79,39,88,颗粒物(PM10)
宝鸡市,三迪小学,107.2396,34.3626,2026-01-14T1500,37,,0.4,14,4,86,38,,
宝鸡市,滨河北路,107.1721,34.3558,2026-01-14T1500,25,63,0.3,14,5,83,36,57,颗粒物(PM10)
宝鸡市,陈仓区北开路21号,107.3898,34.3601,2026-01-14T1500,40,153,0.1,36,7,80,41,102,颗粒物(PM10)
保定市,游泳馆,115.4803,38.8568,2026-01-14T1500,60,86,0.5,44,,32,23,,
保定市,华电二区,115.509,38.8895,2026-01-14T1500,55,66,0.5,31,6,32,19,75,细颗粒物(PM2.5)
保定市,接待中心,115.4588,38.9037,2026-01-14T1500,62,86,0.6,36,4,33,22,84,细颗粒物(PM2.5)
保定市,地表水厂,115.4484,38.8344,2026-01-14T1500,72,110,0.6,51,7,22,13,97,细颗粒物(PM2.5)
保定市,满城区生态环境分局,115.3136,38.9511,2026-01-14T1500,61,97,0.6,40,6,38,18,83,细颗粒物(PM2.5)
保定市,清苑区第二中学,115.4709,38.7628,2026-01-14T1500,51,121,0.6,40,5,25,11,86,颗粒物(PM10)
保定市,徐水物探局,115.6231,39.0223,2026-01-14T1500,60,94,0.6,34,7,30,16,82,细颗粒物(PM2.5)
保定市,双鹰农机,115.4199,38.8665,2026-01-14T1500,,111,0.7,47,9,33,24,,
保定市,植保所站,115.515,38.8589,2026-01-14T1500,54,70,0.6,40,5,26,18,74,细颗粒物(PM2.5)
保山市,市环境监测站,99.1589,25.1137,2026-01-14T1500,7,18,0.1,6,2,90,58,29,
保山市,市环保局,99.1616,25.1381,2026-01-14T1500,21,29,0.3,4,4,92,64,30,
北海市,海滩公园,109.1435,21.4085,2026-01-14T1500,44,58,1.0,11,11,176,113,70,臭氧1小时(O3_1h)
北海市,新市环保局,109.0983,21.466,2026-01-14T1500,58,,0.5,16,7,166,116,79,细颗粒物(PM2.5)
北海市,北海工业园,109.1775,21.5232,2026-01-14T1500,46,55,0.8,10,9,174,116,68,臭氧1小时(O3_1h)
北海市,龙潭自来水厂,109.1844,21.4396,2026-01-14T1500,45,65,0.6,13,12,175,105,69,臭氧1小时(O3_1h)
北京市,万寿西宫,116.3611,39.8786,2026-01-14T1500,50,81,0.8,60,4,16,8,69,细颗粒物(PM2.5)
北京市,东四,116.4174,39.9289,2026-01-14T1500,49,89,1.0,53,6,17,10,70,颗粒物(PM10)
北京市,天坛,116.4073,39.8858,2026-01-14T1500,50,91,0.8,55,4,17,9,71,颗粒物(PM10)
北京市,农展馆,116.4622,39.9364,2026-01-14T1500,50,86,1.0,39,6,22,11,69,细颗粒物(PM2.5)
北京市,官园,116.3399,39.9293,2026-01-14T1500,53,93,1.0,51,6,18,11,73,细颗粒物(PM2.5)
北京市,海淀万柳,116.2879,39.9613,2026-01-14T1500,52,86,0.8,52,5,19,14,72,细颗粒物(PM2.5)
北京市,顺义新城,116.6635,40.1349,2026-01-14T1500,52,81,0.5,24,6,45,24,72,细颗粒物(PM2.5)
北京市,怀柔镇,116.6275,40.327,2026-01-14T1500,47,71,0.6,40,5,33,32,65,细颗粒物(PM2.5)
北京市,昌平镇,116.2295,40.217,2026-01-14T1500,47,84,0.8,39,7,27,25,67,颗粒物(PM10)
北京市,奥体中心,116.3968,39.982,2026-01-14T1500,51,96,1.1,70,5,19,11,73,颗粒物(PM10)
北京市,密云新城,116.8336,40.4095,2026-01-14T1500,39,66,0.5,17,5,51,28,58,颗粒物(PM10)
北京市,门头沟三家店,116.0879,39.9725,2026-01-14T1500,41,88,0.7,41,5,28,20,69,颗粒物(PM10)
北京市,丰台云岗,116.1507,39.8246,2026-01-14T1500,50,87,0.8,47,4,24,15,69,"颗粒物(PM10),细颗粒物(PM2.5)"
北京市,房山燕山,115.9578,39.7602,2026-01-14T1500,53,92,0.7,48,5,25,17,73,细颗粒物(PM2.5)
北京市,大兴旧宫,116.4669,39.7734,2026-01-14T1500,37,73,0.8,39,4,28,12,62,颗粒物(PM10)
北京市,延庆石河营,115.9859,40.4562,2026-01-14T1500,36,64,0.7,37,6,38,22,57,颗粒物(PM10)
北京市,怀柔新城,116.6151,40.3052,2026-01-14T1500,43,125,0.6,27,5,41,35,88,颗粒物(PM10)
北京市,丰台小屯,116.2542,39.8764,2026-01-14T1500,49,88,1.0,60,5,14,11,69,颗粒物(PM10)
北京市,密云镇,116.8399,40.3843,2026-01-14T1500,40,73,0.5,21,3,47,24,62,颗粒物(PM10)
北京市,延庆百泉,115.9423,40.4431,2026-01-14T1500,41,71,0.7,43,5,27,14,61,颗粒物(PM10)
北京市,通州新华,116.6598,39.9164,2026-01-14T1500,39,76,0.6,40,6,31,11,63,颗粒物(PM10)
北京市,石景山八角,116.1942,39.9158,2026-01-14T1500,,,,,,,48,,
北京市,平谷新城,117.078628,40.151726,2026-01-14T1500,34,60,0.6,19,2,50,32,55,颗粒物(PM10)
本溪市,大峪,123.8274146,41.31234549,2026-01-14T1500,20,44,0.6,21,11,52,34,44,
本溪市,彩屯,123.7169,41.3094,2026-01-14T1500,18,41,2.2,31,17,43,31,41,
本溪市,东明,123.7672166,41.28649327,2026-01-14T1500,11,25,0.6,12,9,58,44,25,
本溪市,新立屯,123.799345,41.266614,2026-01-14T1500,11,21,0.5,13,10,58,48,21,
本溪市,威宁,123.829144,41.336777,2026-01-14T1500,23,51,0.7,22,12,43,36,51,颗粒物(PM10)
毕节市,八中,105.287,27.3133,2026-01-14T1500,59,60,0.7,11,9,81,76,80,细颗粒物(PM2.5)
毕节市,师专,105.3079,27.2987,2026-01-14T1500,56,65,0.7,11,8,89,85,77,细颗粒物(PM2.5)
毕节市,工业大道,105.3688,27.3598,2026-01-14T1500,58,,/,19,10,87,,,
滨州市,第二水厂,117.9961,37.3604,2026-01-14T1500,121,188,1.4,76,27,18,13,159,细颗粒物(PM2.5)
滨州市,北中新校,117.9789,37.3931,2026-01-14T1500,124,175,1.5,74,27,25,13,163,细颗粒物(PM2.5)
滨州市,中海酒店,117.9379,37.3959,2026-01-14T1500,132,197,1.7,69,36,26,15,175,细颗粒物(PM2.5)
滨州市,开发区一中,117.9381509,37.35547456,2026-01-14T1500,127,193,1.1,67,31,23,13,168,细颗粒物(PM2.5)
滨州市,金海六路,118.0914,37.6938,2026-01-14T1500,95,176,1.3,59,21,41,25,125,细颗粒物(PM2.5)
滨州市,滨州市西街道办事处,117.9955,37.3752,2026-01-14T1500,134,188,1.2,65,,20,16,178,细颗粒物(PM2.5)
亳州市,污水处理厂,115.8071,33.8399,2026-01-14T1500,83,120,,22,6,99,45,110,细颗粒物(PM2.5)
