area,positionname,longitude,latitude,timepoint,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant
阿坝藏族羌族自治州,州农科所,102.1879,31.914,2025-05-05T1600,3,12,0.5,3,10,115,86,36,
阿坝藏族羌族自治州,马师校,102.2502,31.8896,2025-05-05T1600,7,13,0.4,3,5,116,88,37,
阿坝藏族羌族自治州,马尔康中学西区,102.2165,31.9024,2025-05-05T1600,,,,,,,78,,
阿克苏地区,电视台,80.292,41.1694,2025-05-05T1600,142,500,0.4,5,7,100,67,400,颗粒物(PM10)
阿克苏地区,艺术中心,80.2613,41.1551,2025-05-05T1600,150,496,0.4,5,4,100,64,395,颗粒物(PM10)
阿拉善盟,西城区西花园,105.6467,38.8363,2025-05-05T1600,165,575,0.6,7,5,114,113,475,颗粒物(PM10)
阿拉善盟,蒙二幼,105.6985,38.8411,2025-05-05T1600,188,933,0.4,6,8,98,97,500,颗粒物(PM10)
阿拉善盟,环保局新楼,105.724,38.8516,2025-05-05T1600,198,805,0.4,3,8,101,100,500,颗粒物(PM10)
阿勒泰地区,市站,88.1264,47.8517,2025-05-05T1600,3,29,0.2,4,4,88,72,29,
阿里地区,阿里监测站,80.1161,32.5,2025-05-05T1600,11,14,0.4,2,5,126,110,40,
阿里地区,阿里藏医院,80.0903,32.5028,2025-05-05T1600,11,16,0.4,1,6,132,115,42,
安康市,香溪洞,109.0318,32.6537,2025-05-05T1600,17,89,0.6,4,7,123,110,70,颗粒物(PM10)
安康市,汉滨区检察院,109.0072,32.6975,2025-05-05T1600,18,76,0.3,4,8,126,108,63,颗粒物(PM10)
安康市,市邮政管理局,109.0325,32.6913,2025-05-05T1600,22,77,0.5,3,6,125,111,64,颗粒物(PM10)
安庆市,环科院,117.0809,30.5177,2025-05-05T1600,27,38,1.0,19,5,135,102,43,
安庆市,马山宾馆,117.0331,30.5119,2025-05-05T1600,27,28,0.9,17,6,137,105,43,
安庆市,安庆大学,116.9896,30.6145,2025-05-05T1600,30,34,0.5,12,4,140,119,44,
安庆市,市人大,117.0598,30.5351,2025-05-05T1600,26,37,0.6,16,8,148,112,47,
安顺市,伍家关,105.9606,26.2611,2025-05-05T1600,9,12,0.4,4,1,98,99,31,
安顺市,凤凰山,105.9408,26.2431,2025-05-05T1600,9,22,0.5,5,5,100,98,32,
安顺市,金钟山,105.9439,26.2564,2025-05-05T1600,10,22,0.3,5,4,97,95,31,
安顺市,娄家坡,105.8983,26.2481,2025-05-05T1600,12,19,0.7,5,10,99,97,31,
安阳市,棉研所,114.4839,36.0621,2025-05-05T1600,,,,,,,,,
安阳市,红庙街,114.3551,36.1017,2025-05-05T1600,178,889,0.3,2,3,106,99,500,颗粒物(PM10)
安阳市,银杏小区,114.361,36.0681,2025-05-05T1600,179,817,0.2,1,3,111,107,500,颗粒物(PM10)
安阳市,信访局,114.3922,36.0878,2025-05-05T1600,213,827,0.3,2,2,112,107,500,颗粒物(PM10)
安阳市,左辅环卫站,114.4705,36.0637,2025-05-05T1600,148,583,0.5,8,3,108,106,483,颗粒物(PM10)
安阳市,安钢职工学校,114.2917,36.0949,2025-05-05T1600,161,743,0.4,3,3,105,95,500,颗粒物(PM10)
鞍山市,深沟寺,123.044,41.1196,2025-05-05T1600,12,24,0.4,7,6,110,102,35,
鞍山市,太阳城,123.011,41.0931,2025-05-05T1600,11,23,0.5,5,6,101,92,32,
鞍山市,太平,123.0485,41.1442,2025-05-05T1600,14,41,0.6,12,8,94,87,41,
鞍山市,铁西三道街,122.9642,41.0971,2025-05-05T1600,12,35,0.5,14,3,104,98,35,
鞍山市,明达新区,123.022,41.0821,2025-05-05T1600,9,23,0.2,5,6,111,101,35,
鞍山市,千山,123.1289,41.0228,2025-05-05T1600,,,,,,,67,,
鞍山市,兴盛南路290号,122.9446,41.0826,2025-05-05T1600,12,31,0.4,10,6,106,98,34,
巴彦淖尔市,附二中,107.4212,40.761,2025-05-05T1600,33,130,0.6,4,7,99,103,90,颗粒物(PM10)
巴彦淖尔市,市环保大楼,107.37,40.7372,2025-05-05T1600,36,120,0.4,5,4,105,109,85,颗粒物(PM10)
巴音郭楞蒙古自治州,孔雀公园,86.1472,41.7538,2025-05-05T1600,178,776,0.2,3,7,79,55,500,颗粒物(PM10)
巴音郭楞蒙古自治州,棉纺厂,86.1972,41.7166,2025-05-05T1600,251,1291,0.2,5,3,74,63,500,颗粒物(PM10)
巴音郭楞蒙古自治州,经济开发区,86.2357,41.7173,2025-05-05T1600,215,1058,0.3,6,7,69,60,500,颗粒物(PM10)
巴中市,苏山坪,106.7677,31.8794,2025-05-05T1600,8,21,0.1,6,2,134,114,42,
巴中市,市五中,106.7768,31.8526,2025-05-05T1600,7,21,0.3,5,6,129,108,41,
巴中市,圣泉水务公司,106.7418,31.8654,2025-05-05T1600,9,20,0.2,4,7,131,110,41,
巴中市,市中心医院,106.7616,31.8344,2025-05-05T1600,7,19,0.2,3,4,130,109,41,
白城市,洮北区环保局,122.7911,45.6077,2025-05-05T1600,3,28,0.4,6,2,98,89,31,
白城市,市环保局,122.8738,45.5725,2025-05-05T1600,8,12,0.3,2,3,101,91,32,
白山市,喜丰,126.4219,41.9171,2025-05-05T1600,8,17,0.4,9,5,89,71,28,
白山市,环保局,126.4077,41.9419,2025-05-05T1600,3,21,0.3,7,3,87,68,28,
白银市,第三小学,104.1724,36.5446,2025-05-05T1600,68,317,0.2,7,7,109,81,184,颗粒物(PM10)
白银市,动力公司,104.1465,36.5482,2025-05-05T1600,67,297,0.2,7,7,107,83,174,颗粒物(PM10)
百色市,市监测站,106.6103,23.9011,2025-05-05T1600,15,32,0.4,10,6,118,94,37,
百色市,市中心血站,106.6538,23.8859,2025-05-05T1600,35,78,0.6,,8,123,99,,
百色市,祈福高中,106.6085,23.8798,2025-05-05T1600,17,34,0.7,6,7,116,89,37,
蚌埠市,工人疗养院,117.396,32.939,2025-05-05T1600,27,64,0.7,9,5,167,120,59,臭氧1小时
蚌埠市,百货大楼,117.3605,32.9427,2025-05-05T1600,33,59,0.6,10,7,164,121,55,"颗粒物(PM10),臭氧1小时"
蚌埠市,蚌埠学院,117.4185,32.8911,2025-05-05T1600,36,44,0.6,8,4,162,117,53,臭氧1小时
蚌埠市,淮上区政府,117.3533,32.9673,2025-05-05T1600,35,48,0.4,11,6,168,122,60,臭氧1小时
蚌埠市,高新区,117.3145,32.8977,2025-05-05T1600,37,51,0.5,9,5,161,117,53,细颗粒物(PM2.5)
蚌埠市,蚌埠田家炳中学,117.3092,32.9314,2025-05-05T1600,35,63,0.4,9,6,170,127,63,臭氧1小时
包头市,市环境监测站,109.8756,40.6532,2025-05-05T1600,6,29,0.8,,9,80,93,,
包头市,包头八中,109.9991,40.5842,2025-05-05T1600,18,36,0.8,18,14,90,94,36,
包头市,青山宾馆,109.8538,40.6821,2025-05-05T1600,25,27,0.4,13,10,90,94,36,
包头市,惠龙物流,109.8642,40.6288,2025-05-05T1600,10,20,1.0,20,16,85,94,27,
包头市,东河鸿龙湾,110.0377,40.5546,2025-05-05T1600,6,41,0.6,13,10,89,94,41,
包头市,滨河大厦,109.9154,40.5685,2025-05-05T1600,21,23,0.7,14,15,84,91,30,
包头市,包头市委党校,109.9447,40.6261,2025-05-05T1600,13,26,0.6,12,8,88,95,28,
包头市,昆区政府,109.8331,40.6576,2025-05-05T1600,22,26,1.1,27,9,80,96,32,
宝鸡市,庙沟村,107.185,34.3063,2025-05-05T1600,102,289,0.4,2,7,106,87,170,颗粒物(PM10)
宝鸡市,竹园沟,107.0708,34.3017,2025-05-05T1600,60,234,0.3,2,8,106,81,142,颗粒物(PM10)
宝鸡市,三陆医院,107.1906,34.3672,2025-05-05T1600,88,331,0.3,11,5,95,84,191,颗粒物(PM10)
宝鸡市,监测站,107.1431,34.3547,2025-05-05T1600,86,361,0.3,6,4,89,78,216,颗粒物(PM10)
宝鸡市,技工学校,107.1186,34.3739,2025-05-05T1600,102,352,0.3,4,6,100,88,203,颗粒物(PM10)
宝鸡市,陈仓区环保局家属楼,107.3906,34.3528,2025-05-05T1600,86,344,0.4,9,7,99,86,197,颗粒物(PM10)
宝鸡市,文理学院,107.2058,34.3497,2025-05-05T1600,134,331,0.3,6,6,97,84,191,颗粒物(PM10)
宝鸡市,三迪小学,107.2386,34.3622,2025-05-05T1600,95,359,0.4,8,5,94,83,213,颗粒物(PM10)
保定市,游泳馆,115.493,38.8632,2025-05-05T1600,50,117,0.3,20,9,71,74,84,颗粒物(PM10)
保定市,华电二区,115.5213,38.8959,2025-05-05T1600,40,90,0.6,13,5,73,78,70,颗粒物(PM10)
保定市,接待中心,115.4713,38.9108,2025-05-05T1600,50,81,0.8,17,3,64,66,69,细颗粒物(PM2.5)
保定市,地表水厂,115.4612,38.8416,2025-05-05T1600,38,131,0.5,21,5,69,72,91,颗粒物(PM10)
保定市,满城区生态环境分局,115.31981,38.95208,2025-05-05T1600,44,78,0.4,20,3,80,89,64,颗粒物(PM10)
保定市,清苑区第二中学,115.47694,38.76408,2025-05-05T1600,42,124,0.4,10,6,80,79,87,颗粒物(PM10)
保定市,徐水物探局,115.62909,39.02311,2025-05-05T1600,46,102,0.6,14,4,85,67,76,颗粒物(PM10)
保定市,双鹰农机,115.4202,38.8656,2025-05-05T1600,38,85,0.5,17,4,72,70,68,颗粒物(PM10)
保定市,植保所站,115.5150,38.8590,2025-05-05T1600,38,100,0.6,14,3,68,74,75,颗粒物(PM10)
保山市,市环境监测站,99.1678,25.1081,2025-05-05T1600,3,21,0.4,5,3,101,87,32,
保山市,市环保局,99.1711,25.1328,2025-05-05T1600,9,18,0.3,3,5,107,98,34,
北海市,牛尾岭水库,109.2262,21.588,2025-05-05T1600,6,20,0.4,4,6,55,29,20,
北海市,海滩公园,109.1436,21.4086,2025-05-05T1600,3,28,0.6,4,5,53,63,28,
北海市,新市环保局,109.0981,21.4661,2025-05-05T1600,7,28,0.3,6,3,56,61,28,
北海市,北海工业园,109.1778,21.5233,2025-05-05T1600,10,38,0.3,3,7,54,62,38,
北海市,龙潭自来水厂,109.1911,21.4415,2025-05-05T1600,12,18,0.3,4,7,64,70,20,
北京市,万寿西宫,116.3621,39.8784,2025-05-05T1600,27,40,0.7,13,6,110,106,40,
北京市,定陵,116.2202,40.2915,2025-05-05T1600,,,,,,,,,
北京市,东四,116.4174,39.9289,2025-05-05T1600,31,46,0.6,15,3,108,106,46,
北京市,天坛,116.4072,39.8863,2025-05-05T1600,29,38,0.6,11,2,99,99,42,
北京市,农展馆,116.462,39.9365,2025-05-05T1600,31,45,0.6,14,2,102,100,45,
北京市,官园,116.3392,39.9295,2025-05-05T1600,26,43,0.5,17,3,98,95,43,
北京市,海淀万柳,116.2878,39.9611,2025-05-05T1600,23,37,0.4,13,5,90,81,37,
北京市,顺义新城,116.6636,40.135,2025-05-05T1600,39,54,0.6,12,6,107,99,55,细颗粒物(PM2.5)
北京市,怀柔镇,116.6275,40.3275,2025-05-05T1600,43,53,0.6,13,2,101,88,60,细颗粒物(PM2.5)
