area,positionname,longitude,latitude,timepoint,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant
阿坝藏族羌族自治州,马师校,102.2503,31.8896,2026-01-14T0200,14,15,0.5,15,4,28,,20,
阿坝藏族羌族自治州,马尔康中学西区,102.2174,31.9016,2026-01-14T0200,10,,0.5,18,5,28,,15,
阿克苏地区,电视台,80.2899,41.1684,2026-01-14T0200,90,160,2.5,78,2,11,,119,细颗粒物(PM2.5)
阿克苏地区,艺术中心,80.2592,41.1541,2026-01-14T0200,89,149,1.9,90,7,6,,118,细颗粒物(PM2.5)
阿拉善盟,蒙二幼,105.699,38.8409,2026-01-14T0200,133,455,0.6,4,9,81,,344,颗粒物(PM10)
阿拉善盟,环保局新楼,105.7198,38.8508,2026-01-14T0200,139,407,0.5,4,8,75,,282,颗粒物(PM10)
阿勒泰地区,市站,88.1266,47.8515,2026-01-14T0200,33,47,0.9,56,3,17,,48,
阿勒泰地区,阿勒泰路33号,88.1198,47.7931,2026-01-14T0200,47,67,0.9,25,2,58,,65,细颗粒物(PM2.5)
阿里地区,阿里监测站,80.1171,32.4999,2026-01-14T0200,3,,0.7,27,14,26,,14,
阿里地区,阿里藏医院,80.0906,32.5029,2026-01-14T0200,8,12,0.6,6,11,69,,22,
安康市,汉滨区检察院,109.0088,32.6974,2026-01-14T0200,52,68,0.7,24,4,17,,72,细颗粒物(PM2.5)
安康市,市邮政管理局,109.0324,32.6913,2026-01-14T0200,58,76,0.7,36,9,10,,79,细颗粒物(PM2.5)
安庆市,环科院,117.0806,30.5181,2026-01-14T0200,58,78,0.4,34,8,62,,79,细颗粒物(PM2.5)
安庆市,马山宾馆,117.0331,30.5118,2026-01-14T0200,60,76,0.6,71,7,30,,82,细颗粒物(PM2.5)
安庆市,安庆大学,116.9897,30.6146,2026-01-14T0200,47,63,0.4,27,8,83,,65,细颗粒物(PM2.5)
安庆市,市人大,117.0598,30.5351,2026-01-14T0200,60,76,0.4,88,11,12,,82,细颗粒物(PM2.5)
安顺市,凤凰山,105.9408,26.2431,2026-01-14T0200,38,48,0.4,12,12,94,,54,细颗粒物(PM2.5)
安顺市,金钟山,105.9443,26.2567,2026-01-14T0200,41,47,0.5,9,14,93,,58,细颗粒物(PM2.5)
安顺市,娄家坡,105.8983,26.248,2026-01-14T0200,38,44,0.7,9,10,95,,54,细颗粒物(PM2.5)
安阳市,红庙街,114.3552,36.1017,2026-01-14T0200,80,139,1.2,54,14,22,,107,细颗粒物(PM2.5)
安阳市,银杏小区,114.361,36.0681,2026-01-14T0200,88,112,1.2,48,16,23,,117,细颗粒物(PM2.5)
安阳市,信访局,114.3921,36.0879,2026-01-14T0200,81,137,1.3,51,16,22,,108,细颗粒物(PM2.5)
安阳市,左辅环卫站,114.4706,36.0634,2026-01-14T0200,104,141,1.3,47,16,21,,137,细颗粒物(PM2.5)
安阳市,钢三路198号,114.2918,36.0769,2026-01-14T0200,102,202,1.6,73,14,6,,134,细颗粒物(PM2.5)
鞍山市,深沟寺,123.0441,41.1201,2026-01-14T0200,16,34,0.9,12,6,46,,34,
鞍山市,太阳城,123.011,41.0931,2026-01-14T0200,14,27,0.7,10,10,56,,27,
鞍山市,太平,123.0483,41.1445,2026-01-14T0200,14,32,0.7,12,8,50,,32,
鞍山市,铁西三道街,122.964,41.0968,2026-01-14T0200,22,57,1.0,43,20,24,,54,颗粒物(PM10)
鞍山市,明达新区,123.0219,41.0822,2026-01-14T0200,18,36,0.8,17,11,47,,36,
鞍山市,兴盛南路290号,122.944647,41.082639,2026-01-14T0200,26,76,1.2,58,11,5,,63,颗粒物(PM10)
巴彦淖尔市,附二中,107.4206,40.7609,2026-01-14T0200,29,99,0.3,3,3,73,,75,颗粒物(PM10)
巴彦淖尔市,市环保大楼,107.37,40.7372,2026-01-14T0200,25,75,0.3,3,5,83,,63,颗粒物(PM10)
巴音郭楞蒙古自治州,孔雀公园,86.1476,41.7529,2026-01-14T0200,35,73,1.4,78,8,3,,62,颗粒物(PM10)
巴音郭楞蒙古自治州,棉纺厂,86.1971,41.7166,2026-01-14T0200,17,69,/,30,/,36,,60,颗粒物(PM10)
巴音郭楞蒙古自治州,经济开发区,86.236,41.7172,2026-01-14T0200,8,36,0.4,17,6,50,,36,
巴中市,市五中,106.776805,31.852614,2026-01-14T0200,78,107,0.8,33,5,10,,104,细颗粒物(PM2.5)
巴中市,圣泉水务公司,106.7419,31.8654,2026-01-14T0200,61,79,0.6,21,5,33,,83,细颗粒物(PM2.5)
巴中市,市中心医院,106.7617,31.8343,2026-01-14T0200,92,118,0.9,40,7,1,,122,细颗粒物(PM2.5)
白城市,洮北区环保局,122.7909,45.608,2026-01-14T0200,9,20,0.2,5,7,52,,20,
白城市,市环保局,122.8741,45.5725,2026-01-14T0200,11,,0.3,7,7,51,,16,
白山市,喜丰,126.4219,41.9172,2026-01-14T0200,25,71,0.8,37,11,23,,61,颗粒物(PM10)
白山市,环保局,126.4082,41.9416,2026-01-14T0200,33,,0.9,20,8,33,,48,
白银市,第三小学,104.1727,36.5448,2026-01-14T0200,28,263,0.3,10,1,81,,157,颗粒物(PM10)
白银市,动力公司,104.1467,36.5482,2026-01-14T0200,30,237,0.4,8,3,82,,144,颗粒物(PM10)
百色市,市监测站,106.6102,23.901,2026-01-14T0200,58,74,0.6,38,7,12,,79,细颗粒物(PM2.5)
百色市,市中心血站,106.6524,23.8842,2026-01-14T0200,98,116,1.3,59,11,2,,129,细颗粒物(PM2.5)
百色市,龙景西路,106.6273,23.8798,2026-01-14T0200,78,136,0.9,37,6,0,,104,细颗粒物(PM2.5)
蚌埠市,工人疗养院,117.396,32.9389,2026-01-14T0200,79,118,0.9,37,9,58,,105,细颗粒物(PM2.5)
蚌埠市,百货大楼,117.3606,32.9428,2026-01-14T0200,83,123,0.7,34,9,56,,110,细颗粒物(PM2.5)
蚌埠市,蚌埠学院,117.4183,32.8909,2026-01-14T0200,80,114,0.8,44,11,50,,107,细颗粒物(PM2.5)
蚌埠市,淮上区政府,117.3534,32.9672,2026-01-14T0200,89,132,0.8,37,6,58,,118,细颗粒物(PM2.5)
蚌埠市,高新区,117.3143,32.8977,2026-01-14T0200,116,153,0.9,61,10,26,,152,细颗粒物(PM2.5)
蚌埠市,蚌埠田家炳中学,117.3091,32.9314,2026-01-14T0200,102,135,0.7,63,20,34,,134,细颗粒物(PM2.5)
包头市,市环境监测站,109.8761,40.6533,2026-01-14T0200,48,123,1.5,65,14,0,,87,颗粒物(PM10)
包头市,包头八中,109.9992,40.5843,2026-01-14T0200,48,126,1.2,63,8,4,,88,颗粒物(PM10)
包头市,惠龙物流,109.8641,40.6288,2026-01-14T0200,39,119,1.5,68,18,1,,85,颗粒物(PM10)
包头市,东河鸿龙湾,110.0376,40.5546,2026-01-14T0200,38,124,2.3,76,11,4,,87,颗粒物(PM10)
包头市,滨河大厦,109.9154,40.5684,2026-01-14T0200,51,114,1.5,69,12,2,,82,颗粒物(PM10)
