area,positionname,longitude,latitude,timepoint,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant
阿里地区,阿里监测站,80.1171,32.4999,2026-03-03T1100,13,22,0.4,14,8,69,74,22,
阿里地区,阿里藏医院,80.0906,32.5029,2026-03-03T1100,3,26,0.6,19,12,68,78,26,
安康市,汉滨区检察院,109.0088,32.6974,2026-03-03T1100,14,18,0.9,11,4,39,30,20,
安康市,市邮政管理局,109.0324,32.6913,2026-03-03T1100,18,24,0.8,11,5,40,28,26,
安庆市,环科院,117.0806,30.5181,2026-03-03T1100,40,55,0.7,11,6,53,50,60,细颗粒物(PM2.5)
安庆市,马山宾馆,117.0331,30.5118,2026-03-03T1100,45,55,0.7,14,5,51,51,70,细颗粒物(PM2.5)
安庆市,安庆大学,116.9897,30.6146,2026-03-03T1100,42,53,0.6,8,4,59,53,64,细颗粒物(PM2.5)
安庆市,市人大,117.0598,30.5351,2026-03-03T1100,44,60,0.8,14,5,52,51,68,细颗粒物(PM2.5)
安顺市,凤凰山,105.9408,26.2431,2026-03-03T1100,23,24,0.7,7,11,43,45,33,
安顺市,金钟山,105.9443,26.2567,2026-03-03T1100,23,25,0.7,5,11,40,42,33,
安顺市,娄家坡,105.8983,26.248,2026-03-03T1100,24,26,0.6,7,16,39,41,35,
安阳市,红庙街,114.3552,36.1017,2026-03-03T1100,117,NA,0.9,19,NA,65,82,153,细颗粒物(PM2.5)
安阳市,银杏小区,114.361,36.0681,2026-03-03T1100,126,NA,0.9,19,2,66,83,166,细颗粒物(PM2.5)
安阳市,信访局,114.3921,36.0879,2026-03-03T1100,117,NA,0.9,18,3,69,89,153,细颗粒物(PM2.5)
安阳市,左辅环卫站,114.4706,36.0634,2026-03-03T1100,124,NA,0.7,13,NA,68,76,163,细颗粒物(PM2.5)
安阳市,钢三路198号,114.2918,36.0769,2026-03-03T1100,113,132,0.8,21,2,63,70,149,细颗粒物(PM2.5)
鞍山市,深沟寺,123.0441,41.1201,2026-03-03T1100,352,480,3.2,83,28,21,23,402,细颗粒物(PM2.5)
鞍山市,太阳城,123.011,41.0931,2026-03-03T1100,382,467,3.5,81,28,14,18,422,细颗粒物(PM2.5)
鞍山市,太平,123.0483,41.1445,2026-03-03T1100,338,433,3.5,78,34,13,22,388,细颗粒物(PM2.5)
鞍山市,铁西三道街,122.964,41.0968,2026-03-03T1100,425,592,3.4,90,28,19,24,492,颗粒物(PM10)
鞍山市,明达新区,123.0219,41.0822,2026-03-03T1100,386,487,2.9,71,34,17,22,424,细颗粒物(PM2.5)
鞍山市,兴盛南路290号,122.944647,41.082639,2026-03-03T1100,432,548,3.4,95,27,8,13,455,细颗粒物(PM2.5)
巴彦淖尔市,附二中,107.4206,40.7609,2026-03-03T1100,14,78,0.4,4,8,76,70,70,颗粒物(PM10)
巴彦淖尔市,市环保大楼,107.37,40.7372,2026-03-03T1100,30,90,0.4,6,6,78,73,79,颗粒物(PM10)
巴音郭楞蒙古自治州,孔雀公园,86.1476,41.7529,2026-03-03T1100,21,79,0.3,10,10,72,77,71,颗粒物(PM10)
巴音郭楞蒙古自治州,棉纺厂,86.1971,41.7166,2026-03-03T1100,22,88,/,10,/,73,77,78,颗粒物(PM10)
巴音郭楞蒙古自治州,经济开发区,86.236,41.7172,2026-03-03T1100,17,59,0.7,9,7,64,70,57,颗粒物(PM10)
德州市,监理站,116.2992,37.4449,2026-03-03T1100,142,188,1.1,38,4,30,44,189,细颗粒物(PM2.5)
德州市,九衢泉纯净水厂,116.2722,37.438,2026-03-03T1100,137,161,1.0,36,2,26,32,182,细颗粒物(PM2.5)
德州市,开发区人民医院,116.3693,37.44,2026-03-03T1100,144,173,0.8,25,10,29,38,192,细颗粒物(PM2.5)
德州市,陵城艺术中心,116.5687,37.3331,2026-03-03T1100,137,153,1.2,20,9,39,47,182,细颗粒物(PM2.5)
德州市,新河东路,116.352738,37.420875,2026-03-03T1100,128,161,1.0,26,9,30,35,169,细颗粒物(PM2.5)
迪庆藏族自治州,迪庆州站,99.7054,27.8319,2026-03-03T1100,34,NA,0.7,14,6,85,88,49,
迪庆藏族自治州,质量技术监督局,99.7122,27.8129,2026-03-03T1100,36,46,0.7,17,7,87,92,52,细颗粒物(PM2.5)
定西市,将台街,104.6092,35.5962,2026-03-03T1100,35,103,1.1,10,15,60,28,88,颗粒物(PM10)
定西市,正龙路62号,104.6159,35.5701,2026-03-03T1100,35,94,0.7,6,10,NA,33,NA,NA
定州市,交通局,114.9883,38.5232,2026-03-03T1100,104,122,1.0,NA,NA,69,87,140,细颗粒物(PM2.5)
定州市,第五中学,115.0045,38.5136,2026-03-03T1100,98,136,1.0,11,6,71,83,135,细颗粒物(PM2.5)
东莞市,东城石井,113.7943,23.0132,2026-03-03T1100,6,12,0.8,14,6,30,23,12,
东莞市,南城西平,113.7384,22.9659,2026-03-03T1100,3,9,0.8,NA,NA,28,17,NA,NA
东莞市,万江金泰,113.7283,23.041,2026-03-03T1100,3,8,1.0,10,5,29,23,10,
东莞市,裕兴路,113.8666,23.1062,2026-03-03T1100,3,8,1.0,9,7,32,27,10,
东莞市,教育路1号,114.0076,22.9739,2026-03-03T1100,3,11,0.8,14,4,30,26,11,
东莞市,长怡路1号,113.7981,22.8124,2026-03-03T1100,3,14,0.8,13,5,29,24,14,
东营市,市环保局,118.6612,37.4313,2026-03-03T1100,88,102,0.9,21,6,52,57,126,细颗粒物(PM2.5)
东营市,开发区管委会,118.6903,37.4337,2026-03-03T1100,101,NA,0.8,34,6,45,59,138,细颗粒物(PM2.5)
东营市,垦利区民丰路,118.5721,37.5654,2026-03-03T1100,118,127,0.9,35,10,39,53,155,细颗粒物(PM2.5)
东营市,河口城区,118.5063,37.8606,2026-03-03T1100,111,139,1.4,26,4,35,42,147,细颗粒物(PM2.5)
东营市,胜利站,118.4979,37.4623,2026-03-03T1100,99,131,1.0,26,6,42,49,136,细颗粒物(PM2.5)
东营市,理想之城,118.5753,37.4405,2026-03-03T1100,92,117,1.0,24,3,49,60,130,细颗粒物(PM2.5)
鄂尔多斯市,综合楼,110.0024,39.8127,2026-03-03T1100,36,256,0.4,16,9,74,80,153,颗粒物(PM10)
鄂尔多斯市,巴音孟克林场办事处,109.9485,39.8259,2026-03-03T1100,39,215,0.3,10,5,NA,81,137,颗粒物(PM10)
鄂尔多斯市,康泽苑,109.7734,39.5987,2026-03-03T1100,23,239,0.4,11,9,82,87,146,颗粒物(PM10)
惠州市,文华一路1号,114.4089,23.1147,2026-03-03T1100,6,9,/,8,/,38,32,12,
鸡西市,环保局,130.9618,45.2926,2026-03-03T1100,25,65,0.1,16,22,NA,32,NA,NA
鸡西市,第一中学,130.9294,45.2959,2026-03-03T1100,23,57,0.4,18,23,62,38,55,颗粒物(PM10)
鸡西市,欧美日汽修厂,131.0069,45.2988,2026-03-03T1100,19,35,0.7,9,11,71,33,35,
吉安市,红声器材厂,114.9753,27.0803,2026-03-03T1100,21,28,0.3,14,11,30,32,30,
吉安市,市环境监测站,114.9903,27.1313,2026-03-03T1100,19,24,/,10,7,38,40,28,
吉安市,青原区法院,115.009527,27.096792,2026-03-03T1100,21,28,0.7,14,8,38,36,30,
吉林市,哈达湾,126.54,43.8622,2026-03-03T1100,20,32,0.8,8,8,78,76,32,
吉林市,东局子,126.5843,43.8358,2026-03-03T1100,20,27,0.6,8,4,78,75,29,
吉林市,电力学院,126.5051,43.8243,2026-03-03T1100,19,24,0.5,7,6,79,78,28,
吉林市,江北,126.6133,43.8971,2026-03-03T1100,17,33,0.5,14,7,74,70,33,
吉林市,江南公园,126.5549,43.8304,2026-03-03T1100,18,30,0.5,8,8,76,75,30,
吉林市,九站,126.4737,43.953,2026-03-03T1100,21,35,0.8,12,14,NA,64,NA,NA
济南市,科干所,116.9866,36.6118,2026-03-03T1100,68,78,1.0,24,4,43,30,108,细颗粒物(PM2.5)
