area,positionname,longitude,latitude,timepoint,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant
阿坝藏族羌族自治州,州农科所,102.1879,31.914,2024-11-23T1400,6,13,0.0,6,10,80,47,25,
阿坝藏族羌族自治州,马师校,102.2502,31.8896,2024-11-23T1400,6,,0.2,6,4,77,39,25,
阿坝藏族羌族自治州,马尔康中学西区,102.2165,31.9024,2024-11-23T1400,7,7,0.3,10,5,73,42,23,
阿克苏地区,电视台,80.292,41.1694,2024-11-23T1400,39,87,0.6,32,19,67,40,69,颗粒物(PM10)
阿克苏地区,艺术中心,80.2613,41.1551,2024-11-23T1400,45,104,0.7,35,6,61,43,77,颗粒物(PM10)
阿拉善盟,西城区西花园,105.6467,38.8363,2024-11-23T1400,27,51,0.8,14,9,94,54,51,颗粒物(PM10)
阿拉善盟,蒙二幼,105.6985,38.8411,2024-11-23T1400,29,38,0.6,16,9,90,62,42,
阿拉善盟,环保局新楼,105.724,38.8516,2024-11-23T1400,27,48,0.8,19,10,85,88,48,
阿勒泰地区,市站,88.1264,47.8517,2024-11-23T1400,3,11,0.1,9,8,46,38,15,
阿里地区,阿里监测站,80.1161,32.5,2024-11-23T1400,3,8,0.4,2,2,95,63,30,
阿里地区,阿里藏医院,80.0903,32.5028,2024-11-23T1400,3,6,0.5,2,4,94,86,30,
安康市,香溪洞,109.0318,32.6537,2024-11-23T1400,39,45,0.5,21,8,48,39,55,细颗粒物(PM2.5)
安康市,汉滨区检察院,109.0072,32.6975,2024-11-23T1400,54,74,1.0,32,8,18,7,74,细颗粒物(PM2.5)
安康市,市邮政管理局,109.0325,32.6913,2024-11-23T1400,57,77,1.0,35,8,14,6,78,细颗粒物(PM2.5)
安庆市,环科院,117.0809,30.5177,2024-11-23T1400,28,54,0.4,15,6,105,64,52,颗粒物(PM10)
安庆市,马山宾馆,117.0331,30.5119,2024-11-23T1400,30,54,0.3,22,6,111,68,52,颗粒物(PM10)
安庆市,安庆大学,116.9896,30.6145,2024-11-23T1400,24,38,0.5,23,11,107,68,38,
安庆市,市人大,117.0598,30.5351,2024-11-23T1400,30,45,,19,11,106,62,,
安顺市,伍家关,105.9606,26.2611,2024-11-23T1400,19,23,0.7,7,7,49,42,28,
安顺市,凤凰山,105.9408,26.2431,2024-11-23T1400,20,26,0.3,8,11,46,37,29,
安顺市,金钟山,105.9439,26.2564,2024-11-23T1400,20,29,0.3,7,12,50,42,29,
安顺市,娄家坡,105.8983,26.2481,2024-11-23T1400,19,27,0.5,10,9,45,41,28,
安阳市,棉研所,114.4839,36.0621,2024-11-23T1400,49,66,0.5,26,8,62,24,68,细颗粒物(PM2.5)
安阳市,红庙街,114.3551,36.1017,2024-11-23T1400,42,48,0.4,19,3,65,29,59,细颗粒物(PM2.5)
安阳市,银杏小区,114.361,36.0681,2024-11-23T1400,48,57,0.5,17,3,64,28,67,细颗粒物(PM2.5)
安阳市,信访局,114.3922,36.0878,2024-11-23T1400,48,54,0.4,20,4,66,28,67,细颗粒物(PM2.5)
安阳市,左辅环卫站,114.4705,36.0637,2024-11-23T1400,45,82,,,4,63,8,,
安阳市,安钢职工学校,114.2917,36.0949,2024-11-23T1400,45,,0.3,20,4,69,31,63,细颗粒物(PM2.5)
鞍山市,深沟寺,123.044,41.1196,2024-11-23T1400,33,61,0.9,29,7,44,22,56,颗粒物(PM10)
鞍山市,太阳城,123.011,41.0931,2024-11-23T1400,23,38,0.7,20,8,51,25,38,
鞍山市,太平,123.0485,41.1442,2024-11-23T1400,35,67,0.9,39,20,47,18,59,颗粒物(PM10)
鞍山市,铁西三道街,122.9642,41.0971,2024-11-23T1400,23,46,1.4,35,24,37,19,46,
鞍山市,铁西工业园区,122.9341,41.0833,2024-11-23T1400,33,65,1.9,56,46,30,18,58,颗粒物(PM10)
鞍山市,明达新区,123.022,41.0821,2024-11-23T1400,22,36,0.9,18,8,48,24,36,
鞍山市,千山,123.1289,41.0228,2024-11-23T1400,,,,,,,23,,
巴彦淖尔市,附二中,107.4212,40.761,2024-11-23T1400,77,147,0.9,44,12,23,10,103,细颗粒物(PM2.5)
