area,positionname,longitude,latitude,timepoint,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant
阿坝藏族羌族自治州,马师校,102.2503,31.8896,2026-03-24T1400,7,9,0.3,4,5,99,56,31,
阿坝藏族羌族自治州,马尔康中学西区,102.2174,31.9016,2026-03-24T1400,7,NA,0.2,4,3,96,62,30,
阿克苏地区,电视台,80.2899,41.1684,2026-03-24T1400,49,142,0.8,10,3,98,66,109,颗粒物(PM10)
阿克苏地区,艺术中心,80.2592,41.1541,2026-03-24T1400,45,129,0.8,12,5,106,68,104,颗粒物(PM10)
阿拉善盟,蒙二幼,105.699,38.8409,2026-03-24T1400,25,101,0.5,2,7,108,93,87,颗粒物(PM10)
阿拉善盟,环保局新楼,105.7198,38.8508,2026-03-24T1400,NA,82,0.4,3,7,99,92,NA,NA
阿勒泰地区,市站,88.1266,47.8515,2026-03-24T1400,6,17,0.2,8,6,96,92,30,
阿勒泰地区,阿勒泰路33号,88.1198,47.7931,2026-03-24T1400,3,11,0.2,7,7,99,94,31,
阿里地区,阿里监测站,80.1171,32.4999,2026-03-24T1400,3,6,0.2,1,7,121,103,38,
阿里地区,阿里藏医院,80.0906,32.5029,2026-03-24T1400,3,6,0.1,1,5,126,110,40,
安康市,汉滨区检察院,109.0088,32.6974,2026-03-24T1400,22,30,0.5,8,4,87,62,32,
安康市,市邮政管理局,109.0324,32.6913,2026-03-24T1400,21,33,0.5,6,4,92,74,33,
安庆市,环科院,117.0806,30.5181,2026-03-24T1400,25,NA,0.7,15,8,69,74,36,
安庆市,马山宾馆,117.0331,30.5118,2026-03-24T1400,25,NA,0.8,14,6,69,73,36,
安庆市,安庆大学,116.9897,30.6146,2026-03-24T1400,24,NA,0.8,23,4,56,70,35,
安庆市,市人大,117.0598,30.5351,2026-03-24T1400,23,24,0.7,20,7,67,71,33,
安顺市,凤凰山,105.9408,26.2431,2026-03-24T1400,21,NA,0.7,8,8,74,57,30,
安顺市,金钟山,105.9443,26.2567,2026-03-24T1400,22,NA,0.7,6,6,69,53,32,
安顺市,娄家坡,105.8983,26.248,2026-03-24T1400,11,20,0.7,8,9,72,54,23,
安阳市,红庙街,114.3552,36.1017,2026-03-24T1400,51,76,0.5,9,2,132,115,82,细颗粒物(PM2.5)
安阳市,银杏小区,114.361,36.0681,2026-03-24T1400,62,76,0.2,9,3,133,114,102,细颗粒物(PM2.5)
安阳市,信访局,114.3921,36.0879,2026-03-24T1400,46,74,0.2,9,1,139,124,72,细颗粒物(PM2.5)
安阳市,左辅环卫站,114.4706,36.0634,2026-03-24T1400,46,78,0.4,5,3,130,104,72,细颗粒物(PM2.5)
安阳市,钢三路198号,114.2918,36.0769,2026-03-24T1400,45,65,0.5,9,1,120,102,70,细颗粒物(PM2.5)
鞍山市,深沟寺,123.0441,41.1201,2026-03-24T1400,35,51,0.6,12,10,125,109,51,颗粒物(PM10)
鞍山市,太阳城,123.011,41.0931,2026-03-24T1400,37,44,0.6,13,9,125,106,54,细颗粒物(PM2.5)
鞍山市,太平,123.0483,41.1445,2026-03-24T1400,36,56,0.7,12,11,127,97,55,颗粒物(PM10)
鞍山市,铁西三道街,122.964,41.0968,2026-03-24T1400,40,62,0.6,18,7,125,86,60,细颗粒物(PM2.5)
鞍山市,明达新区,123.0219,41.0822,2026-03-24T1400,35,48,0.6,12,11,124,100,50,
鞍山市,兴盛南路290号,122.944647,41.082639,2026-03-24T1400,39,58,0.6,NA,9,124,91,NA,NA
巴彦淖尔市,附二中,107.4206,40.7609,2026-03-24T1400,23,133,0.2,3,8,113,84,105,颗粒物(PM10)
巴彦淖尔市,市环保大楼,107.37,40.7372,2026-03-24T1400,23,142,0.3,4,5,116,87,109,颗粒物(PM10)
巴音郭楞蒙古自治州,孔雀公园,86.1476,41.7529,2026-03-24T1400,40,161,0.2,8,12,100,44,116,颗粒物(PM10)
巴音郭楞蒙古自治州,棉纺厂,86.1971,41.7166,2026-03-24T1400,35,NA,/,3,/,101,36,NA,NA
巴音郭楞蒙古自治州,经济开发区,86.236,41.7172,2026-03-24T1400,36,129,0.3,3,7,89,56,104,颗粒物(PM10)
巴中市,市五中,106.776805,31.852614,2026-03-24T1400,3,13,0.6,7,8,86,46,27,
巴中市,圣泉水务公司,106.7419,31.8654,2026-03-24T1400,3,26,0.6,5,9,89,47,28,
巴中市,市中心医院,106.7617,31.8343,2026-03-24T1400,NA,NA,0.6,5,10,85,46,NA,NA
白城市,洮北区环保局,122.7909,45.608,2026-03-24T1400,82,149,0.4,13,9,145,101,120,细颗粒物(PM2.5)
白城市,市环保局,122.8741,45.5725,2026-03-24T1400,86,241,0.5,14,6,140,96,147,颗粒物(PM10)
白山市,喜丰,126.4219,41.9172,2026-03-24T1400,22,42,0.9,6,8,111,63,42,
白山市,环保局,126.4082,41.9416,2026-03-24T1400,23,34,0.7,7,11,113,70,36,
白银市,第三小学,104.1727,36.5448,2026-03-24T1400,41,108,0.3,12,7,113,62,92,颗粒物(PM10)
白银市,动力公司,104.1467,36.5482,2026-03-24T1400,32,111,0.5,7,6,115,59,94,颗粒物(PM10)
百色市,市监测站,106.6102,23.901,2026-03-24T1400,54,60,0.8,14,22,130,48,88,细颗粒物(PM2.5)
百色市,市中心血站,106.6524,23.8842,2026-03-24T1400,36,70,0.7,11,20,122,47,65,颗粒物(PM10)
百色市,龙景西路,106.6273,23.8798,2026-03-24T1400,47,99,0.7,15,25,141,46,85,颗粒物(PM10)
蚌埠市,工人疗养院,117.396,32.9389,2026-03-24T1400,58,81,0.4,16,4,88,62,96,细颗粒物(PM2.5)
蚌埠市,百货大楼,117.3606,32.9428,2026-03-24T1400,57,73,NA,14,5,90,60,NA,NA
