area,positionname,longitude,latitude,timepoint,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant
阿坝藏族羌族自治州,马师校,102.2503,31.8896,2026-01-14T2200,26,57,0.6,25,4,30,67,54,颗粒物(PM10)
阿坝藏族羌族自治州,马尔康中学西区,102.2174,31.9016,2026-01-14T2200,26,36,0.7,27,6,33,67,38,
阿克苏地区,电视台,80.2899,41.1684,2026-01-14T2200,53,112,1.2,42,3,58,75,81,颗粒物(PM10)
阿克苏地区,艺术中心,80.2592,41.1541,2026-01-14T2200,56,149,1.3,97,6,2,72,100,颗粒物(PM10)
阿拉善盟,蒙二幼,105.699,38.8409,2026-01-14T2200,29,105,0.6,6,9,83,82,78,颗粒物(PM10)
阿拉善盟,环保局新楼,105.7198,38.8508,2026-01-14T2200,29,85,0.5,4,9,84,79,68,颗粒物(PM10)
阿勒泰地区,市站,88.1266,47.8515,2026-01-14T2200,51,,0.7,68,4,13,53,70,细颗粒物(PM2.5)
阿勒泰地区,阿勒泰路33号,88.1198,47.7931,2026-01-14T2200,46,66,0.7,22,2,59,63,64,细颗粒物(PM2.5)
阿里地区,阿里监测站,80.1171,32.4999,2026-01-14T2200,3,6,0.8,26,8,49,70,16,
阿里地区,阿里藏医院,80.0906,32.5029,2026-01-14T2200,3,9,0.5,2,9,87,91,28,
安康市,汉滨区检察院,109.0088,32.6974,2026-01-14T2200,69,91,0.9,38,4,10,47,93,细颗粒物(PM2.5)
安康市,市邮政管理局,109.0324,32.6913,2026-01-14T2200,115,150,2.0,57,7,3,35,150,细颗粒物(PM2.5)
安庆市,环科院,117.0806,30.5181,2026-01-14T2200,70,87,0.6,50,11,59,97,94,细颗粒物(PM2.5)
安庆市,马山宾馆,117.0331,30.5118,2026-01-14T2200,72,86,0.8,120,11,4,92,97,细颗粒物(PM2.5)
安庆市,安庆大学,116.9897,30.6146,2026-01-14T2200,29,51,0.4,25,6,79,106,51,颗粒物(PM10)
安庆市,市人大,117.0598,30.5351,2026-01-14T2200,65,85,0.6,83,15,33,104,88,细颗粒物(PM2.5)
安顺市,凤凰山,105.9408,26.2431,2026-01-14T2200,62,73,0.7,20,26,82,92,84,细颗粒物(PM2.5)
安顺市,金钟山,105.9443,26.2567,2026-01-14T2200,105,,0.8,17,41,65,90,138,细颗粒物(PM2.5)
安顺市,娄家坡,105.8983,26.248,2026-01-14T2200,68,73,0.9,18,16,75,92,92,细颗粒物(PM2.5)
安阳市,红庙街,114.3552,36.1017,2026-01-14T2200,136,197,1.8,73,9,8,30,180,细颗粒物(PM2.5)
安阳市,银杏小区,114.361,36.0681,2026-01-14T2200,153,188,1.8,68,9,5,26,203,细颗粒物(PM2.5)
安阳市,信访局,114.3921,36.0879,2026-01-14T2200,136,187,1.8,75,12,7,29,180,细颗粒物(PM2.5)
安阳市,左辅环卫站,114.4706,36.0634,2026-01-14T2200,175,201,1.5,84,16,8,29,225,细颗粒物(PM2.5)
安阳市,钢三路198号,114.2918,36.0769,2026-01-14T2200,143,267,1.9,66,13,14,26,190,细颗粒物(PM2.5)
鞍山市,深沟寺,123.0441,41.1201,2026-01-14T2200,28,43,0.8,13,6,58,61,43,
鞍山市,太阳城,123.011,41.0931,2026-01-14T2200,31,90,0.9,17,9,58,69,70,颗粒物(PM10)
鞍山市,太平,123.0483,41.1445,2026-01-14T2200,33,56,0.7,13,8,58,56,53,颗粒物(PM10)
鞍山市,铁西三道街,122.964,41.0968,2026-01-14T2200,43,71,0.7,37,29,,52,,
鞍山市,明达新区,123.0219,41.0822,2026-01-14T2200,35,50,0.6,18,10,52,65,50,
鞍山市,兴盛南路290号,122.944647,41.082639,2026-01-14T2200,46,78,0.8,35,11,39,58,64,"颗粒物(PM10),细颗粒物(PM2.5)"
巴彦淖尔市,附二中,107.4206,40.7609,2026-01-14T2200,39,145,0.4,13,3,59,71,98,颗粒物(PM10)
巴彦淖尔市,市环保大楼,107.37,40.7372,2026-01-14T2200,34,135,0.4,13,4,61,82,93,颗粒物(PM10)
巴音郭楞蒙古自治州,孔雀公园,86.1476,41.7529,2026-01-14T2200,47,124,1.0,50,9,36,71,87,颗粒物(PM10)
巴音郭楞蒙古自治州,棉纺厂,86.1971,41.7166,2026-01-14T2200,29,174,/,44,/,35,74,112,颗粒物(PM10)
巴音郭楞蒙古自治州,经济开发区,86.236,41.7172,2026-01-14T2200,29,142,0.6,27,7,50,66,96,颗粒物(PM10)
巴中市,市五中,106.776805,31.852614,2026-01-14T2200,77,108,1.0,43,5,4,48,103,细颗粒物(PM2.5)
巴中市,圣泉水务公司,106.7419,31.8654,2026-01-14T2200,94,110,1.4,56,6,2,46,124,细颗粒物(PM2.5)
巴中市,市中心医院,106.7617,31.8343,2026-01-14T2200,80,117,1.1,48,7,1,46,107,细颗粒物(PM2.5)
白城市,洮北区环保局,122.7909,45.608,2026-01-14T2200,17,27,0.3,16,6,46,53,27,
白城市,市环保局,122.8741,45.5725,2026-01-14T2200,22,36,0.4,14,7,42,47,36,
白山市,喜丰,126.4219,41.9172,2026-01-14T2200,28,50,0.9,40,23,28,29,50,
白山市,环保局,126.4082,41.9416,2026-01-14T2200,37,40,1.0,31,14,28,32,53,细颗粒物(PM2.5)
白银市,第三小学,104.1727,36.5448,2026-01-14T2200,42,161,0.7,51,3,34,75,106,颗粒物(PM10)
白银市,动力公司,104.1467,36.5482,2026-01-14T2200,46,141,0.6,43,3,41,77,96,颗粒物(PM10)
百色市,市监测站,106.6102,23.901,2026-01-14T2200,70,94,,,,,101,,
百色市,市中心血站,106.6524,23.8842,2026-01-14T2200,107,146,1.6,72,10,18,103,140,细颗粒物(PM2.5)
百色市,龙景西路,106.6273,23.8798,2026-01-14T2200,116,167,1.2,56,10,31,109,152,细颗粒物(PM2.5)
蚌埠市,工人疗养院,117.396,32.9389,2026-01-14T2200,91,147,1.2,100,9,14,100,120,细颗粒物(PM2.5)
蚌埠市,百货大楼,117.3606,32.9428,2026-01-14T2200,96,145,1.2,103,11,8,98,127,细颗粒物(PM2.5)
蚌埠市,蚌埠学院,117.4183,32.8909,2026-01-14T2200,111,156,0.8,78,9,29,105,145,细颗粒物(PM2.5)
蚌埠市,淮上区政府,117.3534,32.9672,2026-01-14T2200,102,144,1.0,104,8,20,105,134,细颗粒物(PM2.5)
蚌埠市,高新区,117.3143,32.8977,2026-01-14T2200,110,151,0.8,90,10,5,90,144,细颗粒物(PM2.5)
蚌埠市,蚌埠田家炳中学,117.3091,32.9314,2026-01-14T2200,119,157,0.9,106,35,9,89,156,细颗粒物(PM2.5)
包头市,市环境监测站,109.8761,40.6533,2026-01-14T2200,35,169,1.0,75,7,2,74,110,颗粒物(PM10)
包头市,包头八中,109.9992,40.5843,2026-01-14T2200,69,167,1.0,71,5,4,74,109,颗粒物(PM10)
包头市,惠龙物流,109.8641,40.6288,2026-01-14T2200,48,160,1.0,54,15,30,76,105,颗粒物(PM10)
包头市,东河鸿龙湾,110.0376,40.5546,2026-01-14T2200,36,151,1.2,71,10,21,78,101,颗粒物(PM10)
包头市,滨河大厦,109.9154,40.5684,2026-01-14T2200,44,145,0.6,35,5,37,76,98,颗粒物(PM10)
包头市,包头市委党校,109.9449,40.6259,2026-01-14T2200,58,247,1.0,80,10,3,75,149,颗粒物(PM10)
包头市,昆区政府,109.8332,40.6577,2026-01-14T2200,92,169,1.7,78,19,14,66,122,细颗粒物(PM2.5)
宝鸡市,竹园沟,107.0802,34.3129,2026-01-14T2200,32,93,0.3,18,6,37,70,72,颗粒物(PM10)
宝鸡市,监测站,107.1429,34.3549,2026-01-14T2200,58,130,0.7,41,4,13,59,90,颗粒物(PM10)
宝鸡市,技工学校,107.1172,34.3759,2026-01-14T2200,57,111,0.8,42,6,16,71,81,颗粒物(PM10)
宝鸡市,文理学院,107.2025,34.3518,2026-01-14T2200,60,108,0.5,48,4,17,62,82,细颗粒物(PM2.5)
宝鸡市,三迪小学,107.2396,34.3626,2026-01-14T2200,70,124,0.9,69,4,3,66,94,细颗粒物(PM2.5)
宝鸡市,滨河北路,107.1721,34.3558,2026-01-14T2200,56,150,0.8,55,5,6,62,100,颗粒物(PM10)
宝鸡市,陈仓区北开路21号,107.3898,34.3601,2026-01-14T2200,,,,,,,72,,
保定市,游泳馆,115.4803,38.8568,2026-01-14T2200,80,117,0.8,71,7,4,26,107,细颗粒物(PM2.5)
保定市,华电二区,115.509,38.8895,2026-01-14T2200,85,107,0.7,60,5,0,24,113,细颗粒物(PM2.5)
保定市,接待中心,115.4588,38.9037,2026-01-14T2200,82,115,0.8,63,1,2,25,109,细颗粒物(PM2.5)
保定市,地表水厂,115.4484,38.8344,2026-01-14T2200,94,164,1.0,69,5,3,16,124,细颗粒物(PM2.5)
保定市,满城区生态环境分局,115.3136,38.9511,2026-01-14T2200,92,139,1.0,80,3,0,27,122,细颗粒物(PM2.5)
保定市,清苑区第二中学,115.4709,38.7628,2026-01-14T2200,105,157,0.9,65,3,3,18,138,细颗粒物(PM2.5)
保定市,徐水物探局,115.6231,39.0223,2026-01-14T2200,85,141,0.8,55,6,2,22,113,细颗粒物(PM2.5)
保定市,双鹰农机,115.4199,38.8665,2026-01-14T2200,,170,,61,6,3,27,110,颗粒物(PM10)
保定市,植保所站,115.515,38.8589,2026-01-14T2200,89,114,1.0,73,4,0,21,118,细颗粒物(PM2.5)
保山市,市环境监测站,99.1589,25.1137,2026-01-14T2200,22,30,0.3,9,2,57,89,32,
保山市,市环保局,99.1616,25.1381,2026-01-14T2200,24,28,0.4,4,4,82,88,35,
北海市,海滩公园,109.1435,21.4085,2026-01-14T2200,34,60,0.9,12,8,163,175,55,颗粒物(PM10)
北海市,新市环保局,109.0983,21.466,2026-01-14T2200,31,54,0.5,15,4,163,151,54,臭氧1小时(O3_1h)
北海市,北海工业园,109.1775,21.5232,2026-01-14T2200,46,74,0.9,15,8,148,152,64,细颗粒物(PM2.5)
北海市,龙潭自来水厂,109.1844,21.4396,2026-01-14T2200,42,58,0.6,16,12,151,160,59,细颗粒物(PM2.5)
北京市,万寿西宫,116.3611,39.8786,2026-01-14T2200,59,98,0.9,84,3,1,13,80,细颗粒物(PM2.5)
北京市,东四,116.4174,39.9289,2026-01-14T2200,51,91,1.2,71,5,2,13,71,颗粒物(PM10)
北京市,天坛,116.4073,39.8858,2026-01-14T2200,48,78,0.8,61,2,2,14,67,细颗粒物(PM2.5)
北京市,农展馆,116.4622,39.9364,2026-01-14T2200,51,84,1.1,62,4,2,15,70,细颗粒物(PM2.5)
北京市,官园,116.3399,39.9293,2026-01-14T2200,57,96,1.1,71,5,0,13,78,细颗粒物(PM2.5)
北京市,海淀万柳,116.2879,39.9613,2026-01-14T2200,56,90,1.1,69,3,1,15,77,细颗粒物(PM2.5)
北京市,顺义新城,116.6635,40.1349,2026-01-14T2200,58,96,0.8,63,3,3,34,79,细颗粒物(PM2.5)
北京市,怀柔镇,116.6275,40.327,2026-01-14T2200,50,75,0.6,28,4,33,35,69,细颗粒物(PM2.5)
北京市,昌平镇,116.2295,40.217,2026-01-14T2200,52,89,1.0,61,4,3,26,72,细颗粒物(PM2.5)
北京市,奥体中心,116.3968,39.982,2026-01-14T2200,53,91,1.1,87,3,1,13,73,细颗粒物(PM2.5)
北京市,密云新城,116.8336,40.4095,2026-01-14T2200,51,83,0.6,27,4,29,41,70,细颗粒物(PM2.5)
北京市,门头沟三家店,116.0879,39.9725,2026-01-14T2200,50,96,0.8,58,3,2,23,73,颗粒物(PM10)
