area,positionname,longitude,latitude,timepoint,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant
阿坝藏族羌族自治州,州农科所,102.1879,31.914,2025-03-13T2200,8,19,0,12,9,59,82,19,
阿坝藏族羌族自治州,马师校,102.2502,31.8896,2025-03-13T2200,22,27,0.5,22,5,55,95,32,
阿坝藏族羌族自治州,马尔康中学西区,102.2165,31.9024,2025-03-13T2200,12,19,0.4,18,5,61,100,20,
阿克苏地区,电视台,80.292,41.1694,2025-03-13T2200,70,200,0.7,39,4,52,110,125,颗粒物(PM10)
阿克苏地区,艺术中心,80.2613,41.1551,2025-03-13T2200,50,164,0.6,45,5,41,108,107,颗粒物(PM10)
阿拉善盟,西城区西花园,105.6467,38.8363,2025-03-13T2200,17,66,0.8,7,7,105,109,58,颗粒物(PM10)
阿拉善盟,蒙二幼,105.6985,38.8411,2025-03-13T2200,12,51,0.6,7,6,100,103,51,颗粒物(PM10)
阿拉善盟,环保局新楼,105.724,38.8516,2025-03-13T2200,15,54,0.5,3,8,105,108,52,颗粒物(PM10)
阿勒泰地区,市站,88.1264,47.8517,2025-03-13T2200,30,30,0.4,38,3,54,77,43,
阿里地区,阿里监测站,80.1161,32.5,2025-03-13T2200,8,8,0.5,2,6,119,117,38,
阿里地区,阿里藏医院,80.0903,32.5028,2025-03-13T2200,3,10,0.3,1,6,106,106,34,
安康市,香溪洞,109.0318,32.6537,2025-03-13T2200,23,44,0.5,6,6,64,64,44,
安康市,汉滨区检察院,109.0072,32.6975,2025-03-13T2200,21,48,0.5,20,6,25,55,48,
安康市,市邮政管理局,109.0325,32.6913,2025-03-13T2200,24,59,0.6,32,6,26,55,55,颗粒物(PM10)
安庆市,环科院,117.0809,30.5177,2025-03-13T2200,28,44,0.7,21,6,56,94,44,
安庆市,马山宾馆,117.0331,30.5119,2025-03-13T2200,26,36,0.9,14,3,60,95,38,
安庆市,安庆大学,116.9896,30.6145,2025-03-13T2200,18,42,0.4,14,7,66,102,42,
安庆市,市人大,117.0598,30.5351,2025-03-13T2200,27,47,0.7,18,5,57,94,47,
安顺市,伍家关,105.9606,26.2611,2025-03-13T2200,12,,0.7,12,6,37,69,,
安顺市,凤凰山,105.9408,26.2431,2025-03-13T2200,9,18,0.8,15,21,34,69,18,
安顺市,金钟山,105.9439,26.2564,2025-03-13T2200,7,22,0.6,12,12,36,69,22,
