area,positionname,longitude,latitude,timepoint,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant
阿坝藏族羌族自治州,州农科所,102.1879,31.914,2025-01-03T1400,12,22,0.7,6,5,80,54,25,
阿坝藏族羌族自治州,马师校,102.2502,31.8896,2025-01-03T1400,6,7,0.3,7,5,71,43,23,
阿坝藏族羌族自治州,马尔康中学西区,102.2165,31.9024,2025-01-03T1400,,,0.3,,5,105,59,,
阿克苏地区,电视台,80.292,41.1694,2025-01-03T1400,92,140,1.6,45,3,43,26,122,细颗粒物(PM2.5)
阿克苏地区,艺术中心,80.2613,41.1551,2025-01-03T1400,95,154,1.5,48,6,37,33,125,细颗粒物(PM2.5)
阿拉善盟,西城区西花园,105.6467,38.8363,2025-01-03T1400,21,58,0.9,10,10,87,78,54,颗粒物(PM10)
阿拉善盟,蒙二幼,105.6985,38.8411,2025-01-03T1400,16,43,0.4,11,5,85,75,43,
阿拉善盟,环保局新楼,105.724,38.8516,2025-01-03T1400,15,41,0.7,8,8,86,83,41,
阿勒泰地区,市站,88.1264,47.8517,2025-01-03T1400,6,12,0.1,27,10,50,51,16,
阿里地区,阿里监测站,80.1161,32.5,2025-01-03T1400,3,7,0.4,4,7,67,66,21,
阿里地区,阿里藏医院,80.0903,32.5028,2025-01-03T1400,15,16,0.6,6,9,76,64,24,
安康市,香溪洞,109.0318,32.6537,2025-01-03T1400,74,78,0.8,,10,33,53,,
安康市,汉滨区检察院,109.0072,32.6975,2025-01-03T1400,82,99,0.9,42,6,28,27,109,细颗粒物(PM2.5)
安康市,市邮政管理局,109.0325,32.6913,2025-01-03T1400,84,114,0.9,38,7,26,20,112,细颗粒物(PM2.5)
安庆市,环科院,117.0809,30.5177,2025-01-03T1400,120,188,1.2,34,11,101,49,158,细颗粒物(PM2.5)
安庆市,马山宾馆,117.0331,30.5119,2025-01-03T1400,120,174,1.0,23,13,102,49,158,细颗粒物(PM2.5)
安庆市,安庆大学,116.9896,30.6145,2025-01-03T1400,150,196,1.1,39,16,100,55,200,细颗粒物(PM2.5)
安庆市,市人大,117.0598,30.5351,2025-01-03T1400,112,164,0.9,38,11,105,50,147,细颗粒物(PM2.5)
安顺市,伍家关,105.9606,26.2611,2025-01-03T1400,45,53,0.9,12,13,91,72,63,细颗粒物(PM2.5)
安顺市,凤凰山,105.9408,26.2431,2025-01-03T1400,42,51,0.7,13,12,82,67,59,细颗粒物(PM2.5)
安顺市,金钟山,105.9439,26.2564,2025-01-03T1400,50,54,0.8,11,19,81,66,69,细颗粒物(PM2.5)
安顺市,娄家坡,105.8983,26.2481,2025-01-03T1400,48,50,0.7,14,10,80,63,67,细颗粒物(PM2.5)
安阳市,棉研所,114.4839,36.0621,2025-01-03T1400,40,83,0.5,23,12,63,27,67,颗粒物(PM10)
安阳市,红庙街,114.3551,36.1017,2025-01-03T1400,43,50,0.6,11,5,62,29,60,细颗粒物(PM2.5)
安阳市,银杏小区,114.361,36.0681,2025-01-03T1400,40,51,0.4,18,4,59,27,57,细颗粒物(PM2.5)
安阳市,信访局,114.3922,36.0878,2025-01-03T1400,44,54,0.4,20,4,60,27,62,细颗粒物(PM2.5)
安阳市,左辅环卫站,114.4705,36.0637,2025-01-03T1400,38,72,0.6,19,9,66,32,61,颗粒物(PM10)
安阳市,安钢职工学校,114.2917,36.0949,2025-01-03T1400,48,78,0.6,20,6,62,32,67,细颗粒物(PM2.5)
鞍山市,深沟寺,123.044,41.1196,2025-01-03T1400,13,45,0.7,16,14,64,40,45,
鞍山市,太阳城,123.011,41.0931,2025-01-03T1400,24,41,0.5,18,12,69,37,41,
鞍山市,太平,123.0485,41.1442,2025-01-03T1400,26,48,1.0,23,21,62,33,48,
鞍山市,铁西三道街,122.9642,41.0971,2025-01-03T1400,22,45,0.6,21,10,64,34,45,
鞍山市,铁西工业园区,122.9341,41.0833,2025-01-03T1400,16,37,0.4,18,10,71,42,37,
鞍山市,明达新区,123.022,41.0821,2025-01-03T1400,22,36,0.5,12,13,67,42,36,
鞍山市,千山,123.1289,41.0228,2025-01-03T1400,,,,,,,41,,
巴彦淖尔市,附二中,107.4212,40.761,2025-01-03T1400,20,34,0.4,18,6,52,33,34,
巴彦淖尔市,市环保大楼,107.37,40.7372,2025-01-03T1400,17,50,0.5,16,6,54,28,50,
巴音郭楞蒙古自治州,孔雀公园,86.1472,41.7538,2025-01-03T1400,62,98,1.1,40,6,58,25,84,细颗粒物(PM2.5)
巴音郭楞蒙古自治州,棉纺厂,86.1972,41.7166,2025-01-03T1400,67,145,1.0,42,7,46,16,98,颗粒物(PM10)
巴音郭楞蒙古自治州,经济开发区,86.2357,41.7173,2025-01-03T1400,70,106,1.0,54,8,43,35,94,细颗粒物(PM2.5)
巴中市,苏山坪,106.7677,31.8794,2025-01-03T1400,94,107,0.8,15,7,56,69,124,细颗粒物(PM2.5)
巴中市,丽阳花园,106.7656,31.8545,2025-01-03T1400,80,112,1.3,52,4,6,4,107,细颗粒物(PM2.5)
巴中市,圣泉水务公司,106.7418,31.8654,2025-01-03T1400,72,85,0.7,40,4,12,10,97,细颗粒物(PM2.5)
巴中市,市中心医院,106.7616,31.8344,2025-01-03T1400,95,113,1.3,52,5,6,4,125,细颗粒物(PM2.5)
白城市,洮北区环保局,122.7911,45.6077,2025-01-03T1400,19,30,0.5,9,4,68,52,30,
白城市,市环保局,122.8738,45.5725,2025-01-03T1400,16,27,0.4,7,6,62,39,27,
白山市,喜丰,126.4219,41.9171,2025-01-03T1400,28,53,0.8,15,20,59,30,52,颗粒物(PM10)
白山市,环保局,126.4077,41.9419,2025-01-03T1400,23,59,0.9,17,15,56,27,55,颗粒物(PM10)
白银市,第三小学,104.1724,36.5446,2025-01-03T1400,62,96,1.3,47,,,34,,
白银市,动力公司,104.1465,36.5482,2025-01-03T1400,46,87,0.9,45,95,93,62,69,颗粒物(PM10)
百色市,市监测站,106.6103,23.9011,2025-01-03T1400,63,77,1.1,18,10,102,40,85,细颗粒物(PM2.5)
百色市,市中心血站,106.6538,23.8859,2025-01-03T1400,69,86,1.0,17,10,98,35,93,细颗粒物(PM2.5)
百色市,祈福高中,106.6085,23.8798,2025-01-03T1400,56,87,1.0,15,6,101,37,77,细颗粒物(PM2.5)
蚌埠市,工人疗养院,117.396,32.939,2025-01-03T1400,65,104,0.6,26,8,81,35,88,细颗粒物(PM2.5)
蚌埠市,百货大楼,117.3605,32.9427,2025-01-03T1400,63,104,0.7,22,9,78,35,85,细颗粒物(PM2.5)
蚌埠市,蚌埠学院,117.4185,32.8911,2025-01-03T1400,59,90,0.6,14,11,94,43,80,细颗粒物(PM2.5)
蚌埠市,淮上区政府,117.3533,32.9673,2025-01-03T1400,73,114,0.7,28,10,75,34,98,细颗粒物(PM2.5)
蚌埠市,高新区,117.3145,32.8977,2025-01-03T1400,60,90,0.7,22,10,91,46,82,细颗粒物(PM2.5)
蚌埠市,蚌埠田家炳中学,117.3092,32.9314,2025-01-03T1400,65,108,0.7,18,8,92,41,88,细颗粒物(PM2.5)
包头市,市环境监测站,109.8756,40.6532,2025-01-03T1400,38,66,1.5,40,38,46,33,58,颗粒物(PM10)
包头市,包头八中,109.9991,40.5842,2025-01-03T1400,27,87,0.9,33,24,49,20,69,颗粒物(PM10)
包头市,青山宾馆,109.8538,40.6821,2025-01-03T1400,50,82,2.8,57,57,35,32,69,细颗粒物(PM2.5)
包头市,惠龙物流,109.8642,40.6288,2025-01-03T1400,38,70,1.3,39,28,43,21,60,颗粒物(PM10)
包头市,东河鸿龙湾,110.0377,40.5546,2025-01-03T1400,19,61,1.1,29,31,47,20,56,颗粒物(PM10)
包头市,滨河大厦,109.9154,40.5685,2025-01-03T1400,24,43,0.5,26,13,57,24,43,
包头市,包头市委党校,109.9447,40.6261,2025-01-03T1400,57,85,1.1,33,22,53,22,78,细颗粒物(PM2.5)
包头市,昆区政府,109.8331,40.6576,2025-01-03T1400,50,80,2.6,57,58,32,42,69,细颗粒物(PM2.5)
宝鸡市,庙沟村,107.185,34.3063,2025-01-03T1400,64,85,0.8,34,12,55,40,87,细颗粒物(PM2.5)
宝鸡市,竹园沟,107.0708,34.3017,2025-01-03T1400,52,89,0.7,27,11,64,35,72,细颗粒物(PM2.5)
宝鸡市,三陆医院,107.1906,34.3672,2025-01-03T1400,85,138,,43,,40,20,113,细颗粒物(PM2.5)
宝鸡市,监测站,107.1431,34.3547,2025-01-03T1400,61,112,0.9,43,12,46,22,83,细颗粒物(PM2.5)
宝鸡市,技工学校,107.1186,34.3739,2025-01-03T1400,70,132,0.8,41,11,45,22,94,细颗粒物(PM2.5)
宝鸡市,陈仓区环保局家属楼,107.3906,34.3528,2025-01-03T1400,54,104,0.7,29,16,58,26,77,颗粒物(PM10)
宝鸡市,文理学院,107.2058,34.3497,2025-01-03T1400,66,106,0.8,35,12,51,25,89,细颗粒物(PM2.5)
