area,positionname,longitude,latitude,timepoint,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant
阿坝藏族羌族自治州,州农科所,102.1879,31.914,2024-11-29T1400,10,15,0.3,4,8,63,42,20,
阿坝藏族羌族自治州,马师校,102.2502,31.8896,2024-11-29T1400,3,8,0.3,9,4,68,36,22,
阿坝藏族羌族自治州,马尔康中学西区,102.2165,31.9024,2024-11-29T1400,,9,0.4,,6,68,44,,
阿克苏地区,电视台,80.292,41.1694,2024-11-29T1400,27,57,0.6,23,5,53,34,54,颗粒物(PM10)
阿克苏地区,艺术中心,80.2613,41.1551,2024-11-29T1400,27,80,0.8,20,4,59,38,65,颗粒物(PM10)
阿拉善盟,西城区西花园,105.6467,38.8363,2024-11-29T1400,17,22,0.6,8,10,93,77,30,
阿拉善盟,蒙二幼,105.6985,38.8411,2024-11-29T1400,6,18,0.5,8,6,88,76,28,
阿拉善盟,环保局新楼,105.724,38.8516,2024-11-29T1400,6,16,0.4,5,8,88,90,28,
阿勒泰地区,市站,88.1264,47.8517,2024-11-29T1400,12,31,0.2,42,16,42,56,31,
阿里地区,阿里监测站,80.1161,32.5,2024-11-29T1400,3,7,0.5,6,13,72,63,23,
阿里地区,阿里藏医院,80.0903,32.5028,2024-11-29T1400,3,11,0.8,8,7,77,61,25,
安康市,香溪洞,109.0318,32.6537,2024-11-29T1400,30,77,0.4,18,11,53,28,64,颗粒物(PM10)
安康市,汉滨区检察院,109.0072,32.6975,2024-11-29T1400,33,53,0.5,23,9,56,27,52,颗粒物(PM10)
安康市,市邮政管理局,109.0325,32.6913,2024-11-29T1400,24,60,0.6,22,9,52,26,55,颗粒物(PM10)
安庆市,环科院,117.0809,30.5177,2024-11-29T1400,13,53,0.3,9,6,84,42,52,颗粒物(PM10)
安庆市,马山宾馆,117.0331,30.5119,2024-11-29T1400,13,50,0.2,14,8,78,34,50,
安庆市,安庆大学,116.9896,30.6145,2024-11-29T1400,12,49,0.4,10,10,89,46,49,
安庆市,市人大,117.0598,30.5351,2024-11-29T1400,12,45,0.2,10,5,84,39,45,
安顺市,伍家关,105.9606,26.2611,2024-11-29T1400,16,,0.6,7,15,100,69,,
安顺市,凤凰山,105.9408,26.2431,2024-11-29T1400,17,29,0.3,9,16,87,54,29,
安顺市,金钟山,105.9439,26.2564,2024-11-29T1400,20,27,0.3,7,17,90,66,29,
安顺市,娄家坡,105.8983,26.2481,2024-11-29T1400,25,30,0.4,8,11,92,60,36,
安阳市,棉研所,114.4839,36.0621,2024-11-29T1400,13,38,0.4,16,10,74,43,38,
安阳市,红庙街,114.3551,36.1017,2024-11-29T1400,3,23,0.4,2,4,73,45,23,
安阳市,银杏小区,114.361,36.0681,2024-11-29T1400,6,22,0.4,6,3,76,51,24,
安阳市,信访局,114.3922,36.0878,2024-11-29T1400,14,23,0.4,4,4,77,51,25,
安阳市,左辅环卫站,114.4705,36.0637,2024-11-29T1400,10,36,0.6,10,5,74,43,36,
安阳市,安钢职工学校,114.2917,36.0949,2024-11-29T1400,6,30,0.3,10,,74,44,,
鞍山市,深沟寺,123.044,41.1196,2024-11-29T1400,14,48,1.4,28,21,44,30,48,
鞍山市,太阳城,123.011,41.0931,2024-11-29T1400,24,46,1.1,31,19,35,26,46,
鞍山市,太平,123.0485,41.1442,2024-11-29T1400,24,53,1.3,31,19,36,22,52,颗粒物(PM10)
鞍山市,铁西三道街,122.9642,41.0971,2024-11-29T1400,27,54,0.5,33,16,31,22,52,颗粒物(PM10)
鞍山市,铁西工业园区,122.9341,41.0833,2024-11-29T1400,28,53,0.8,32,17,36,27,52,颗粒物(PM10)
鞍山市,明达新区,123.022,41.0821,2024-11-29T1400,25,46,1.0,26,19,32,26,46,
鞍山市,千山,123.1289,41.0228,2024-11-29T1400,,,,,,,42,,
巴彦淖尔市,附二中,107.4212,40.761,2024-11-29T1400,13,78,0.4,9,4,73,65,64,颗粒物(PM10)
巴彦淖尔市,市环保大楼,107.37,40.7372,2024-11-29T1400,11,67,0.3,6,3,77,66,59,颗粒物(PM10)
巴音郭楞蒙古自治州,孔雀公园,86.1472,41.7538,2024-11-29T1400,29,85,0.4,11,5,60,55,68,颗粒物(PM10)
巴音郭楞蒙古自治州,棉纺厂,86.1972,41.7166,2024-11-29T1400,9,95,0.4,11,4,63,56,73,颗粒物(PM10)
巴音郭楞蒙古自治州,经济开发区,86.2357,41.7173,2024-11-29T1400,23,75,0.2,12,6,65,63,63,颗粒物(PM10)
巴中市,苏山坪,106.7677,31.8794,2024-11-29T1400,36,62,,16,6,73,59,,
巴中市,丽阳花园,106.7656,31.8545,2024-11-29T1400,38,55,0.5,17,4,66,21,54,细颗粒物(PM2.5)
巴中市,圣泉水务公司,106.7418,31.8654,2024-11-29T1400,37,56,0.3,14,3,71,30,53,"颗粒物(PM10),细颗粒物(PM2.5)"
巴中市,市中心医院,106.7616,31.8344,2024-11-29T1400,26,56,0.3,11,4,77,22,53,颗粒物(PM10)
白城市,洮北区环保局,122.7911,45.6077,2024-11-29T1400,23,,0.4,14,6,67,56,33,
白城市,市环保局,122.8738,45.5725,2024-11-29T1400,16,22,0.4,9,5,,54,,
白山市,喜丰,126.4219,41.9171,2024-11-29T1400,9,28,0.7,8,11,60,46,28,
白山市,环保局,126.4077,41.9419,2024-11-29T1400,13,63,0.7,,,54,35,,
白银市,第三小学,104.1724,36.5446,2024-11-29T1400,65,105,1.7,48,118,56,30,88,细颗粒物(PM2.5)
白银市,动力公司,104.1465,36.5482,2024-11-29T1400,55,96,1.5,39,50,64,35,75,细颗粒物(PM2.5)
百色市,市监测站,106.6103,23.9011,2024-11-29T1400,12,21,0.5,6,7,,30,,
百色市,市中心血站,106.6538,23.8859,2024-11-29T1400,20,36,0.4,6,8,81,40,36,
百色市,祈福高中,106.6085,23.8798,2024-11-29T1400,14,16,0.5,5,5,76,39,24,
蚌埠市,工人疗养院,117.396,32.939,2024-11-29T1400,14,40,0.3,12,5,78,52,40,
蚌埠市,百货大楼,117.3605,32.9427,2024-11-29T1400,14,44,0.3,14,5,,40,,
蚌埠市,蚌埠学院,117.4185,32.8911,2024-11-29T1400,15,39,0.2,11,7,86,50,39,
蚌埠市,淮上区政府,117.3533,32.9673,2024-11-29T1400,15,46,0.2,11,8,77,54,46,
蚌埠市,高新区,117.3145,32.8977,2024-11-29T1400,14,46,0.3,10,7,78,44,46,
蚌埠市,蚌埠田家炳中学,117.3092,32.9314,2024-11-29T1400,14,52,0.3,12,6,80,45,51,颗粒物(PM10)
包头市,市环境监测站,109.8756,40.6532,2024-11-29T1400,31,98,1.4,36,28,67,48,74,颗粒物(PM10)
包头市,包头八中,109.9991,40.5842,2024-11-29T1400,20,106,1.4,31,30,56,38,78,颗粒物(PM10)
包头市,青山宾馆,109.8538,40.6821,2024-11-29T1400,14,77,1.0,21,16,63,50,64,颗粒物(PM10)
包头市,惠龙物流,109.8642,40.6288,2024-11-29T1400,21,75,1.3,28,23,64,34,63,颗粒物(PM10)
包头市,东河鸿龙湾,110.0377,40.5546,2024-11-29T1400,17,92,0.9,10,11,66,46,71,颗粒物(PM10)
包头市,滨河大厦,109.9154,40.5685,2024-11-29T1400,24,83,0.5,15,14,66,52,67,颗粒物(PM10)
包头市,包头市委党校,109.9447,40.6261,2024-11-29T1400,20,90,1.6,32,23,61,46,70,颗粒物(PM10)
包头市,昆区政府,109.8331,40.6576,2024-11-29T1400,26,106,1.2,38,27,59,40,78,颗粒物(PM10)
宝鸡市,庙沟村,107.185,34.3063,2024-11-29T1400,12,26,0.2,6,8,91,60,29,
宝鸡市,竹园沟,107.0708,34.3017,2024-11-29T1400,6,27,0.3,7,6,91,50,29,
宝鸡市,三陆医院,107.1906,34.3672,2024-11-29T1400,13,69,0.5,11,5,83,36,60,颗粒物(PM10)
宝鸡市,监测站,107.1431,34.3547,2024-11-29T1400,11,65,0.5,8,7,84,36,58,颗粒物(PM10)
宝鸡市,技工学校,107.1186,34.3739,2024-11-29T1400,12,45,0.3,4,6,88,48,45,
宝鸡市,陈仓区环保局家属楼,107.3906,34.3528,2024-11-29T1400,17,59,0.5,25,9,60,37,55,颗粒物(PM10)
宝鸡市,文理学院,107.2058,34.3497,2024-11-29T1400,10,41,0.3,11,6,87,33,41,
宝鸡市,三迪小学,107.2386,34.3622,2024-11-29T1400,19,83,0.5,18,6,76,32,67,颗粒物(PM10)
保定市,游泳馆,115.493,38.8632,2024-11-29T1400,3,36,0.3,2,5,76,42,36,
保定市,华电二区,115.5213,38.8959,2024-11-29T1400,9,30,0.1,1,1,77,41,30,
保定市,接待中心,115.4713,38.9108,2024-11-29T1400,8,36,0.1,2,1,67,40,36,
保定市,地表水厂,115.4612,38.8416,2024-11-29T1400,6,57,0.2,,1,,36,,
保定市,满城区生态环境分局,115.31981,38.95208,2024-11-29T1400,14,34,0.3,8,3,72,46,34,
保定市,清苑区第二中学,115.47694,38.76408,2024-11-29T1400,3,26,0.2,8,5,72,46,26,
保定市,徐水物探局,115.62909,39.02311,2024-11-29T1400,3,6,0.1,2,,76,36,,
保定市,双鹰农机,115.4202,38.8656,2024-11-29T1400,3,27,0.2,9,1,78,45,27,
保定市,植保所站,115.5150,38.8590,2024-11-29T1400,8,22,0.1,7,2,75,36,24,
保山市,市环境监测站,99.1678,25.1081,2024-11-29T1400,3,37,0.3,11,7,83,33,37,
保山市,市环保局,99.1711,25.1328,2024-11-29T1400,9,33,0.5,11,6,86,42,33,
北海市,牛尾岭水库,109.2262,21.588,2024-11-29T1400,17,24,0.4,5,6,100,63,32,
北海市,海滩公园,109.1436,21.4086,2024-11-29T1400,17,37,0.5,9,11,124,83,39,
北海市,新市环保局,109.0981,21.4661,2024-11-29T1400,17,37,0.4,9,9,119,80,38,
北海市,北海工业园,109.1778,21.5233,2024-11-29T1400,15,33,,9,10,113,75,,
北海市,龙潭自来水厂,109.1911,21.4415,2024-11-29T1400,17,32,0.4,8,12,117,79,37,
北京市,万寿西宫,116.3621,39.8784,2024-11-29T1400,3,12,0.1,9,2,66,34,21,
北京市,定陵,116.2202,40.2915,2024-11-29T1400,3,12,0.4,4,3,54,42,17,
北京市,东四,116.4174,39.9289,2024-11-29T1400,3,14,0.2,8,1,68,39,22,
北京市,天坛,116.4072,39.8863,2024-11-29T1400,7,19,0.2,6,3,72,38,23,
北京市,农展馆,116.462,39.9365,2024-11-29T1400,3,15,0.2,5,5,74,43,24,
北京市,官园,116.3392,39.9295,2024-11-29T1400,3,12,0.3,5,1,66,38,21,
北京市,海淀万柳,116.2878,39.9611,2024-11-29T1400,3,11,0.2,7,2,68,41,22,
北京市,顺义新城,116.6636,40.135,2024-11-29T1400,3,13,0.1,4,3,66,26,21,
北京市,怀柔镇,116.6275,40.3275,2024-11-29T1400,3,6,0.1,2,3,73,36,23,
北京市,昌平镇,116.2296,40.217,2024-11-29T1400,3,18,0.1,2,5,71,49,23,
北京市,奥体中心,116.3966,39.9821,2024-11-29T1400,3,15,0.3,8,3,65,39,21,
北京市,古城,116.184,39.9136,2024-11-29T1400,3,16,0.4,7,4,63,42,20,
北京市,延庆夏都,115.9718,40.4529,2024-11-29T1400,3,14,0.1,2,3,67,60,21,
