area,positionname,longitude,latitude,timepoint,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant
阿坝藏族羌族自治州,州农科所,102.1879,31.914,2025-03-31T0000,19,81,0.3,11,12,61,74,66,颗粒物(PM10)
阿坝藏族羌族自治州,马师校,102.2502,31.8896,2025-03-31T0000,26,68,0.4,28,5,42,86,59,颗粒物(PM10)
阿坝藏族羌族自治州,马尔康中学西区,102.2165,31.9024,2025-03-31T0000,22,46,0.4,7,5,82,98,46,
阿克苏地区,电视台,80.292,41.1694,2025-03-31T0000,189,719,,44,5,,87,500,颗粒物(PM10)
阿克苏地区,艺术中心,80.2613,41.1551,2025-03-31T0000,194,792,0.6,28,3,49,85,500,颗粒物(PM10)
阿拉善盟,西城区西花园,105.6467,38.8363,2025-03-31T0000,13,28,0.6,10,10,80,112,28,
阿拉善盟,蒙二幼,105.6985,38.8411,2025-03-31T0000,3,10,0.7,7,5,78,101,25,
阿拉善盟,环保局新楼,105.724,38.8516,2025-03-31T0000,3,7,0.7,2,8,90,102,29,
阿勒泰地区,市站,88.1264,47.8517,2025-03-31T0000,3,15,0.5,5,2,70,87,22,
阿里地区,阿里监测站,80.1161,32.5,2025-03-31T0000,3,11,0.5,1,6,101,103,32,
阿里地区,阿里藏医院,80.0903,32.5028,2025-03-31T0000,3,19,0.5,1,6,102,102,32,
安康市,香溪洞,109.0318,32.6537,2025-03-31T0000,30,59,1.3,20,8,51,90,55,颗粒物(PM10)
安康市,汉滨区检察院,109.0072,32.6975,2025-03-31T0000,21,72,0.3,15,7,49,90,61,颗粒物(PM10)
安康市,市邮政管理局,109.0325,32.6913,2025-03-31T0000,31,78,0.4,21,8,42,90,64,颗粒物(PM10)
安庆市,环科院,117.0809,30.5177,2025-03-31T0000,48,89,0.5,22,8,78,109,70,颗粒物(PM10)
安庆市,马山宾馆,117.0331,30.5119,2025-03-31T0000,50,87,0.4,23,6,79,108,69,"颗粒物(PM10),细颗粒物(PM2.5)"
安庆市,安庆大学,116.9896,30.6145,2025-03-31T0000,46,91,0.5,29,4,75,117,71,颗粒物(PM10)
安庆市,市人大,117.0598,30.5351,2025-03-31T0000,50,87,0.7,19,8,79,107,69,"颗粒物(PM10),细颗粒物(PM2.5)"
安顺市,伍家关,105.9606,26.2611,2025-03-31T0000,17,39,0.4,8,6,60,64,39,
安顺市,凤凰山,105.9408,26.2431,2025-03-31T0000,31,,0.4,8,9,61,63,45,
安顺市,金钟山,105.9439,26.2564,2025-03-31T0000,29,,0.5,8,7,62,64,42,
安顺市,娄家坡,105.8983,26.2481,2025-03-31T0000,26,27,0.5,9,9,64,64,38,
安阳市,棉研所,114.4839,36.0621,2025-03-31T0000,,,,,,,,,
安阳市,红庙街,114.3551,36.1017,2025-03-31T0000,29,67,0.2,19,6,68,91,59,颗粒物(PM10)
安阳市,银杏小区,114.361,36.0681,2025-03-31T0000,35,62,0.4,23,5,70,98,56,颗粒物(PM10)
安阳市,信访局,114.3922,36.0878,2025-03-31T0000,35,71,0.5,20,6,73,79,61,颗粒物(PM10)
安阳市,左辅环卫站,114.4705,36.0637,2025-03-31T0000,39,77,0.5,13,3,70,101,64,颗粒物(PM10)
安阳市,安钢职工学校,114.2917,36.0949,2025-03-31T0000,35,76,0.8,19,5,72,94,63,颗粒物(PM10)
鞍山市,深沟寺,123.044,41.1196,2025-03-31T0000,9,19,0.6,3,10,90,94,29,
鞍山市,太阳城,123.011,41.0931,2025-03-31T0000,9,21,0.4,4,7,91,95,29,
鞍山市,太平,123.0485,41.1442,2025-03-31T0000,10,22,0.9,6,10,88,88,28,
鞍山市,铁西三道街,122.9642,41.0971,2025-03-31T0000,11,34,1.0,25,11,74,94,34,
鞍山市,明达新区,123.022,41.0821,2025-03-31T0000,,,,,,,67,,
鞍山市,千山,123.1289,41.0228,2025-03-31T0000,,,,,,,95,,
鞍山市,兴盛南路290号,122.9446,41.0826,2025-03-31T0000,14,33,0.6,20,15,78,95,33,
巴彦淖尔市,附二中,107.4212,40.761,2025-03-31T0000,22,53,0.5,26,6,51,95,52,颗粒物(PM10)
巴彦淖尔市,市环保大楼,107.37,40.7372,2025-03-31T0000,38,80,0.4,35,4,35,97,65,颗粒物(PM10)
