area,positionname,longitude,latitude,timepoint,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant
阿坝藏族羌族自治州,州农科所,102.1879,31.914,2024-12-06T2100,16,34,0.4,17,8,63,81,34,
阿坝藏族羌族自治州,马师校,102.2502,31.8896,2024-12-06T2100,35,,0.5,44,4,20,56,50,
阿坝藏族羌族自治州,马尔康中学西区,102.2165,31.9024,2024-12-06T2100,22,41,0.5,34,6,29,64,41,
阿克苏地区,电视台,80.292,41.1694,2024-12-06T2100,52,108,0.9,61,2,49,66,79,颗粒物(PM10)
阿克苏地区,艺术中心,80.2613,41.1551,2024-12-06T2100,46,82,0.8,59,3,37,55,66,颗粒物(PM10)
阿拉善盟,西城区西花园,105.6467,38.8363,2024-12-06T2100,20,36,0.5,14,9,76,88,36,
阿拉善盟,蒙二幼,105.6985,38.8411,2024-12-06T2100,8,19,0.5,13,6,73,83,23,
阿拉善盟,环保局新楼,105.724,38.8516,2024-12-06T2100,6,10,0.6,12,8,74,86,24,
阿勒泰地区,市站,88.1264,47.8517,2024-12-06T2100,14,,0.3,30,7,29,51,20,
阿里地区,阿里监测站,80.1161,32.5,2024-12-06T2100,7,25,0.4,2,5,99,101,31,
阿里地区,阿里藏医院,80.0903,32.5028,2024-12-06T2100,3,27,0.5,1,5,97,97,31,
安康市,香溪洞,109.0318,32.6537,2024-12-06T2100,34,75,0.5,26,12,28,44,63,颗粒物(PM10)
安康市,汉滨区检察院,109.0072,32.6975,2024-12-06T2100,35,56,0.6,45,6,9,39,53,颗粒物(PM10)
安康市,市邮政管理局,109.0325,32.6913,2024-12-06T2100,43,64,0.7,33,7,12,37,60,细颗粒物(PM2.5)
安庆市,环科院,117.0809,30.5177,2024-12-06T2100,68,96,0.6,32,6,68,100,92,细颗粒物(PM2.5)
安庆市,马山宾馆,117.0331,30.5119,2024-12-06T2100,69,96,0.6,42,8,54,97,93,细颗粒物(PM2.5)
安庆市,安庆大学,116.9896,30.6145,2024-12-06T2100,40,62,0.7,46,10,58,107,57,细颗粒物(PM2.5)
安庆市,市人大,117.0598,30.5351,2024-12-06T2100,67,97,0.8,42,5,54,98,90,细颗粒物(PM2.5)
安顺市,伍家关,105.9606,26.2611,2024-12-06T2100,12,33,0.5,,11,51,57,,
安顺市,凤凰山,105.9408,26.2431,2024-12-06T2100,11,15,0.5,15,16,40,52,16,
安顺市,金钟山,105.9439,26.2564,2024-12-06T2100,12,,0.5,10,17,43,53,18,
安顺市,娄家坡,105.8983,26.2481,2024-12-06T2100,16,20,0.6,17,21,38,51,23,
安阳市,棉研所,114.4839,36.0621,2024-12-06T2100,94,110,0.8,52,10,27,61,124,细颗粒物(PM2.5)
安阳市,红庙街,114.3551,36.1017,2024-12-06T2100,77,83,0.9,47,6,29,57,103,细颗粒物(PM2.5)
安阳市,银杏小区,114.361,36.0681,2024-12-06T2100,76,86,0.9,41,4,32,57,102,细颗粒物(PM2.5)
安阳市,信访局,114.3922,36.0878,2024-12-06T2100,70,88,0.8,43,5,32,51,94,细颗粒物(PM2.5)
安阳市,左辅环卫站,114.4705,36.0637,2024-12-06T2100,85,121,0.8,39,6,37,60,113,细颗粒物(PM2.5)
安阳市,安钢职工学校,114.2917,36.0949,2024-12-06T2100,70,89,0.8,66,6,21,64,94,细颗粒物(PM2.5)
鞍山市,深沟寺,123.044,41.1196,2024-12-06T2100,16,32,0.6,24,10,40,56,32,
鞍山市,太阳城,123.011,41.0931,2024-12-06T2100,17,29,0.5,16,8,50,57,29,
鞍山市,太平,123.0485,41.1442,2024-12-06T2100,24,48,0.9,31,14,36,54,48,
鞍山市,铁西三道街,122.9642,41.0971,2024-12-06T2100,26,40,0.9,23,14,43,57,40,
鞍山市,铁西工业园区,122.9341,41.0833,2024-12-06T2100,,142,1.3,66,18,13,57,,
鞍山市,明达新区,123.022,41.0821,2024-12-06T2100,15,29,0.8,15,8,43,52,29,
鞍山市,千山,123.1289,41.0228,2024-12-06T2100,,,,,,,41,,
巴彦淖尔市,附二中,107.4212,40.761,2024-12-06T2100,26,49,0.4,30,5,41,60,49,
巴彦淖尔市,市环保大楼,107.37,40.7372,2024-12-06T2100,14,38,0.3,22,4,48,63,38,
巴音郭楞蒙古自治州,孔雀公园,86.1472,41.7538,2024-12-06T2100,40,95,0.8,78,4,15,71,73,颗粒物(PM10)
巴音郭楞蒙古自治州,棉纺厂,86.1972,41.7166,2024-12-06T2100,27,109,0.9,,2,40,74,,
巴音郭楞蒙古自治州,经济开发区,86.2357,41.7173,2024-12-06T2100,26,105,0.6,72,3,10,72,78,颗粒物(PM10)
巴中市,苏山坪,106.7677,31.8794,2024-12-06T2100,28,31,0.4,14,3,26,49,40,
巴中市,丽阳花园,106.7656,31.8545,2024-12-06T2100,31,40,0.8,41,4,3,17,45,
巴中市,圣泉水务公司,106.7418,31.8654,2024-12-06T2100,28,32,0.4,32,4,3,27,40,
巴中市,市中心医院,106.7616,31.8344,2024-12-06T2100,36,44,0.7,33,3,2,18,52,细颗粒物(PM2.5)
白城市,洮北区环保局,122.7911,45.6077,2024-12-06T2100,47,,0.6,21,6,53,69,65,细颗粒物(PM2.5)
白城市,市环保局,122.8738,45.5725,2024-12-06T2100,36,46,0.7,43,5,27,71,52,细颗粒物(PM2.5)
白山市,喜丰,126.4219,41.9171,2024-12-06T2100,13,21,0.5,11,11,58,57,21,
白山市,环保局,126.4077,41.9419,2024-12-06T2100,12,44,0.4,4,7,57,59,44,
白银市,第三小学,104.1724,36.5446,2024-12-06T2100,13,22,0.4,16,11,79,82,25,
白银市,动力公司,104.1465,36.5482,2024-12-06T2100,17,28,0.4,19,8,69,82,28,
百色市,市监测站,106.6103,23.9011,2024-12-06T2100,14,17,0.8,21,11,24,31,20,
百色市,市中心血站,106.6538,23.8859,2024-12-06T2100,14,19,0.8,21,10,22,28,20,
百色市,祈福高中,106.6085,23.8798,2024-12-06T2100,11,19,0.7,15,6,28,28,19,
蚌埠市,工人疗养院,117.396,32.939,2024-12-06T2100,163,207,0.9,66,4,24,64,213,细颗粒物(PM2.5)
蚌埠市,百货大楼,117.3605,32.9427,2024-12-06T2100,161,216,1.2,98,5,3,69,211,细颗粒物(PM2.5)
蚌埠市,蚌埠学院,117.4185,32.8911,2024-12-06T2100,126,175,0.9,84,7,11,75,166,细颗粒物(PM2.5)
