stationcode,timepoint,longitude,latitude,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant,positionname,area
2566A,2024-11-06T1200,102.1879,31.914,9,—,0,6,8,49,29,—,—,州农科所,阿坝藏族羌族自治州
2568A,2024-11-06T1200,102.2502,31.8896,11,12,0.3,—,—,45,20,—,—,马师校,阿坝藏族羌族自治州
3994A,2024-11-06T1200,102.2165,31.9024,10,14,0.5,11,6,43,23,15,—,马尔康中学西区,阿坝藏族羌族自治州
2695A,2024-11-06T1200,80.292,41.1694,44,141,0.9,50,12,43,58,96,颗粒物(PM10),电视台,阿克苏地区
2696A,2024-11-06T1200,80.2613,41.1551,30,122,1.2,54,3,40,68,86,颗粒物(PM10),艺术中心,阿克苏地区
2204A,2024-11-06T1200,105.6467,38.8363,—,—,0.5,—,13,110,82,—,—,西城区西花园,阿拉善盟
2205A,2024-11-06T1200,105.6985,38.8411,23,47,0.6,13,11,105,75,47,—,蒙二幼,阿拉善盟
2206A,2024-11-06T1200,105.724,38.8516,20,47,0.5,13,10,98,88,47,—,环保局新楼,阿拉善盟
2708A,2024-11-06T1200,88.1264,47.8517,6,18,0.4,12,7,65,64,21,—,市站,阿勒泰地区
2630A,2024-11-06T1200,80.1161,32.5,7,18,0.5,9,6,53,52,18,—,阿里监测站,阿里地区
3192A,2024-11-06T1200,80.0903,32.5028,12,29,0.6,17,9,65,52,29,—,阿里藏医院,阿里地区
2642A,2024-11-06T1200,109.0318,32.6537,21,40,0.3,12,9,64,31,40,—,香溪洞,安康市
2644A,2024-11-06T1200,109.0072,32.6975,33,39,0.5,15,7,51,19,48,—,汉滨区检察院,安康市
4054A,2024-11-06T1200,109.0325,32.6913,32,58,0.6,14,7,60,17,54,颗粒物(PM10),市邮政管理局,安康市
2291A,2024-11-06T1200,117.0809,30.5177,29,44,0.5,24,11,96,54,44,—,环科院,安庆市
2292A,2024-11-06T1200,117.0331,30.5119,28,55,0.4,22,9,103,62,53,颗粒物(PM10),马山宾馆,安庆市
2294A,2024-11-06T1200,116.9896,30.6145,25,48,0.5,17,12,100,54,48,—,安庆大学,安庆市
3173A,2024-11-06T1200,117.0598,30.5351,27,55,0.5,28,14,97,56,53,颗粒物(PM10),市人大,安庆市
3122A,2024-11-06T1200,105.9606,26.2611,43,49,0.8,11,19,82,58,60,细颗粒物(PM2.5),伍家关,安顺市
3123A,2024-11-06T1200,105.9408,26.2431,46,59,0.7,14,24,83,58,64,细颗粒物(PM2.5),凤凰山,安顺市
3124A,2024-11-06T1200,105.9439,26.2564,50,59,0.8,11,22,89,62,69,细颗粒物(PM2.5),金钟山,安顺市
3125A,2024-11-06T1200,105.8983,26.2481,51,60,0.7,16,18,76,58,70,细颗粒物(PM2.5),娄家坡,安顺市
1818A,2024-11-06T1200,114.4839,36.0621,53,99,0.5,33,11,83,25,75,颗粒物(PM10),棉研所,安阳市
1819A,2024-11-06T1200,114.3551,36.1017,53,92,0.4,31,9,66,18,73,细颗粒物(PM2.5),红庙街,安阳市
1820A,2024-11-06T1200,114.361,36.0681,48,84,0.6,26,7,74,19,67,"颗粒物(PM10),细颗粒物(PM2.5)",银杏小区,安阳市
3141A,2024-11-06T1200,114.3922,36.0878,59,96,0.4,26,9,70,16,80,细颗粒物(PM2.5),信访局,安阳市
3669A,2024-11-06T1200,114.4705,36.0637,61,109,0.5,22,6,77,27,83,细颗粒物(PM2.5),左辅环卫站,安阳市
3703A,2024-11-06T1200,114.2917,36.0949,67,93,0.4,33,10,68,18,90,细颗粒物(PM2.5),安钢职工学校,安阳市
1748A,2024-11-06T1200,123.044,41.1196,9,27,0.4,16,6,54,21,27,—,深沟寺,鞍山市
1749A,2024-11-06T1200,123.011,41.0931,11,21,0.2,16,6,56,24,21,—,太阳城,鞍山市
1750A,2024-11-06T1200,123.0485,41.1442,12,25,0.4,23,14,46,15,25,—,太平,鞍山市
1751A,2024-11-06T1200,122.9642,41.0971,16,37,1.2,34,25,39,16,37,—,铁西三道街,鞍山市
1752A,2024-11-06T1200,122.9341,41.0833,28,56,1.7,50,41,30,15,53,颗粒物(PM10),铁西工业园区,鞍山市
1753A,2024-11-06T1200,123.022,41.0821,12,20,0.4,14,9,53,23,20,—,明达新区,鞍山市
2195A,2024-11-06T1200,107.4212,40.761,33,68,0.5,28,13,44,16,59,颗粒物(PM10),附二中,巴彦淖尔市
2196A,2024-11-06T1200,107.37,40.7372,26,75,0.6,36,10,39,21,63,颗粒物(PM10),市环保大楼,巴彦淖尔市
1956A,2024-11-06T1200,86.1472,41.7538,45,129,0.7,62,5,29,7,90,颗粒物(PM10),孔雀公园,巴音郭楞蒙古自治州
1957A,2024-11-06T1200,86.1972,41.7166,38,148,0.3,38,3,55,21,99,颗粒物(PM10),棉纺厂,巴音郭楞蒙古自治州
1958A,2024-11-06T1200,86.2357,41.7173,50,154,0.4,33,4,59,48,102,颗粒物(PM10),经济开发区,巴音郭楞蒙古自治州
2914A,2024-11-06T1200,106.7677,31.8794,22,29,0.4,11,4,38,56,32,—,苏山坪,巴中市
3182A,2024-11-06T1200,106.7656,31.8545,26,35,0.7,26,4,25,13,38,—,丽阳花园,巴中市
3183A,2024-11-06T1200,106.7418,31.8654,16,22,0.5,19,3,21,21,23,—,圣泉水务公司,巴中市
3616A,2024-11-06T1200,106.7616,31.8344,28,44,0.8,33,4,19,6,44,—,市中心医院,巴中市
2235A,2024-11-06T1200,122.7911,45.6077,22,27,0.2,8,5,68,29,32,—,洮北区环保局,白城市
2236A,2024-11-06T1200,122.8738,45.5725,19,24,0.4,14,6,61,34,28,—,市环保局,白城市
2231A,2024-11-06T1200,126.4219,41.9171,3,17,—,6,—,57,34,—,—,喜丰,白山市
2232A,2024-11-06T1200,126.4077,41.9419,12,15,0.5,8,5,54,37,18,—,环保局,白山市
2647A,2024-11-06T1200,104.1724,36.5446,69,78,1.1,42,46,39,24,93,细颗粒物(PM2.5),第三小学,白银市
2648A,2024-11-06T1200,104.1465,36.5482,71,76,1.4,37,38,44,34,95,细颗粒物(PM2.5),动力公司,白银市
2512A,2024-11-06T1200,106.6103,23.9011,—,—,0.7,9,9,—,20,—,—,市监测站,百色市
2513A,2024-11-06T1200,106.6538,23.8859,34,65,0.8,11,7,96,33,58,颗粒物(PM10),市中心血站,百色市
3406A,2024-11-06T1200,106.6085,23.8798,32,43,0.7,9,5,89,32,46,—,祈福高中,百色市
2270A,2024-11-06T1200,117.396,32.939,31,56,0.4,19,9,76,34,53,颗粒物(PM10),工人疗养院,蚌埠市
