area,positionname,longitude,latitude,timepoint,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant
阿坝藏族羌族自治州,马师校,102.2503,31.8896,2026-02-20T1900,9,16,0.5,2,4,77,77,25,
阿坝藏族羌族自治州,马尔康中学西区,102.2174,31.9016,2026-02-20T1900,8,30,0.4,5,5,81,79,30,
阿克苏地区,电视台,80.2899,41.1684,2026-02-20T1900,87,247,0.7,6,11,106,86,149,颗粒物(PM10)
阿克苏地区,艺术中心,80.2592,41.1541,2026-02-20T1900,97,242,0.6,12,4,107,93,146,颗粒物(PM10)
阿拉善盟,蒙二幼,105.699,38.8409,2026-02-20T1900,109,411,0.4,7,9,76,84,288,颗粒物(PM10)
阿拉善盟,环保局新楼,105.7198,38.8508,2026-02-20T1900,104,342,0.4,5,9,73,81,196,颗粒物(PM10)
阿勒泰地区,市站,88.1266,47.8515,2026-02-20T1900,12,13,0.2,20,2,82,84,26,
阿勒泰地区,阿勒泰路33号,88.1198,47.7931,2026-02-20T1900,6,22,0.2,5,5,88,91,28,
阿里地区,阿里监测站,80.1171,32.4999,2026-02-20T1900,12,,0.3,1,4,112,98,35,
阿里地区,阿里藏医院,80.0906,32.5029,2026-02-20T1900,3,6,0.2,1,5,117,108,37,
安康市,汉滨区检察院,109.0088,32.6974,2026-02-20T1900,32,55,0.5,16,4,77,86,53,颗粒物(PM10)
安康市,市邮政管理局,109.0324,32.6913,2026-02-20T1900,40,57,0.9,24,5,57,82,57,细颗粒物(PM2.5)
安庆市,环科院,117.0806,30.5181,2026-02-20T1900,33,57,0.7,12,6,59,66,54,颗粒物(PM10)
安庆市,马山宾馆,117.0331,30.5118,2026-02-20T1900,34,57,0.8,22,5,48,62,54,颗粒物(PM10)
安庆市,安庆大学,116.9897,30.6146,2026-02-20T1900,31,58,0.6,6,4,66,67,54,颗粒物(PM10)
安庆市,市人大,117.0598,30.5351,2026-02-20T1900,32,63,0.6,12,6,61,67,57,颗粒物(PM10)
安顺市,凤凰山,105.9408,26.2431,2026-02-20T1900,30,30,0.5,10,17,80,82,43,
安顺市,金钟山,105.9443,26.2567,2026-02-20T1900,30,31,0.6,8,14,76,78,43,
安顺市,娄家坡,105.8983,26.248,2026-02-20T1900,22,31,0.6,8,12,76,78,32,
安阳市,红庙街,114.3552,36.1017,2026-02-20T1900,34,104,0.4,8,3,87,97,77,颗粒物(PM10)
安阳市,银杏小区,114.361,36.0681,2026-02-20T1900,36,100,0.3,11,4,87,100,75,颗粒物(PM10)
安阳市,信访局,114.3921,36.0879,2026-02-20T1900,38,89,0.4,6,6,100,107,70,颗粒物(PM10)
安阳市,左辅环卫站,114.4706,36.0634,2026-02-20T1900,29,102,0.3,9,5,81,98,76,颗粒物(PM10)
安阳市,钢三路198号,114.2918,36.0769,2026-02-20T1900,28,90,0.3,14,5,80,91,70,颗粒物(PM10)
鞍山市,深沟寺,123.0441,41.1201,2026-02-20T1900,63,100,0.8,12,7,111,109,85,细颗粒物(PM2.5)
鞍山市,太阳城,123.011,41.0931,2026-02-20T1900,45,73,0.7,12,13,107,105,63,细颗粒物(PM2.5)
鞍山市,太平,123.0483,41.1445,2026-02-20T1900,66,108,0.6,12,9,106,104,89,细颗粒物(PM2.5)
鞍山市,铁西三道街,122.964,41.0968,2026-02-20T1900,56,91,0.7,46,58,78,98,77,细颗粒物(PM2.5)
鞍山市,明达新区,123.0219,41.0822,2026-02-20T1900,47,75,0.6,11,12,110,106,65,细颗粒物(PM2.5)
鞍山市,兴盛南路290号,122.944647,41.082639,2026-02-20T1900,60,144,0.8,13,9,108,104,97,颗粒物(PM10)
巴彦淖尔市,附二中,107.4206,40.7609,2026-02-20T1900,96,301,0.4,6,6,79,80,176,颗粒物(PM10)
巴彦淖尔市,市环保大楼,107.37,40.7372,2026-02-20T1900,99,293,0.3,4,4,81,81,172,颗粒物(PM10)
巴音郭楞蒙古自治州,孔雀公园,86.1476,41.7529,2026-02-20T1900,83,334,0.5,11,10,86,78,192,颗粒物(PM10)
巴音郭楞蒙古自治州,棉纺厂,86.1971,41.7166,2026-02-20T1900,85,388,/,8,/,91,82,255,颗粒物(PM10)
巴音郭楞蒙古自治州,经济开发区,86.236,41.7172,2026-02-20T1900,50,319,0.5,6,7,84,75,185,颗粒物(PM10)
巴中市,市五中,106.776805,31.852614,2026-02-20T1900,37,52,1.0,30,8,72,88,53,细颗粒物(PM2.5)
巴中市,圣泉水务公司,106.7419,31.8654,2026-02-20T1900,42,56,1.0,37,8,63,89,59,细颗粒物(PM2.5)
巴中市,市中心医院,106.7617,31.8343,2026-02-20T1900,42,52,1.1,33,7,59,85,59,细颗粒物(PM2.5)
白城市,洮北区环保局,122.7909,45.608,2026-02-20T1900,150,191,1.0,36,10,57,77,200,细颗粒物(PM2.5)
白城市,市环保局,122.8741,45.5725,2026-02-20T1900,72,117,0.7,17,6,60,84,97,细颗粒物(PM2.5)
白山市,喜丰,126.4219,41.9172,2026-02-20T1900,32,51,0.9,5,11,109,108,51,颗粒物(PM10)
白山市,环保局,126.4082,41.9416,2026-02-20T1900,57,69,1.4,16,13,86,107,78,细颗粒物(PM2.5)
白银市,第三小学,104.1727,36.5448,2026-02-20T1900,18,31,0.1,6,5,95,91,31,
白银市,动力公司,104.1467,36.5482,2026-02-20T1900,16,34,0.2,7,4,88,86,34,
百色市,市监测站,106.6102,23.901,2026-02-20T1900,24,33,0.7,10,15,62,60,35,
百色市,市中心血站,106.6524,23.8842,2026-02-20T1900,16,33,0.8,9,14,62,59,33,
百色市,龙景西路,106.6273,23.8798,2026-02-20T1900,22,35,0.4,8,16,69,61,35,
蚌埠市,工人疗养院,117.396,32.9389,2026-02-20T1900,48,67,0.7,14,5,83,101,67,细颗粒物(PM2.5)
蚌埠市,百货大楼,117.3606,32.9428,2026-02-20T1900,45,70,0.6,12,8,82,100,63,细颗粒物(PM2.5)
蚌埠市,蚌埠学院,117.4183,32.8909,2026-02-20T1900,44,61,0.6,9,6,79,105,62,细颗粒物(PM2.5)
蚌埠市,淮上区政府,117.3534,32.9672,2026-02-20T1900,44,61,0.6,13,6,86,105,62,细颗粒物(PM2.5)
蚌埠市,高新区,117.3143,32.8977,2026-02-20T1900,50,66,0.6,8,8,75,84,69,细颗粒物(PM2.5)
蚌埠市,蚌埠田家炳中学,117.3091,32.9314,2026-02-20T1900,49,61,0.6,11,8,81,100,68,细颗粒物(PM2.5)
包头市,市环境监测站,109.8761,40.6533,2026-02-20T1900,107,514,1.5,23,14,62,84,414,颗粒物(PM10)
包头市,包头八中,109.9992,40.5843,2026-02-20T1900,134,462,0.4,13,5,70,78,353,颗粒物(PM10)
包头市,惠龙物流,109.8641,40.6288,2026-02-20T1900,99,445,0.7,14,9,68,88,332,颗粒物(PM10)
包头市,东河鸿龙湾,110.0376,40.5546,2026-02-20T1900,90,464,0.4,7,6,73,80,355,颗粒物(PM10)
包头市,滨河大厦,109.9154,40.5684,2026-02-20T1900,98,455,0.4,11,6,70,79,344,颗粒物(PM10)
包头市,包头市委党校,109.9449,40.6259,2026-02-20T1900,97,430,0.6,13,11,68,82,313,颗粒物(PM10)
包头市,昆区政府,109.8332,40.6577,2026-02-20T1900,96,438,3.1,27,17,64,79,323,颗粒物(PM10)
宝鸡市,竹园沟,107.0802,34.3129,2026-02-20T1900,26,45,0.4,16,6,69,89,45,
宝鸡市,监测站,107.1429,34.3549,2026-02-20T1900,22,46,0.6,29,5,67,80,46,
宝鸡市,技工学校,107.1172,34.3759,2026-02-20T1900,25,36,0.5,26,5,86,90,36,
宝鸡市,文理学院,107.2025,34.3518,2026-02-20T1900,24,63,0.5,23,6,89,93,57,颗粒物(PM10)
宝鸡市,三迪小学,107.2396,34.3626,2026-02-20T1900,28,39,0.5,23,6,91,95,40,
宝鸡市,滨河北路,107.1721,34.3558,2026-02-20T1900,24,43,0.5,24,6,80,88,43,
宝鸡市,陈仓区北开路21号,107.3898,34.3601,2026-02-20T1900,45,,0.4,,,89,92,,
保定市,游泳馆,115.4803,38.8568,2026-02-20T1900,42,125,0.3,14,12,104,104,88,颗粒物(PM10)
保定市,华电二区,115.509,38.8895,2026-02-20T1900,32,103,0.7,18,7,93,104,77,颗粒物(PM10)
保定市,接待中心,115.4588,38.9037,2026-02-20T1900,48,103,0.4,14,7,88,100,77,颗粒物(PM10)
保定市,地表水厂,115.4484,38.8344,2026-02-20T1900,33,118,0.5,14,7,106,106,84,颗粒物(PM10)
保定市,满城区生态环境分局,115.3136,38.9511,2026-02-20T1900,53,163,1.0,26,9,79,111,107,颗粒物(PM10)
保定市,清苑区第二中学,115.4709,38.7628,2026-02-20T1900,46,158,0.5,11,12,101,103,104,颗粒物(PM10)
保定市,徐水物探局,115.6231,39.0223,2026-02-20T1900,43,145,0.6,18,15,87,109,98,颗粒物(PM10)
保定市,双鹰农机,115.4199,38.8665,2026-02-20T1900,43,135,0.5,12,7,102,111,93,颗粒物(PM10)
保定市,植保所站,115.515,38.8589,2026-02-20T1900,52,131,0.8,23,2,94,103,91,颗粒物(PM10)
保山市,市环境监测站,99.1589,25.1137,2026-02-20T1900,17,29,0.2,5,4,93,97,30,
保山市,市环保局,99.1616,25.1381,2026-02-20T1900,15,29,0.5,2,3,93,97,30,
北海市,海滩公园,109.1435,21.4085,2026-02-20T1900,25,72,1.5,18,3,93,90,61,颗粒物(PM10)
北海市,新市环保局,109.0983,21.466,2026-02-20T1900,22,40,0.6,9,4,98,90,40,
北海市,北海工业园,109.1775,21.5232,2026-02-20T1900,29,44,0.7,6,6,90,84,44,
北海市,龙潭自来水厂,109.1844,21.4396,2026-02-20T1900,25,50,0.9,11,3,88,86,50,
北京市,万寿西宫,116.3611,39.8786,2026-02-20T1900,60,95,1.0,41,5,101,114,82,细颗粒物(PM2.5)
北京市,东四,116.4174,39.9289,2026-02-20T1900,59,91,1.0,32,8,102,103,80,细颗粒物(PM2.5)
北京市,天坛,116.4073,39.8858,2026-02-20T1900,57,99,0.7,19,3,70,98,78,细颗粒物(PM2.5)
北京市,农展馆,116.4622,39.9364,2026-02-20T1900,53,89,0.7,16,7,109,112,73,细颗粒物(PM2.5)
北京市,官园,116.3399,39.9293,2026-02-20T1900,66,100,0.8,27,6,99,100,89,细颗粒物(PM2.5)
北京市,海淀万柳,116.2879,39.9613,2026-02-20T1900,60,93,0.7,38,5,82,93,82,细颗粒物(PM2.5)
北京市,顺义新城,116.6635,40.1349,2026-02-20T1900,70,109,0.7,12,9,128,122,94,细颗粒物(PM2.5)
北京市,怀柔镇,116.6275,40.327,2026-02-20T1900,68,110,0.9,39,8,84,101,92,细颗粒物(PM2.5)
北京市,昌平镇,116.2295,40.217,2026-02-20T1900,53,96,0.7,23,6,91,98,73,"颗粒物(PM10),细颗粒物(PM2.5)"
北京市,奥体中心,116.3968,39.982,2026-02-20T1900,54,93,0.7,48,7,76,92,74,细颗粒物(PM2.5)
