area,positionname,longitude,latitude,timepoint,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant
阿坝藏族羌族自治州,马师校,102.2503,31.8896,2026-01-29T1700,13,15,0.5,8,4,84,62,27,
阿坝藏族羌族自治州,马尔康中学西区,102.2174,31.9016,2026-01-29T1700,11,,0.6,6,7,85,65,,
阿克苏地区,电视台,80.2899,41.1684,2026-01-29T1700,50,200,0.4,5,9,87,47,125,颗粒物(PM10)
阿克苏地区,艺术中心,80.2592,41.1541,2026-01-29T1700,,,0.6,,6,90,50,,
阿拉善盟,蒙二幼,105.699,38.8409,2026-01-29T1700,39,132,0.6,12,11,56,83,91,颗粒物(PM10)
阿拉善盟,环保局新楼,105.7198,38.8508,2026-01-29T1700,37,112,0.5,12,9,50,79,81,颗粒物(PM10)
阿勒泰地区,市站,88.1266,47.8515,2026-01-29T1700,34,,0.5,53,12,44,38,,
阿勒泰地区,阿勒泰路33号,88.1198,47.7931,2026-01-29T1700,24,40,0.5,19,7,77,56,40,
阿里地区,阿里监测站,80.1171,32.4999,2026-01-29T1700,3,,0.5,2,6,84,81,27,
阿里地区,阿里藏医院,80.0906,32.5029,2026-01-29T1700,6,8,0.6,2,7,84,86,27,
安康市,汉滨区检察院,109.0088,32.6974,2026-01-29T1700,3,6,1.1,8,6,70,67,22,
安康市,市邮政管理局,109.0324,32.6913,2026-01-29T1700,6,13,0.9,15,4,64,61,20,
安庆市,环科院,117.0806,30.5181,2026-01-29T1700,51,89,0.6,17,7,56,42,70,"颗粒物(PM10),细颗粒物(PM2.5)"
安庆市,马山宾馆,117.0331,30.5118,2026-01-29T1700,58,98,0.7,24,6,53,43,79,细颗粒物(PM2.5)
安庆市,安庆大学,116.9897,30.6146,2026-01-29T1700,48,90,0.7,29,4,56,48,70,颗粒物(PM10)
安庆市,市人大,117.0598,30.5351,2026-01-29T1700,55,84,0.6,24,6,51,43,75,细颗粒物(PM2.5)
安顺市,凤凰山,105.9408,26.2431,2026-01-29T1700,40,,0.4,6,8,91,72,57,细颗粒物(PM2.5)
安顺市,金钟山,105.9443,26.2567,2026-01-29T1700,23,31,0.5,8,11,86,69,33,
安顺市,娄家坡,105.8983,26.248,2026-01-29T1700,,,0.5,8,7,87,72,,
安阳市,红庙街,114.3552,36.1017,2026-01-29T1700,79,97,0.7,32,3,22,22,105,细颗粒物(PM2.5)
安阳市,银杏小区,114.361,36.0681,2026-01-29T1700,85,114,0.6,29,2,24,25,113,细颗粒物(PM2.5)
安阳市,信访局,114.3921,36.0879,2026-01-29T1700,82,115,0.6,23,3,26,25,109,细颗粒物(PM2.5)
安阳市,左辅环卫站,114.4706,36.0634,2026-01-29T1700,66,108,0.5,26,2,29,27,89,细颗粒物(PM2.5)
安阳市,钢三路198号,114.2918,36.0769,2026-01-29T1700,94,137,0.7,30,3,27,25,124,细颗粒物(PM2.5)
鞍山市,深沟寺,123.0441,41.1201,2026-01-29T1700,11,37,0.5,12,7,70,68,37,
鞍山市,太阳城,123.011,41.0931,2026-01-29T1700,14,37,0.5,11,10,69,64,37,
鞍山市,太平,123.0483,41.1445,2026-01-29T1700,14,39,0.3,14,9,66,61,39,
鞍山市,铁西三道街,122.964,41.0968,2026-01-29T1700,18,40,1.2,25,24,62,67,40,
鞍山市,明达新区,123.0219,41.0822,2026-01-29T1700,15,34,0.6,17,10,69,68,34,
鞍山市,兴盛南路290号,122.944647,41.082639,2026-01-29T1700,19,51,1.0,23,15,65,62,51,颗粒物(PM10)
巴彦淖尔市,附二中,107.4206,40.7609,2026-01-29T1700,41,93,0.6,24,13,51,47,72,颗粒物(PM10)
巴彦淖尔市,市环保大楼,107.37,40.7372,2026-01-29T1700,35,82,0.8,28,13,50,49,66,颗粒物(PM10)
巴音郭楞蒙古自治州,孔雀公园,86.1476,41.7529,2026-01-29T1700,31,79,0.5,9,8,66,53,65,颗粒物(PM10)
巴音郭楞蒙古自治州,棉纺厂,86.1971,41.7166,2026-01-29T1700,33,110,/,,/,70,52,,
巴音郭楞蒙古自治州,经济开发区,86.236,41.7172,2026-01-29T1700,23,53,0.4,6,5,66,52,52,颗粒物(PM10)
巴中市,市五中,106.776805,31.852614,2026-01-29T1700,17,36,1.0,19,5,28,20,36,
巴中市,圣泉水务公司,106.7419,31.8654,2026-01-29T1700,21,36,1.0,22,5,30,89,36,
巴中市,市中心医院,106.7617,31.8343,2026-01-29T1700,16,21,1.0,,5,28,24,,
白城市,洮北区环保局,122.7909,45.608,2026-01-29T1700,10,37,0.3,24,5,56,68,37,
白城市,市环保局,122.8741,45.5725,2026-01-29T1700,12,24,0.1,9,3,68,72,24,
白山市,喜丰,126.4219,41.9172,2026-01-29T1700,7,20,0.6,15,10,70,63,22,
白山市,环保局,126.4082,41.9416,2026-01-29T1700,3,24,0.5,8,9,76,66,24,
白银市,第三小学,104.1727,36.5448,2026-01-29T1700,61,,0.7,13,3,63,65,,
白银市,动力公司,104.1467,36.5482,2026-01-29T1700,53,170,0.7,11,3,70,66,110,颗粒物(PM10)
百色市,市监测站,106.6102,23.901,2026-01-29T1700,21,36,0.5,11,8,86,92,36,
百色市,市中心血站,106.6524,23.8842,2026-01-29T1700,25,71,0.7,7,8,93,102,61,颗粒物(PM10)
百色市,龙景西路,106.6273,23.8798,2026-01-29T1700,21,60,0.5,11,8,100,103,55,颗粒物(PM10)
蚌埠市,工人疗养院,117.396,32.9389,2026-01-29T1700,31,63,0.5,18,4,84,60,57,颗粒物(PM10)
蚌埠市,百货大楼,117.3606,32.9428,2026-01-29T1700,32,69,0.5,20,6,79,56,60,颗粒物(PM10)
蚌埠市,蚌埠学院,117.4183,32.8909,2026-01-29T1700,31,61,0.5,28,4,75,58,56,颗粒物(PM10)
蚌埠市,淮上区政府,117.3534,32.9672,2026-01-29T1700,43,70,0.5,23,4,79,62,60,"颗粒物(PM10),细颗粒物(PM2.5)"
蚌埠市,高新区,117.3143,32.8977,2026-01-29T1700,34,61,0.4,15,6,81,54,56,颗粒物(PM10)
蚌埠市,蚌埠田家炳中学,117.3091,32.9314,2026-01-29T1700,35,66,0.4,15,4,86,57,58,颗粒物(PM10)
包头市,市环境监测站,109.8761,40.6533,2026-01-29T1700,46,84,1.0,58,21,32,29,67,颗粒物(PM10)
包头市,包头八中,109.9992,40.5843,2026-01-29T1700,52,88,0.8,42,14,54,29,72,细颗粒物(PM2.5)
包头市,惠龙物流,109.8641,40.6288,2026-01-29T1700,40,78,1.2,51,26,46,30,64,颗粒物(PM10)
包头市,东河鸿龙湾,110.0376,40.5546,2026-01-29T1700,39,80,0.6,42,11,64,41,65,颗粒物(PM10)
包头市,滨河大厦,109.9154,40.5684,2026-01-29T1700,34,65,0.6,43,9,55,34,58,颗粒物(PM10)
包头市,包头市委党校,109.9449,40.6259,2026-01-29T1700,35,66,0.9,53,22,40,26,58,颗粒物(PM10)
包头市,昆区政府,109.8332,40.6577,2026-01-29T1700,39,76,1.1,67,20,32,46,63,颗粒物(PM10)
宝鸡市,竹园沟,107.0802,34.3129,2026-01-29T1700,82,114,1.0,25,6,41,38,109,细颗粒物(PM2.5)
宝鸡市,监测站,107.1429,34.3549,2026-01-29T1700,91,98,0.8,25,5,39,40,120,细颗粒物(PM2.5)
宝鸡市,技工学校,107.1172,34.3759,2026-01-29T1700,74,88,1.1,24,3,42,42,99,细颗粒物(PM2.5)
宝鸡市,文理学院,107.2025,34.3518,2026-01-29T1700,93,110,0.9,25,3,40,41,123,细颗粒物(PM2.5)
宝鸡市,三迪小学,107.2396,34.3626,2026-01-29T1700,107,112,1.1,26,3,42,38,140,细颗粒物(PM2.5)
宝鸡市,滨河北路,107.1721,34.3558,2026-01-29T1700,83,129,1.0,17,5,38,40,110,细颗粒物(PM2.5)
宝鸡市,陈仓区北开路21号,107.3898,34.3601,2026-01-29T1700,121,147,1.1,41,5,24,32,159,细颗粒物(PM2.5)
保定市,游泳馆,115.4803,38.8568,2026-01-29T1700,83,93,0.6,27,4,58,42,110,细颗粒物(PM2.5)
保定市,华电二区,115.509,38.8895,2026-01-29T1700,85,,0.8,13,3,54,41,113,细颗粒物(PM2.5)
保定市,接待中心,115.4588,38.9037,2026-01-29T1700,84,116,0.4,18,2,55,43,112,细颗粒物(PM2.5)
保定市,地表水厂,115.4484,38.8344,2026-01-29T1700,70,117,0.5,27,5,60,42,94,细颗粒物(PM2.5)
保定市,满城区生态环境分局,115.3136,38.9511,2026-01-29T1700,69,110,0.6,27,5,52,39,93,细颗粒物(PM2.5)
保定市,清苑区第二中学,115.4709,38.7628,2026-01-29T1700,,,0.6,,,52,39,,
保定市,徐水物探局,115.6231,39.0223,2026-01-29T1700,71,112,0.7,20,4,85,65,95,细颗粒物(PM2.5)
保定市,双鹰农机,115.4199,38.8665,2026-01-29T1700,74,117,0.6,19,6,66,50,99,细颗粒物(PM2.5)
保定市,植保所站,115.515,38.8589,2026-01-29T1700,86,114,0.7,,,56,38,114,细颗粒物(PM2.5)
保山市,市环境监测站,99.1589,25.1137,2026-01-29T1700,9,25,0.2,6,4,89,75,28,
保山市,市环保局,99.1616,25.1381,2026-01-29T1700,18,36,0.4,4,4,92,68,36,
北海市,海滩公园,109.1435,21.4085,2026-01-29T1700,12,35,0.7,6,6,116,118,37,
北海市,新市环保局,109.0983,21.466,2026-01-29T1700,9,35,0.5,10,6,111,118,35,
北海市,北海工业园,109.1775,21.5232,2026-01-29T1700,20,33,0.5,6,5,112,106,35,
北海市,龙潭自来水厂,109.1844,21.4396,2026-01-29T1700,8,36,0.5,6,1,109,106,36,
北京市,万寿西宫,116.3611,39.8786,2026-01-29T1700,64,85,0.6,37,4,44,45,87,细颗粒物(PM2.5)
北京市,东四,116.4174,39.9289,2026-01-29T1700,47,82,0.6,32,6,42,40,66,颗粒物(PM10)
北京市,天坛,116.4073,39.8858,2026-01-29T1700,54,84,0.7,34,4,47,48,74,细颗粒物(PM2.5)
北京市,农展馆,116.4622,39.9364,2026-01-29T1700,62,89,0.8,29,6,49,46,84,细颗粒物(PM2.5)
北京市,官园,116.3399,39.9293,2026-01-29T1700,58,86,0.7,39,4,39,37,79,细颗粒物(PM2.5)
北京市,海淀万柳,116.2879,39.9613,2026-01-29T1700,57,85,0.6,42,4,34,29,78,细颗粒物(PM2.5)
北京市,顺义新城,116.6635,40.1349,2026-01-29T1700,55,87,0.8,37,8,54,52,75,细颗粒物(PM2.5)
北京市,怀柔镇,116.6275,40.327,2026-01-29T1700,44,71,0.7,26,6,57,51,62,细颗粒物(PM2.5)
北京市,昌平镇,116.2295,40.217,2026-01-29T1700,61,101,0.8,42,3,36,37,83,细颗粒物(PM2.5)
北京市,奥体中心,116.3968,39.982,2026-01-29T1700,48,78,0.9,45,5,46,42,67,细颗粒物(PM2.5)
北京市,密云新城,116.8336,40.4095,2026-01-29T1700,52,86,0.7,19,4,63,56,72,细颗粒物(PM2.5)
北京市,门头沟三家店,116.0879,39.9725,2026-01-29T1700,59,96,0.8,39,4,36,30,80,细颗粒物(PM2.5)
北京市,丰台云岗,116.1507,39.8246,2026-01-29T1700,60,93,0.7,29,4,52,42,82,细颗粒物(PM2.5)
北京市,房山燕山,115.9578,39.7602,2026-01-29T1700,84,116,0.9,23,4,37,34,112,细颗粒物(PM2.5)
北京市,大兴旧宫,116.4669,39.7734,2026-01-29T1700,49,81,0.6,26,5,59,54,68,细颗粒物(PM2.5)
北京市,延庆石河营,115.9859,40.4562,2026-01-29T1700,61,94,0.8,43,4,38,40,83,细颗粒物(PM2.5)
北京市,怀柔新城,116.6151,40.3052,2026-01-29T1700,46,76,0.6,24,6,57,50,64,细颗粒物(PM2.5)
北京市,丰台小屯,116.2542,39.8764,2026-01-29T1700,63,97,0.7,33,4,39,29,85,细颗粒物(PM2.5)
北京市,密云镇,116.8399,40.3843,2026-01-29T1700,47,80,0.6,19,4,63,56,65,"颗粒物(PM10),细颗粒物(PM2.5)"
北京市,延庆百泉,115.9423,40.4431,2026-01-29T1700,60,92,0.7,38,3,36,36,82,细颗粒物(PM2.5)
北京市,通州新华,116.6598,39.9164,2026-01-29T1700,44,93,0.7,37,5,45,43,72,颗粒物(PM10)
北京市,石景山八角,116.1942,39.9158,2026-01-29T1700,57,109,0.7,33,3,39,32,80,颗粒物(PM10)
北京市,平谷新城,117.078628,40.151726,2026-01-29T1700,74,89,0.8,18,9,60,54,99,细颗粒物(PM2.5)
本溪市,大峪,123.8274146,41.31234549,2026-01-29T1700,16,32,0.7,24,11,62,55,32,
本溪市,彩屯,123.7169,41.3094,2026-01-29T1700,20,40,0.7,21,10,66,59,40,
本溪市,东明,123.7672166,41.28649327,2026-01-29T1700,21,44,0.5,20,7,66,55,44,
本溪市,新立屯,123.799345,41.266614,2026-01-29T1700,,26,,,,,18,,
本溪市,威宁,123.829144,41.336777,2026-01-29T1700,18,27,0.7,23,8,56,47,27,
毕节市,八中,105.287,27.3133,2026-01-29T1700,30,,0.9,11,9,34,34,43,
毕节市,师专,105.3079,27.2987,2026-01-29T1700,28,34,0.8,11,7,39,37,40,
毕节市,工业大道,105.3688,27.3598,2026-01-29T1700,32,34,/,14,10,33,31,46,
滨州市,第二水厂,117.9961,37.3604,2026-01-29T1700,22,46,0.8,14,9,61,58,46,
滨州市,北中新校,117.9789,37.3931,2026-01-29T1700,23,48,0.4,17,6,64,64,48,
滨州市,中海酒店,117.9379,37.3959,2026-01-29T1700,22,39,0.5,16,8,58,57,39,
滨州市,开发区一中,117.9381509,37.35547456,2026-01-29T1700,24,51,0.5,13,10,62,59,51,颗粒物(PM10)
滨州市,金海六路,118.0914,37.6938,2026-01-29T1700,29,54,0.5,23,14,79,73,52,颗粒物(PM10)
滨州市,滨州市西街道办事处,117.9955,37.3752,2026-01-29T1700,24,41,0.5,15,9,66,65,41,
亳州市,污水处理厂,115.8071,33.8399,2026-01-29T1700,64,94,0.5,22,5,75,76,87,细颗粒物(PM2.5)
亳州市,三国揽胜宫,115.7789,33.8519,2026-01-29T1700,64,95,0.5,27,5,68,69,87,细颗粒物(PM2.5)
亳州市,亳州学院,115.7631,33.803,2026-01-29T1700,70,107,0.7,24,5,66,68,94,细颗粒物(PM2.5)
博尔塔拉蒙古自治州,市党校,82.0482,44.8553,2026-01-29T1700,80,117,0.9,28,9,82,69,107,细颗粒物(PM2.5)
博尔塔拉蒙古自治州,市环保局,82.0805,44.8966,2026-01-29T1700,75,144,1.0,42,,68,65,,
沧州市,沧县城建局,116.8733,38.2922,2026-01-29T1700,47,67,0.3,22,4,64,53,65,细颗粒物(PM2.5)
沧州市,电视转播站,116.8462,38.3189,2026-01-29T1700,58,67,0.5,20,2,69,53,79,细颗粒物(PM2.5)
沧州市,市环保局,116.8588,38.3161,2026-01-29T1700,49,65,0.5,18,6,56,44,68,细颗粒物(PM2.5)
沧州市,河北水利电力学院,116.8011,38.294,2026-01-29T1700,54,61,0.4,18,2,59,46,74,细颗粒物(PM2.5)
昌都市,昌都监测站,97.1813,31.1289,2026-01-29T1700,10,66,0.6,3,3,88,70,58,颗粒物(PM10)
昌都市,昌都会议中心,97.1707,31.1428,2026-01-29T1700,15,25,0.1,2,4,86,76,27,
昌吉回族自治州,新区政务中心,87.2722,44.0298,2026-01-29T1700,99,149,1.4,,,62,45,130,细颗粒物(PM2.5)
昌吉回族自治州,亚心广场,87.3069,44.0093,2026-01-29T1700,129,153,1.3,27,8,72,47,170,细颗粒物(PM2.5)
昌吉回族自治州,财政所,87.2057,43.9289,2026-01-29T1700,145,160,1.6,56,7,49,42,193,细颗粒物(PM2.5)
长春市,客车厂,125.2874,43.9024,2026-01-29T1700,20,33,0.4,22,7,60,60,33,
长春市,邮电学院,125.2943,43.8508,2026-01-29T1700,20,50,0.4,17,9,62,62,50,
长春市,劳动公园,125.3648,43.8745,2026-01-29T1700,25,63,0.8,16,4,67,66,57,颗粒物(PM10)
长春市,园林处,125.3233,43.8781,2026-01-29T1700,25,46,0.4,11,9,68,64,46,
长春市,净月潭,125.4604,43.7904,2026-01-29T1700,41,54,0.4,16,6,70,51,58,细颗粒物(PM2.5)
长春市,经开区环卫处,125.38,43.8422,2026-01-29T1700,29,57,0.5,25,8,60,52,54,颗粒物(PM10)
长春市,高新区管委会,125.234,43.7761,2026-01-29T1700,31,56,0.4,22,7,69,64,53,颗粒物(PM10)
长春市,岱山公园,125.1695,43.83,2026-01-29T1700,23,41,0.4,25,6,55,56,41,
