area,positionname,longitude,latitude,timepoint,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant
阿坝藏族羌族自治州,马师校,102.2503,31.8896,2026-02-27T2100,9,31,0.3,6,5,92,102,31,
阿坝藏族羌族自治州,马尔康中学西区,102.2174,31.9016,2026-02-27T2100,7,21,0.4,5,6,83,88,26,
阿克苏地区,电视台,80.2899,41.1684,2026-02-27T2100,324,974,0.8,13,3,59,76,500,颗粒物(PM10)
阿克苏地区,艺术中心,80.2592,41.1541,2026-02-27T2100,323,949,0.5,12,5,62,82,500,颗粒物(PM10)
阿拉善盟,蒙二幼,105.699,38.8409,2026-02-27T2100,40,179,0.6,13,13,84,100,115,颗粒物(PM10)
阿拉善盟,环保局新楼,105.7198,38.8508,2026-02-27T2100,42,129,0.6,10,13,84,95,90,颗粒物(PM10)
阿勒泰地区,市站,88.1266,47.8515,2026-02-27T2100,23,28,0.4,32,2,72,73,33,
阿勒泰地区,阿勒泰路33号,88.1198,47.7931,2026-02-27T2100,17,41,0.4,20,4,78,84,41,
阿里地区,阿里监测站,80.1171,32.4999,2026-02-27T2100,3,7,0.2,1,7,118,122,37,
阿里地区,阿里藏医院,80.0906,32.5029,2026-02-27T2100,3,,0.2,1,6,118,125,37,
安康市,汉滨区检察院,109.0088,32.6974,2026-02-27T2100,18,32,0.4,8,2,50,49,32,
安康市,市邮政管理局,109.0324,32.6913,2026-02-27T2100,18,26,0.5,8,4,43,44,26,
安庆市,环科院,117.0806,30.5181,2026-02-27T2100,35,46,0.7,14,6,34,61,50,
安庆市,马山宾馆,117.0331,30.5118,2026-02-27T2100,41,,0.9,14,4,35,64,58,细颗粒物(PM2.5)
安庆市,安庆大学,116.9897,30.6146,2026-02-27T2100,29,46,0.6,10,3,38,67,46,
安庆市,市人大,117.0598,30.5351,2026-02-27T2100,37,49,0.7,15,5,32,62,53,细颗粒物(PM2.5)
安顺市,凤凰山,105.9408,26.2431,2026-02-27T2100,16,24,0.5,7,9,52,61,24,
安顺市,金钟山,105.9443,26.2567,2026-02-27T2100,17,25,0.5,6,10,50,61,25,
安顺市,娄家坡,105.8983,26.248,2026-02-27T2100,20,26,0.5,8,13,48,60,29,
安阳市,红庙街,114.3552,36.1017,2026-02-27T2100,62,81,0.4,29,3,34,40,84,细颗粒物(PM2.5)
安阳市,银杏小区,114.361,36.0681,2026-02-27T2100,67,89,0.5,21,2,35,39,90,细颗粒物(PM2.5)
安阳市,信访局,114.3921,36.0879,2026-02-27T2100,61,88,0.6,21,2,33,42,83,细颗粒物(PM2.5)
安阳市,左辅环卫站,114.4706,36.0634,2026-02-27T2100,67,107,0.4,20,2,33,44,90,细颗粒物(PM2.5)
安阳市,钢三路198号,114.2918,36.0769,2026-02-27T2100,58,87,0.5,23,1,36,36,79,细颗粒物(PM2.5)
