area,positionname,longitude,latitude,timepoint,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant
阿坝藏族羌族自治州,马师校,102.2503,31.8896,2026-04-03T1700,9,34,0.2,4,5,108,94,34,
阿坝藏族羌族自治州,马尔康中学西区,102.2174,31.9016,2026-04-03T1700,10,20,0.2,4,3,105,94,33,
阿克苏地区,电视台,80.2899,41.1684,2026-04-03T1700,35,112,NA,3,3,117,89,NA,NA
阿克苏地区,艺术中心,80.2592,41.1541,2026-04-03T1700,35,96,0.2,4,5,121,91,83,颗粒物(PM10)
阿拉善盟,蒙二幼,105.699,38.8409,2026-04-03T1700,27,56,0.5,8,8,99,103,55,颗粒物(PM10)
阿拉善盟,环保局新楼,105.7198,38.8508,2026-04-03T1700,22,52,0.4,4,7,95,99,52,颗粒物(PM10)
阿勒泰地区,市站,88.1266,47.8515,2026-04-03T1700,1,NA,NA,9,6,103,108,NA,NA
阿勒泰地区,阿勒泰路33号,88.1198,47.7931,2026-04-03T1700,3,12,0.3,4,5,103,101,33,
阿里地区,阿里监测站,80.1171,32.4999,2026-04-03T1700,3,6,0.4,2,6,93,78,30,
阿里地区,阿里藏医院,80.0906,32.5029,2026-04-03T1700,3,6,0.2,1,7,97,80,31,
安康市,汉滨区检察院,109.0088,32.6974,2026-04-03T1700,24,63,0.5,8,5,103,70,60,颗粒物(PM10)
安康市,市邮政管理局,109.0324,32.6913,2026-04-03T1700,26,62,0.5,10,4,100,71,59,颗粒物(PM10)
安庆市,环科院,117.0806,30.5181,2026-04-03T1700,18,31,0.5,19,5,58,62,31,
安庆市,马山宾馆,117.0331,30.5118,2026-04-03T1700,21,33,0.5,33,4,38,47,33,
安庆市,安庆大学,116.9897,30.6146,2026-04-03T1700,19,20,0.5,14,5,57,56,28,
安庆市,市人大,117.0598,30.5351,2026-04-03T1700,22,29,0.5,27,6,51,61,32,
安顺市,凤凰山,105.9408,26.2431,2026-04-03T1700,17,NA,0.5,7,7,115,104,36,
安顺市,金钟山,105.9443,26.2567,2026-04-03T1700,20,NA,0.5,5,9,104,96,33,
安顺市,娄家坡,105.8983,26.248,2026-04-03T1700,11,16,0.5,6,14,106,98,34,
安阳市,红庙街,114.3552,36.1017,2026-04-03T1700,27,61,0.2,12,7,122,112,58,颗粒物(PM10)
安阳市,银杏小区,114.361,36.0681,2026-04-03T1700,NA,NA,0.3,NA,NA,121,113,NA,NA
安阳市,信访局,114.3921,36.0879,2026-04-03T1700,32,58,0.4,12,4,128,121,56,颗粒物(PM10)
安阳市,左辅环卫站,114.4706,36.0634,2026-04-03T1700,27,60,0.4,5,5,112,108,58,颗粒物(PM10)
安阳市,钢三路198号,114.2918,36.0769,2026-04-03T1700,26,63,0.4,11,4,113,108,60,颗粒物(PM10)
鞍山市,深沟寺,123.0441,41.1201,2026-04-03T1700,43,75,0.7,12,8,131,131,68,颗粒物(PM10)
鞍山市,太阳城,123.011,41.0931,2026-04-03T1700,51,70,0.7,10,7,126,128,82,细颗粒物(PM2.5)
鞍山市,太平,123.0483,41.1445,2026-04-03T1700,44,81,0.7,11,8,128,119,73,颗粒物(PM10)
鞍山市,铁西三道街,122.964,41.0968,2026-04-03T1700,53,90,0.7,22,6,125,125,86,细颗粒物(PM2.5)
鞍山市,明达新区,123.0219,41.0822,2026-04-03T1700,46,71,0.7,12,7,128,127,72,细颗粒物(PM2.5)
鞍山市,兴盛南路290号,122.944647,41.082639,2026-04-03T1700,54,97,1.0,15,7,127,129,88,细颗粒物(PM2.5)
巴彦淖尔市,附二中,107.4206,40.7609,2026-04-03T1700,8,26,0.3,4,12,108,100,34,
巴彦淖尔市,市环保大楼,107.37,40.7372,2026-04-03T1700,8,27,0.4,4,6,108,102,34,
巴音郭楞蒙古自治州,孔雀公园,86.1476,41.7529,2026-04-03T1700,23,103,0.2,3,10,118,94,88,颗粒物(PM10)
巴音郭楞蒙古自治州,棉纺厂,86.1971,41.7166,2026-04-03T1700,26,104,/,1,/,121,95,89,颗粒物(PM10)
巴音郭楞蒙古自治州,经济开发区,86.236,41.7172,2026-04-03T1700,37,104,0.2,5,7,108,93,89,颗粒物(PM10)
巴中市,市五中,106.776805,31.852614,2026-04-03T1700,16,33,0.5,8,8,80,57,33,
巴中市,圣泉水务公司,106.7419,31.8654,2026-04-03T1700,18,40,0.5,8,8,82,62,40,
巴中市,市中心医院,106.7617,31.8343,2026-04-03T1700,19,38,0.5,5,8,96,69,38,
白城市,洮北区环保局,122.7909,45.608,2026-04-03T1700,96,NA,0.2,17,5,89,77,133,细颗粒物(PM2.5)
白城市,市环保局,122.8741,45.5725,2026-04-03T1700,33,NA,0.4,8,4,81,68,48,
白山市,喜丰,126.4219,41.9172,2026-04-03T1700,10,46,0.9,3,7,123,119,46,
白山市,环保局,126.4082,41.9416,2026-04-03T1700,20,46,0.8,11,9,123,120,46,
白银市,第三小学,104.1727,36.5448,2026-04-03T1700,44,217,0.2,NA,15,108,105,138,颗粒物(PM10)
白银市,动力公司,104.1467,36.5482,2026-04-03T1700,48,217,0.2,4,5,103,101,138,颗粒物(PM10)
百色市,市监测站,106.6102,23.901,2026-04-03T1700,45,55,0.8,9,10,129,111,70,细颗粒物(PM2.5)
百色市,市中心血站,106.6524,23.8842,2026-04-03T1700,86,NA,0.7,10,9,128,116,124,细颗粒物(PM2.5)
百色市,龙景西路,106.6273,23.8798,2026-04-03T1700,48,79,0.7,9,12,141,118,76,细颗粒物(PM2.5)
蚌埠市,工人疗养院,117.396,32.9389,2026-04-03T1700,NA,NA,0.3,14,NA,127,100,NA,NA
蚌埠市,百货大楼,117.3606,32.9428,2026-04-03T1700,17,37,0.4,12,6,129,106,41,
蚌埠市,蚌埠学院,117.4183,32.8909,2026-04-03T1700,25,39,0.4,11,5,131,108,41,
蚌埠市,淮上区政府,117.3534,32.9672,2026-04-03T1700,22,44,0.3,11,5,133,107,44,
蚌埠市,高新区,117.3143,32.8977,2026-04-03T1700,22,46,0.6,21,9,118,103,46,
蚌埠市,蚌埠田家炳中学,117.3091,32.9314,2026-04-03T1700,17,38,0.3,13,6,125,107,40,
包头市,市环境监测站,109.8761,40.6533,2026-04-03T1700,3,23,0.3,7,5,NA,97,NA,NA
包头市,包头八中,109.9992,40.5843,2026-04-03T1700,8,23,0.3,5,6,98,95,31,
包头市,惠龙物流,109.8641,40.6288,2026-04-03T1700,6,14,0.3,4,5,99,95,31,
包头市,东河鸿龙湾,110.0376,40.5546,2026-04-03T1700,3,8,0.3,5,7,98,94,31,
包头市,滨河大厦,109.9154,40.5684,2026-04-03T1700,12,16,0.3,1,8,99,95,31,
包头市,包头市委党校,109.9449,40.6259,2026-04-03T1700,6,57,0.1,4,5,98,93,55,颗粒物(PM10)
包头市,昆区政府,109.8332,40.6577,2026-04-03T1700,38,NA,0.4,8,2,100,97,56,细颗粒物(PM2.5)
宝鸡市,竹园沟,107.0802,34.3129,2026-04-03T1700,16,134,0.2,11,7,118,105,106,颗粒物(PM10)
宝鸡市,监测站,107.1429,34.3549,2026-04-03T1700,19,151,0.4,7,8,113,102,112,颗粒物(PM10)
宝鸡市,技工学校,107.1172,34.3759,2026-04-03T1700,22,155,0.2,6,3,108,102,114,颗粒物(PM10)
宝鸡市,文理学院,107.2025,34.3518,2026-04-03T1700,24,118,0.2,5,6,106,99,99,颗粒物(PM10)
宝鸡市,三迪小学,107.2396,34.3626,2026-04-03T1700,28,134,0.2,6,4,109,99,106,颗粒物(PM10)
宝鸡市,滨河北路,107.1721,34.3558,2026-04-03T1700,29,147,0.2,8,6,109,97,111,颗粒物(PM10)
宝鸡市,陈仓区北开路21号,107.3898,34.3601,2026-04-03T1700,28,170,0.3,7,6,105,89,120,颗粒物(PM10)
保定市,游泳馆,115.4803,38.8568,2026-04-03T1700,12,123,0.2,5,6,98,98,102,颗粒物(PM10)
保定市,华电二区,115.509,38.8895,2026-04-03T1700,15,151,0,2,3,100,102,112,颗粒物(PM10)
保定市,接待中心,115.4588,38.9037,2026-04-03T1700,9,106,0,4,2,95,100,90,颗粒物(PM10)
保定市,地表水厂,115.4484,38.8344,2026-04-03T1700,12,122,0,9,2,98,101,101,颗粒物(PM10)
保定市,满城区生态环境分局,115.3136,38.9511,2026-04-03T1700,6,139,0.1,4,3,101,109,108,颗粒物(PM10)
保定市,清苑区第二中学,115.4709,38.7628,2026-04-03T1700,7,135,0.1,6,7,95,92,106,颗粒物(PM10)
保定市,徐水物探局,115.6231,39.0223,2026-04-03T1700,14,196,0.4,3,1,98,100,130,颗粒物(PM10)
保定市,双鹰农机,115.4199,38.8665,2026-04-03T1700,16,127,0.0,8,2,98,101,103,颗粒物(PM10)
保定市,植保所站,115.515,38.8589,2026-04-03T1700,12,101,0.3,2,3,99,101,87,颗粒物(PM10)
保山市,市环境监测站,99.1589,25.1137,2026-04-03T1700,30,49,0.3,6,6,116,111,49,
保山市,市环保局,99.1616,25.1381,2026-04-03T1700,35,57,0.3,6,6,114,112,55,颗粒物(PM10)
北海市,海滩公园,109.1435,21.4085,2026-04-03T1700,17,70,0.6,7,6,67,64,65,颗粒物(PM10)
北海市,新市环保局,109.0983,21.466,2026-04-03T1700,17,48,0.6,4,9,69,69,48,
北海市,北海工业园,109.1775,21.5232,2026-04-03T1700,27,54,0.6,3,6,61,61,53,颗粒物(PM10)
北海市,龙潭自来水厂,109.1844,21.4396,2026-04-03T1700,16,43,0.6,2,6,74,72,43,
北京市,万寿西宫,116.3611,39.8786,2026-04-03T1700,7,58,0.1,6,2,96,80,56,颗粒物(PM10)
北京市,东四,116.4174,39.9289,2026-04-03T1700,7,78,0.1,3,5,99,87,70,颗粒物(PM10)
北京市,天坛,116.4073,39.8858,2026-04-03T1700,7,63,0.3,10,3,86,75,60,颗粒物(PM10)
北京市,农展馆,116.4622,39.9364,2026-04-03T1700,3,58,0.2,6,2,92,78,56,颗粒物(PM10)
北京市,官园,116.3399,39.9293,2026-04-03T1700,6,69,0.3,10,2,87,74,64,颗粒物(PM10)
北京市,海淀万柳,116.2879,39.9613,2026-04-03T1700,3,55,0.2,6,3,81,68,54,颗粒物(PM10)
北京市,顺义新城,116.6635,40.1349,2026-04-03T1700,13,50,0.2,5,3,95,86,50,
北京市,怀柔镇,116.6275,40.327,2026-04-03T1700,3,33,0.2,6,4,86,87,33,
北京市,昌平镇,116.2295,40.217,2026-04-03T1700,3,75,0.1,6,1,94,81,68,颗粒物(PM10)
北京市,奥体中心,116.3968,39.982,2026-04-03T1700,6,74,0.2,7,3,89,77,68,颗粒物(PM10)
北京市,密云新城,116.8336,40.4095,2026-04-03T1700,6,47,0.3,1,1,86,90,47,
北京市,门头沟三家店,116.0879,39.9725,2026-04-03T1700,7,70,0.2,4,1,89,73,65,颗粒物(PM10)
北京市,丰台云岗,116.1507,39.8246,2026-04-03T1700,11,66,0.3,4,1,93,81,62,颗粒物(PM10)
北京市,房山燕山,115.9578,39.7602,2026-04-03T1700,6,60,0.2,4,3,88,82,58,颗粒物(PM10)
北京市,大兴旧宫,116.4669,39.7734,2026-04-03T1700,7,69,0.2,5,3,91,85,64,颗粒物(PM10)
北京市,延庆石河营,115.9859,40.4562,2026-04-03T1700,3,47,0.2,5,3,96,91,47,
北京市,怀柔新城,116.6151,40.3052,2026-04-03T1700,3,36,0.2,6,3,80,85,36,
北京市,丰台小屯,116.2542,39.8764,2026-04-03T1700,7,68,0.2,7,2,82,69,63,颗粒物(PM10)
北京市,密云镇,116.8399,40.3843,2026-04-03T1700,7,46,0.2,7,3,92,93,46,
北京市,延庆百泉,115.9423,40.4431,2026-04-03T1700,3,45,0.2,8,3,88,80,45,
北京市,通州新华,116.6598,39.9164,2026-04-03T1700,10,92,0.3,9,3,83,70,80,颗粒物(PM10)
北京市,石景山八角,116.1942,39.9158,2026-04-03T1700,11,86,0.2,6,3,80,67,76,颗粒物(PM10)
北京市,平谷新城,117.078628,40.151726,2026-04-03T1700,6,50,0.3,10,1,86,99,50,
本溪市,大峪,123.8274146,41.31234549,2026-04-03T1700,NA,68,0.6,7,6,143,136,NA,NA
本溪市,彩屯,123.7169,41.3094,2026-04-03T1700,53,90,1.2,13,13,125,106,86,细颗粒物(PM2.5)
本溪市,东明,123.7672166,41.28649327,2026-04-03T1700,45,54,0.5,9,7,137,127,70,细颗粒物(PM2.5)
本溪市,新立屯,123.799345,41.266614,2026-04-03T1700,46,63,0.6,9,8,135,131,72,细颗粒物(PM2.5)
本溪市,威宁,123.829144,41.336777,2026-04-03T1700,32,80,0.5,7,9,138,122,72,颗粒物(PM10)
毕节市,八中,105.287,27.3133,2026-04-03T1700,15,17,0.5,7,10,75,69,24,
毕节市,师专,105.3079,27.2987,2026-04-03T1700,11,19,0.4,8,8,86,82,27,
毕节市,工业大道,105.3688,27.3598,2026-04-03T1700,16,21,/,6,10,94,93,30,
滨州市,第二水厂,117.9961,37.3604,2026-04-03T1700,25,56,0.5,15,11,116,128,55,颗粒物(PM10)
滨州市,北中新校,117.9789,37.3931,2026-04-03T1700,24,58,NA,16,14,114,123,NA,NA
滨州市,中海酒店,117.9379,37.3959,2026-04-03T1700,19,58,0.5,17,12,133,138,56,颗粒物(PM10)
滨州市,开发区一中,117.9381509,37.35547456,2026-04-03T1700,NA,NA,NA,NA,NA,NA,129,NA,NA
滨州市,金海六路,118.0914,37.6938,2026-04-03T1700,22,56,0.2,10,10,129,133,55,颗粒物(PM10)
滨州市,滨州市西街道办事处,117.9955,37.3752,2026-04-03T1700,24,53,0.3,12,12,124,135,53,颗粒物(PM10)
亳州市,污水处理厂,115.8071,33.8399,2026-04-03T1700,3,20,0.1,9,4,111,103,35,
亳州市,三国揽胜宫,115.7789,33.8519,2026-04-03T1700,3,30,NA,5,5,104,97,NA,NA
亳州市,亳州学院,115.7631,33.803,2026-04-03T1700,3,19,0.1,2,5,105,95,33,
博尔塔拉蒙古自治州,市党校,82.0482,44.8553,2026-04-03T1700,7,63,0.1,2,4,119,94,60,颗粒物(PM10)
博尔塔拉蒙古自治州,市环保局,82.0805,44.8966,2026-04-03T1700,12,65,0.2,11,4,112,80,61,颗粒物(PM10)
沧州市,沧县城建局,116.8733,38.2922,2026-04-03T1700,61,232,0.5,18,3,110,102,144,颗粒物(PM10)
沧州市,电视转播站,116.8462,38.3189,2026-04-03T1700,78,220,0.4,18,7,112,103,139,颗粒物(PM10)
沧州市,市环保局,116.8588,38.3161,2026-04-03T1700,55,245,0.2,16,8,113,104,149,颗粒物(PM10)
沧州市,河北水利电力学院,116.8011,38.294,2026-04-03T1700,84,280,0.3,14,6,108,102,165,颗粒物(PM10)
昌都市,昌都监测站,97.1813,31.1289,2026-04-03T1700,3,13,0.2,6,6,110,89,35,
昌都市,昌都会议中心,97.1707,31.1428,2026-04-03T1700,3,9,0.2,3,4,123,101,39,
昌吉回族自治州,新区政务中心,87.2722,44.0298,2026-04-03T1700,10,36,0.2,8,7,123,93,39,
