area,positionname,longitude,latitude,timepoint,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant
阿坝藏族羌族自治州,马师校,102.2503,31.8896,2026-02-09T2300,11,28,0.5,21,4,34,77,28,
阿坝藏族羌族自治州,马尔康中学西区,102.2174,31.9016,2026-02-09T2300,9,35,0.5,20,5,42,77,35,
阿克苏地区,电视台,80.2899,41.1684,2026-02-09T2300,101,336,0.7,31,11,52,81,193,颗粒物(PM10)
阿克苏地区,艺术中心,80.2592,41.1541,2026-02-09T2300,99,312,0.6,28,6,59,84,181,颗粒物(PM10)
阿拉善盟,蒙二幼,105.699,38.8409,2026-02-09T2300,28,103,0.6,6,9,86,89,77,颗粒物(PM10)
阿拉善盟,环保局新楼,105.7198,38.8508,2026-02-09T2300,24,126,0.6,8,9,80,84,88,颗粒物(PM10)
阿勒泰地区,市站,88.1266,47.8515,2026-02-09T2300,3,29,0.3,22,3,66,79,29,
阿勒泰地区,阿勒泰路33号,88.1198,47.7931,2026-02-09T2300,3,22,0.4,13,6,80,77,25,
阿里地区,阿里监测站,80.1171,32.4999,2026-02-09T2300,3,6,0.3,3,9,80,84,25,
阿里地区,阿里藏医院,80.0906,32.5029,2026-02-09T2300,3,10,0.3,2,8,89,90,28,
安康市,汉滨区检察院,109.0088,32.6974,2026-02-09T2300,38,60,0.7,22,7,39,88,55,颗粒物(PM10)
安康市,市邮政管理局,109.0324,32.6913,2026-02-09T2300,46,73,1.0,28,4,34,87,64,细颗粒物(PM2.5)
安庆市,环科院,117.0806,30.5181,2026-02-09T2300,36,50,0.5,18,5,52,53,52,细颗粒物(PM2.5)
安庆市,马山宾馆,117.0331,30.5118,2026-02-09T2300,39,48,0.4,8,4,61,61,55,细颗粒物(PM2.5)
安庆市,安庆大学,116.9897,30.6146,2026-02-09T2300,29,43,0.5,9,4,73,66,43,
安庆市,市人大,117.0598,30.5351,2026-02-09T2300,36,51,0.4,11,7,58,59,52,细颗粒物(PM2.5)
安顺市,凤凰山,105.9408,26.2431,2026-02-09T2300,8,13,0.8,12,14,45,53,15,
安顺市,金钟山,105.9443,26.2567,2026-02-09T2300,11,,0.8,11,14,42,48,16,
安顺市,娄家坡,105.8983,26.248,2026-02-09T2300,8,8,0.7,8,10,48,51,15,
安阳市,红庙街,114.3552,36.1017,2026-02-09T2300,43,,0.5,13,2,64,81,60,细颗粒物(PM2.5)
安阳市,银杏小区,114.361,36.0681,2026-02-09T2300,32,43,0.4,12,3,65,81,46,
安阳市,信访局,114.3921,36.0879,2026-02-09T2300,62,,0.5,8,4,69,88,84,细颗粒物(PM2.5)
安阳市,左辅环卫站,114.4706,36.0634,2026-02-09T2300,35,56,0.5,13,4,68,83,53,颗粒物(PM10)
安阳市,钢三路198号,114.2918,36.0769,2026-02-09T2300,41,67,0.3,18,3,59,72,59,颗粒物(PM10)
鞍山市,深沟寺,123.0441,41.1201,2026-02-09T2300,48,76,0.7,17,10,93,87,67,细颗粒物(PM2.5)
鞍山市,太阳城,123.011,41.0931,2026-02-09T2300,52,75,0.7,15,10,90,80,72,细颗粒物(PM2.5)
鞍山市,太平,123.0483,41.1445,2026-02-09T2300,54,92,0.6,18,11,83,83,74,细颗粒物(PM2.5)
鞍山市,铁西三道街,122.964,41.0968,2026-02-09T2300,57,103,0.6,27,14,87,85,78,细颗粒物(PM2.5)
鞍山市,明达新区,123.0219,41.0822,2026-02-09T2300,51,52,0.7,17,10,91,84,70,细颗粒物(PM2.5)
鞍山市,兴盛南路290号,122.944647,41.082639,2026-02-09T2300,62,103,0.7,28,15,78,79,84,细颗粒物(PM2.5)
巴彦淖尔市,附二中,107.4206,40.7609,2026-02-09T2300,78,239,0.5,7,6,71,75,145,颗粒物(PM10)
巴彦淖尔市,市环保大楼,107.37,40.7372,2026-02-09T2300,63,186,0.4,7,4,70,77,118,颗粒物(PM10)
巴音郭楞蒙古自治州,孔雀公园,86.1476,41.7529,2026-02-09T2300,72,270,1.0,35,10,54,79,160,颗粒物(PM10)
巴音郭楞蒙古自治州,棉纺厂,86.1971,41.7166,2026-02-09T2300,68,328,/,69,/,12,84,189,颗粒物(PM10)
巴音郭楞蒙古自治州,经济开发区,86.236,41.7172,2026-02-09T2300,33,242,0.6,49,5,6,79,146,颗粒物(PM10)
巴中市,市五中,106.776805,31.852614,2026-02-09T2300,50,65,0.9,25,5,12,53,69,细颗粒物(PM2.5)
巴中市,圣泉水务公司,106.7419,31.8654,2026-02-09T2300,44,56,1.1,33,6,3,49,62,细颗粒物(PM2.5)
巴中市,市中心医院,106.7617,31.8343,2026-02-09T2300,56,85,1.0,32,5,7,54,77,细颗粒物(PM2.5)
白城市,洮北区环保局,122.7909,45.608,2026-02-09T2300,59,,0.7,40,7,29,71,80,细颗粒物(PM2.5)
白城市,市环保局,122.8741,45.5725,2026-02-09T2300,26,41,0.5,17,7,50,69,41,
白山市,喜丰,126.4219,41.9172,2026-02-09T2300,49,65,0.9,23,12,70,83,68,细颗粒物(PM2.5)
白山市,环保局,126.4082,41.9416,2026-02-09T2300,84,86,1.5,50,10,16,76,112,细颗粒物(PM2.5)
白银市,第三小学,104.1727,36.5448,2026-02-09T2300,60,253,0.6,16,33,75,83,152,颗粒物(PM10)
白银市,动力公司,104.1467,36.5482,2026-02-09T2300,52,213,0.7,9,7,73,80,132,颗粒物(PM10)
百色市,市监测站,106.6102,23.901,2026-02-09T2300,21,27,0.9,19,12,24,33,30,
