area,positionname,longitude,latitude,timepoint,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant
阿坝藏族羌族自治州,马师校,102.2503,31.8896,2026-03-30T2100,8,24,0.3,10,5,48,78,24,
阿坝藏族羌族自治州,马尔康中学西区,102.2174,31.9016,2026-03-30T2100,10,15,0.3,8,4,59,76,19,
阿克苏地区,电视台,80.2899,41.1684,2026-03-30T2100,61,166,0.3,12,3,98,107,118,颗粒物(PM10)
阿克苏地区,艺术中心,80.2592,41.1541,2026-03-30T2100,50,170,0.1,14,4,88,106,120,颗粒物(PM10)
阿拉善盟,蒙二幼,105.699,38.8409,2026-03-30T2100,17,37,0.6,12,9,87,101,37,
阿拉善盟,环保局新楼,105.7198,38.8508,2026-03-30T2100,16,23,0.7,8,8,84,98,27,
阿勒泰地区,市站,88.1266,47.8515,2026-03-30T2100,12,17,0.3,21,6,67,95,21,
阿勒泰地区,阿勒泰路33号,88.1198,47.7931,2026-03-30T2100,3,20,0.2,12,6,85,96,27,
阿里地区,阿里监测站,80.1171,32.4999,2026-03-30T2100,3,8,0.4,1,6,93,93,30,
阿里地区,阿里藏医院,80.0906,32.5029,2026-03-30T2100,3,6,0.2,1,6,95,94,30,
安康市,汉滨区检察院,109.0088,32.6974,2026-03-30T2100,8,18,0.6,28,4,34,90,18,
安康市,市邮政管理局,109.0324,32.6913,2026-03-30T2100,9,19,0.8,19,4,45,97,19,
安庆市,环科院,117.0806,30.5181,2026-03-30T2100,10,16,0.2,6,8,120,115,38,
安庆市,马山宾馆,117.0331,30.5118,2026-03-30T2100,10,15,0.4,4,4,114,111,36,
安庆市,安庆大学,116.9897,30.6146,2026-03-30T2100,11,NA,0.3,6,3,112,115,35,
安庆市,市人大,117.0598,30.5351,2026-03-30T2100,9,16,0.3,11,6,114,111,36,
安顺市,凤凰山,105.9408,26.2431,2026-03-30T2100,32,33,0.5,9,14,100,111,46,
安顺市,金钟山,105.9443,26.2567,2026-03-30T2100,29,NA,0.6,6,14,93,102,42,
安顺市,娄家坡,105.8983,26.248,2026-03-30T2100,27,33,0.7,6,11,92,102,39,
安阳市,红庙街,114.3552,36.1017,2026-03-30T2100,31,53,0.5,23,4,53,75,53,颗粒物(PM10)
安阳市,银杏小区,114.361,36.0681,2026-03-30T2100,30,52,0.4,26,5,57,79,52,颗粒物(PM10)
安阳市,信访局,114.3921,36.0879,2026-03-30T2100,30,40,0.4,19,4,62,81,43,
安阳市,左辅环卫站,114.4706,36.0634,2026-03-30T2100,36,62,0.4,14,4,60,78,59,颗粒物(PM10)
安阳市,钢三路198号,114.2918,36.0769,2026-03-30T2100,33,48,0.5,24,3,54,73,48,
鞍山市,深沟寺,123.0441,41.1201,2026-03-30T2100,36,63,0.8,26,9,60,82,60,颗粒物(PM10)
鞍山市,太阳城,123.011,41.0931,2026-03-30T2100,26,47,0.5,21,8,72,86,47,
鞍山市,太平,123.0483,41.1445,2026-03-30T2100,33,59,0.8,27,16,60,80,57,颗粒物(PM10)
鞍山市,铁西三道街,122.964,41.0968,2026-03-30T2100,21,35,0.7,25,9,74,83,35,
鞍山市,明达新区,123.0219,41.0822,2026-03-30T2100,23,40,0.6,21,8,68,83,40,
鞍山市,兴盛南路290号,122.944647,41.082639,2026-03-30T2100,22,44,1.1,32,17,71,83,44,
巴彦淖尔市,附二中,107.4206,40.7609,2026-03-30T2100,12,41,0.4,17,10,71,88,41,
巴彦淖尔市,市环保大楼,107.37,40.7372,2026-03-30T2100,20,45,0.4,24,6,61,91,45,
巴音郭楞蒙古自治州,孔雀公园,86.1476,41.7529,2026-03-30T2100,59,240,0.4,14,10,84,99,147,颗粒物(PM10)
巴音郭楞蒙古自治州,棉纺厂,86.1971,41.7166,2026-03-30T2100,76,348,/,10,/,92,101,199,颗粒物(PM10)
巴音郭楞蒙古自治州,经济开发区,86.236,41.7172,2026-03-30T2100,69,287,0.4,13,7,81,91,169,颗粒物(PM10)
巴中市,市五中,106.776805,31.852614,2026-03-30T2100,15,20,0.6,28,7,27,92,22,
巴中市,圣泉水务公司,106.7419,31.8654,2026-03-30T2100,22,24,1.0,48,9,18,98,32,
巴中市,市中心医院,106.7617,31.8343,2026-03-30T2100,11,24,0.7,28,11,32,96,24,
白城市,洮北区环保局,122.7909,45.608,2026-03-30T2100,51,60,0.2,31,6,67,108,82,细颗粒物(PM2.5)
白城市,市环保局,122.8741,45.5725,2026-03-30T2100,43,63,0.1,43,4,35,103,66,细颗粒物(PM2.5)
白山市,喜丰,126.4219,41.9172,2026-03-30T2100,9,44,0.8,23,11,62,92,44,
白山市,环保局,126.4082,41.9416,2026-03-30T2100,10,22,0.7,16,10,65,89,22,
白银市,第三小学,104.1727,36.5448,2026-03-30T2100,33,47,0.3,21,5,67,86,48,
白银市,动力公司,104.1467,36.5482,2026-03-30T2100,22,54,0.3,13,6,78,83,53,颗粒物(PM10)
百色市,市监测站,106.6102,23.901,2026-03-30T2100,40,63,0.7,17,20,90,125,60,"颗粒物(PM10),细颗粒物(PM2.5)"
百色市,市中心血站,106.6524,23.8842,2026-03-30T2100,40,NA,0.9,13,17,96,131,60,细颗粒物(PM2.5)
